MOSFET_15_2_L_gmb_NMOS,MOSFET_15_2_W_gmb_NMOS,MOSFET_15_2_M_gmb_NMOS,MOSFET_11_1_L_gmf_PMOS,MOSFET_11_1_M_gmf_PMOS,MOSFET_11_1_W_gmf_PMOS,MOSFET_7_1_L_gm3_PMOS,MOSFET_7_1_M_gm3_PMOS,MOSFET_7_1_W_gm3_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.207,0.647,79,0.485,166,0.433,3.41,156,1.28,0.918,124,0.415,1.33,1,1.94,5.15,24,0.22,3.94,7,0.22,0.18,1,0.22,8,0.2,0.451,4.17,38,1,0.265955884222225,0.20109503724616,0.20109503724616,0.131196503284942,0.265955884222225,0.357513394696453,0.265955884222225,0.265955884222225,11727111.8519525,21355613.4857689,69371661.7940439,38260636.5650809,10042446.5315655,13135546775.5346,10042446.5315655,10042446.5315655,1.53817186433773e-05,2.02610730713771e-05,5.43206653969963e-05,1.21987246107159e-05,6.85038342831369e-06,2.60667831587549e-05,6.85038342831369e-06,6.85038342831368e-06,-5,8,11,15,12,-13,15,-15,90.2305932447321,8721.24198610392,7320.71974332059,22.2366862203363,89.4913025964602,172723.179541322,99.8960434251527,0.000824890476055158,1079.7,117.110078502628,144986,9.78018927123715e-06,0.000163254446585449,67.46075,1.33086101567962e-05,1.12208844536166e-06,8.05746394568763e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.211,0.22,79,0.691,154,0.637,7.25,57,1.37,0.809,91,0.66,1.33,1,2.15,5.15,20,0.22,11.7,5,0.22,0.18,1,0.22,8,0.2,0.382,4.17,47,10,0.34488832515419,0.190125288270239,0.190125288270239,0.131072388551966,0.34488832515419,0.319964160423805,0.34488832515419,0.34488832515419,2976521.83868089,17678749.098068,26654075.4614687,96782546.8307391,2416967.22086461,9632220726.92377,2416967.22086461,2416967.22086461,1.02130785369389e-05,1.7094530291067e-05,3.58037377481139e-05,1.0904225164988e-05,4.41542215453306e-06,1.81757465662738e-05,4.41542215453306e-06,4.41542215453306e-06,-15,5,15,15,15,-13,15,-15,93.3290394239875,8986.02428908066,8030.85399452022,24.3937190083552,93.447753022092,132292.325103934,99.4828091581656,0.00126362204520577,991.299999999999,116.749233990361,118230.3,7.27012760699822e-06,0.000131298865531631,45.54853,1.49289332203305e-05,1.45364878615106e-06,0.000113900741483985,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.212,0.22,79,0.801,153,0.559,3.41,57,2,0.809,109,0.553,1.33,1,2.15,5.15,20,0.22,11.7,5,0.22,0.18,1,0.22,8,0.2,0.477,4.17,45,13,0.363252885368401,0.196594094880547,0.196594094880547,0.14447417672323,0.363252885368401,0.314367482008969,0.363252885368401,0.363252885368401,3368434.65122462,21067891.5425421,24707101.4112741,119127740.785276,2726414.80367404,9147903762.58933,2726414.80367404,2726414.80367404,1.19771461339208e-05,2.08531452693425e-05,3.27137587828102e-05,1.34523355643493e-05,5.16705805341335e-06,1.71198671775297e-05,5.16705805341335e-06,5.16705805341335e-06,-15,8,15,15,15,-13,15,-15,86.0932213561778,10123.2750207225,8032.38278105961,24.3983626974686,86.1362633257455,165309.664627366,98.5918279574935,0.00132280210462437,976.999999999999,117.533714319944,131166.1,8.06403087123603e-06,0.000114614085290481,51.81771,1.21979715519907e-05,1.5579582414238e-06,0.000120285865582881,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.204,0.22,136,0.485,166,0.433,5.19,81,1.28,0.918,120,0.415,1.33,1,1.94,6.8,40,0.22,8.93,7,0.22,0.18,41,0.22,8,0.2,0.477,4.17,32,13,0.317477593135363,0.203793392314953,0.203793392314953,0.107937525398967,0.317477593135363,0.137679889797281,0.317477593135363,0.317477593135363,4056934.01967878,22579194.0874228,72636783.8330998,72386860.9480387,3330996.33285908,617432181.89332,3330996.33285908,3330996.33285908,1.39672979752481e-05,2.07115872261751e-05,5.698967618868e-05,1.38536642335565e-05,6.07656944485463e-06,3.843802014187e-05,6.07656944485463e-06,6.07656944485462e-06,-15,10,11,15,12,-12,15,-15,95.5261881784707,6984.29278042354,7065.18196981628,21.4604902333169,95.0572833685197,138437.474446277,100.717807710454,0.00126247911478761,968.5,116.161337627378,140040.8,9.78827593015022e-06,0.000147326026119267,60.00912,1.02683742844513e-05,6.58221411516391e-07,4.17971064260447e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.198,0.22,26,0.505,140,0.423,4.57,81,1.12,0.918,134,0.385,1.33,1,1.64,5.83,40,0.43,13.9,1,0.22,0.18,41,0.22,8,0.2,0.713,4.17,38,9,0.64331908108647,0.217252304903296,0.217252304903296,0.273627342305922,0.64331908108647,0.139234956503359,0.64331908108647,0.64331908108647,7148480.49719018,29225286.4989316,85879224.4786402,503801297.089268,6007775.33384487,638567982.050618,6007775.33384487,6007775.33384487,7.52714143396378e-06,2.84990964974769e-05,5.78208867352295e-05,1.83234693977976e-05,3.33416670593023e-06,3.97789744734005e-05,3.33416670593023e-06,3.33416670593023e-06,-10,10,11,15,15,-7,15,-15,88.9080122512326,6996.76291936503,6243.27677801013,18.9639532132058,89.0304419438328,173776.846376242,101.267689022709,0.000692441376286796,960.399999999999,115.843525529481,155062.7,1.22650613711718e-05,0.000234462310947969,56.43904,9.0916740661972e-06,2.07566389923697e-07,3.01445931359945e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.375,0.575,11,0.615,200,0.22,2.7,50,2.2,0.725,96,0.22,1.33,1,2.26,4.86,25,0.22,8.79,1,1.13,0.18,1,0.3,8,0.2,0.284,4.17,81,20,0.369335091170504,0.184662132899722,0.184662132899722,0.245782584525266,0.369335091170504,0.32996268636808,0.369335091170504,0.369335091170504,3603533.62564164,36841421.5866795,56203032.4450523,128879499.789975,2944367.65361922,7714861973.15045,2944367.65361922,2944367.65361922,8.75264807485985e-06,1.23967197289799e-05,3.29518275379481e-05,6.8783549316185e-06,3.79809740181457e-06,1.89791306252234e-05,3.79809740181457e-06,3.79809740181457e-06,7,-15,15,15,-6,-15,14,-15,103.927239263794,12349.5291048595,8662.26568957319,26.3116320320786,109.147407363551,151955.567587531,97.7926594893502,0.000764958214859236,955,117.427024624544,106585.4,6.07632775515712e-06,0.000130446046113872,64.26996,2.5896240636864e-05,4.6334260767722e-07,9.62866179088362e-06,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.212,0.22,79,0.627,138,0.308,3.41,200,1.28,0.918,124,0.322,1.33,1,1.94,5.15,7,0.22,3.94,3,0.22,0.18,1,0.22,8,0.2,0.477,4.17,43,17,0.327638529205212,0.207139394874727,0.207139394874727,0.134193063954475,0.327638529205212,0.323147725736691,0.327638529205212,0.327638529205212,20789234.1220818,27214603.3208576,61657836.1608971,119318174.899192,17195615.7655263,9912444323.79533,17195615.7655263,17195615.7655263,1.38758355427324e-05,2.06638532691565e-05,3.52627669730059e-05,1.35339796657175e-05,6.03330526670087e-06,1.87911880038957e-05,6.03330526670087e-06,6.03330526670087e-06,-15,9,11,15,14,-13,15,-15,65.3392663336792,7583.03176343579,7891.31064301797,23.9698560781671,65.2804730210589,128685.834814426,99.8014199898979,0.00108723177040397,935.599999999999,116.100000692487,133917.4,8.38036320889585e-06,0.000121767684609314,59.96065,1.36056742838686e-05,2.63356933162484e-06,0.00019929987049816,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.196,2.93,56,0.368,153,0.222,1.76,151,1.48,0.927,151,0.22,1.33,1,1.87,4.04,34,0.22,13.9,8,0.22,0.18,1,0.22,8,0.2,0.911,4.17,28,17,0.393561254409707,0.2335018372993,0.2335018372993,0.168765188899819,0.393561254409707,0.416909149652245,0.393561254409707,0.393561254409707,2894231.95432295,50704152.8647313,275953002.023229,24991706.3944434,2335057.39821678,19316448031.8976,2335057.39821678,2335057.39821678,2.05712733892665e-05,3.56824344127677e-05,9.28607696023918e-05,2.44105606724696e-05,8.86251377469576e-06,4.06580925203282e-05,8.86251377469576e-06,8.86251377469576e-06,-5,10,-12,-5,6,-2,15,-2,74.7290775083736,4244.08218662751,4873.89395095828,14.8044528760358,74.6565653862582,158770.790057921,99.2410882044327,0.000983420959976029,914.3,116.095821173394,182332,1.8474036311245e-05,0.00015098187515926,70.2445,6.83328772352999e-06,2.0080387925836e-07,3.33505956292557e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.204,0.22,128,0.688,174,0.563,5.84,46,2.48,1.17,167,0.415,1.33,1,2.25,6.8,26,0.22,12.2,16,1.23,0.18,111,0.22,8,0.2,0.471,4.17,45,44,0.23812651087682,0.197618260964299,0.197618260964299,0.0871918862957723,0.23812651087682,0.0816510527011373,0.23812651087682,0.23812651087682,437848.774735924,13405170.6780626,32415142.354508,73632739.5239592,392584.11238998,165949534.991448,392584.11238998,392584.11238998,1.73027247705686e-05,2.06156017563927e-05,4.37912398976444e-05,1.33520526317478e-05,8.0138748205123e-06,2.76054933087806e-05,8.0138748205123e-06,8.0138748205123e-06,0,11,10,15,15,-12,15,-15,89.0134350323566,7820.61147893922,8350.42825641725,25.3644258288674,88.6185170698851,139663.619298088,108.455600989529,0.000931897305342001,858.1,116.731826483422,149125.3,8.81896367413211e-06,0.000122780073116733,44.18893,1.30191579664254e-05,1.22343142094472e-06,8.89588791006535e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.228,0.303,116,0.668,142,0.43,2.62,21,1.21,1.35,200,0.487,1.33,1,2.21,5.15,28,0.22,17.1,6,0.22,0.18,40,0.957,8,0.2,0.533,4.17,56,55,0.387724612108149,0.19632083455908,0.19632083455908,0.163006146670025,0.387724612108149,0.137741300831684,0.387724612108149,0.387724612108149,1872783.24771247,9601499.30594616,38103607.6993858,62739980.9113706,1509350.93430344,81188332.718678,1509350.93430344,1509350.93430344,1.21736696446784e-05,2.30477510503847e-05,3.17462952051627e-05,1.44572919496947e-05,5.24546195608048e-06,2.02555352591543e-05,5.24546195608048e-06,5.24546195608048e-06,-8,7,15,15,15,-15,15,-15,87.5722155692,8122.10755822737,7570.37965504803,22.9950282022084,87.6662683879354,136191.14971762,98.0618945768437,0.000632351330431905,857.199999999999,116.802384461272,126939.8,8.2804725580512e-06,0.000104753957781286,43.80251,1.01837087636993e-05,1.23344928124658e-06,0.000101155592619473,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
