Element,X,Y,Factor
CAPACITOR_0,1900,387,1
CAPACITOR_1,1687,289,1
CURRENT_0,143,431,1
MOSFET_0,151,149,1
MOSFET_0,350,151,1
MOSFET_0,561,151,1
MOSFET_0,773,146,1
MOSFET_0,1080,139,2
MOSFET_0,1368,136,8
MOSFET_0,1611,134,8
MOSFET_10,1809,221,1
MOSFET_11,2192,211,1
MOSFET_15,1422,315,1
MOSFET_15,1549,313,1
MOSFET_17,370,321,4
MOSFET_17,499,319,4
MOSFET_17,368,418,4
MOSFET_17,508,419,4
MOSFET_17,1421,460,8
MOSFET_17,1551,465,8
MOSFET_17,1773,468,8
MOSFET_17,773,331,1
MOSFET_21,2038,474,1
MOSFET_21,2200,477,1
MOSFET_7,2031,275,1
MOSFET_8,997,235,1
MOSFET_8,1147,234,1
RESISTOR_0,1929,538,1
