MOSFET_0_1_L_BIASCM_NMOS,MOSFET_0_1_M_BIASCM_NMOS,MOSFET_0_1_W_BIASCM_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_12_1_L_gm2_NMOS,MOSFET_12_1_M_gm2_NMOS,MOSFET_12_1_W_gm2_NMOS,MOSFET_13_1_L_BIASCM_NMOS,MOSFET_13_1_M_BIASCM_NMOS,MOSFET_13_1_W_BIASCM_NMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_15_1_L_BIASCM_PMOS,MOSFET_15_1_M_BIASCM_PMOS,MOSFET_15_1_W_BIASCM_PMOS,MOSFET_18_1_L_BIASCM_PMOS,MOSFET_18_1_M_BIASCM_PMOS,MOSFET_18_1_W_BIASCM_PMOS,MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_22_1_L_BIASCM_PMOS,MOSFET_22_1_M_BIASCM_PMOS,MOSFET_22_1_W_BIASCM_PMOS,MOSFET_28_1_L_gm3_PMOS,MOSFET_28_1_M_gm3_PMOS,MOSFET_28_1_W_gm3_PMOS,MOSFET_29_1_L_gm3_NMOS,MOSFET_29_1_M_gm3_NMOS,MOSFET_29_1_W_gm3_NMOS,MOSFET_4_1_L_LOAD_NMOS,MOSFET_4_1_M_LOAD_NMOS,MOSFET_4_1_W_LOAD_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,RESISTOR_0,RESISTOR_1,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS12,VDS13,VDS14,VDS15,VDS18,VDS21,VDS22,VDS28,VDS29,VDS4,VDS6,ft0,ft10,ft12,ft13,ft14,ft15,ft18,ft21,ft22,ft28,ft29,ft4,ft6,gm0,gm10,gm12,gm13,gm14,gm15,gm18,gm21,gm22,gm28,gm29,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset12,gmid_offset13,gmid_offset14,gmid_offset15,gmid_offset18,gmid_offset21,gmid_offset22,gmid_offset28,gmid_offset29,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
4,6,6,7,2,4,2,2,2,2,20,10,9,1,10,2,15,7,10,8,4,2,5,2,2,18,4,9,20,5,2,10,4,3,6,2,7,1,17,78,80,3,7.92,53,9,0.315940027416803,0.315940027416803,0.35993229553523,0.406054526104556,0.450804976771313,0.493911261179668,0.489585499829812,0.737884287686383,0.289569632751671,1.47075930587357,2.0971597162516,0.450804976771313,0.289569632751671,14889718.1641351,14889718.1641351,460910392.700111,262588045.784349,11484069.1285878,1995176.39969357,0.0544439385787899,513891687.501506,225350719.077753,34628329.4892114,2203572794.10215,11484069.1285878,11901445.1476137,9.39527373939514e-06,9.39527373939514e-06,2.17267073453168e-05,3.95742749487012e-05,1.23781088390936e-05,6.92439565045161e-06,4.2350370595621e-14,2.25036243245192e-05,0.000377160666373838,0.000377715914668266,0.000258970022694584,1.23781088390936e-05,5.06176980264364e-05,-8,3,15,0,9,-15,-15,-9,-5,8,-12,-15,14,99.0809510993534,16.8961950791825,4.84005514151754,65.3407444104867,47.0199463711268,59570871.6599382,59.6238207430554,0.00949250034476379,351.100000000001,134.460710687994,17064570,0.000391744159497085,0.00199376876189499,53.38712,4.8368387335824e-08,1.97539584433148e-05,0.00258651286240608,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
7,12,2,2,4,2,2,1,2,2,20,6,8,6,10,2,12,10,9,3,2,2,2,2,5,20,4,10,12,5,3,2,7,8,9,2,5,1,6,80,47,2,6.98,61,10,0.223419922946954,0.223419922946954,0.771160466942008,0.697589833194004,0.45465896990946,0.591984369499889,0.399035157998823,1.0509075670579,0.459981118689645,1.54606544368425,1.5209405490464,0.45465896990946,0.459981118689645,159707689.072567,159707689.072567,998306416.545884,705482673.345637,14584299.2994018,9536192.43150253,5496580.53328959,1106960218.3838,44678844.4126196,28969689.5970456,804560379.758498,14584299.2994018,39216154.6491716,2.94588230569308e-05,2.94588230569308e-05,5.72261740446884e-05,0.000105181333094744,8.45167082919836e-05,3.81332688579283e-05,2.95175844794759e-06,5.99503917354034e-05,0.000207285264988852,0.000210843779399294,0.00023757234182791,8.45167082919836e-05,2.91082805277845e-05,-5,9,4,-15,-2,-15,-8,15,-1,-15,-15,15,15,91.1697106147971,19.4875801393619,11.007107423446,148.595950216522,47.2431034963773,63024347.1877552,55.5967624956706,0.00908369532977288,347.000000000001,137.463213992017,35597840,0.000359341960007623,0.00114101471218022,47.46973,2.86371312484019e-08,2.66703118002498e-05,0.00291090228373103,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
3,1,3,5,4,2,2,20,4,2,20,6,10,1,10,2,15,9,9,2,6,2,4,2,2,17,2,9,12,2,2,20,5,4,8,4,4,1,13,80,37,2,9.66,100,17,0.32467120988886,0.32467120988886,0.395839092261032,0.536817755525677,0.676201349606069,0.469577817683438,0.746836979006636,0.749120363989865,0.327224260550862,2.40272507938251,1.4289256734187,0.676201349606069,0.327224260550862,31536615.3649616,31536615.3649616,476022036.202476,447769031.345134,13867571.2434162,3756506.93638789,3.36439501890758e-06,661840104.395566,241432921.144771,49509742.9476212,1754521879.05123,13867571.2434162,42958563.45781,1.43906435830394e-05,1.43906435830394e-05,4.40740706868945e-05,5.3190945136083e-05,1.68061928040866e-05,1.66010688757393e-05,7.95357636856398e-19,3.30714888561095e-05,0.000192528081456384,0.000131972246855421,0.000250841900037276,1.68061928040866e-05,5.53059086917594e-05,4,15,10,-15,1,-15,-14,10,-14,14,-9,6,12,93.0076122469344,22.247971488211,7.92802087888026,107.028281864883,49.5464997322105,50870043.6635602,47.370877129308,0.00697156222938616,344.200000000001,136.13642938273,18127440,0.000254055839505367,0.00205166806631395,47.16837,4.83286424220837e-08,1.17312392060598e-05,0.00199913679231201,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
4,1,2,3,7,2,2,3,2,2,20,5,10,2,10,2,15,10,10,5,3,2,4,2,4,20,3,10,15,5,3,7,6,5,11,2,5,1,5,78,39,2,7.46,90,15,0.248785226254541,0.248785226254541,0.691725896937807,0.655909616020141,0.77308899647435,0.377487435540004,0.210234224754456,1.0240843654779,0.525613851530315,1.57303446439156,1.86129100258376,0.77308899647435,0.525613851530315,71849524.1468539,71849524.1468539,889358696.552767,679595284.532808,15585784.943368,13175375.1567618,80.7992760920161,999115284.499048,81861403.8823231,29346051.6397297,937014247.483847,15585784.943368,44892936.8610854,3.42719663152618e-05,3.42719663152618e-05,5.05988974832915e-05,8.40379323244001e-05,3.80235473647546e-05,6.29027346653694e-05,2.82829982584231e-11,5.34191215107402e-05,0.000229989506734559,0.000267139363935292,0.000239902227291087,3.80235473647546e-05,2.78605307094573e-05,-15,-8,10,-15,11,-15,-14,15,-9,-15,-13,12,10,113.712878926615,19.3424721639404,9.09696876623087,122.809078344117,50.471918460199,68428232.8830474,52.8109837060436,0.00735483003398181,337.500000000001,138.389679298862,32182520,0.000393079898089737,0.00113863754509317,48.74263,2.73330245925945e-08,8.69395221954505e-06,0.00162330147442091,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
2,1,4,4,3,2,2,20,4,2,20,6,10,1,10,2,14,9,8,3,6,2,1,2,2,17,3,9,16,2,2,20,5,3,1,4,3,1,13,75,37,2,9.22,100,27,0.337414243192331,0.337414243192331,0.360013970303582,0.470983271784116,0.583791035388699,0.463951932075377,1.03490377261033,0.726020362194014,0.276585901557344,2.31266622871347,1.59438932820398,0.583791035388699,0.276585901557344,52493726.2525754,52493726.2525754,420948189.552206,398110856.990841,12053693.9437731,2912463.3938541,2.36277967744123e-09,589974119.436196,215415793.23567,48248855.8091787,1890438395.76994,12053693.9437731,64718388.1713974,1.44919403795479e-05,1.44919403795479e-05,3.70049647272184e-05,4.42169773856835e-05,1.45348007212728e-05,1.20302186191992e-05,7.99622306116913e-22,2.82207194430982e-05,0.000253697792096981,0.000171253728024133,0.000271854732078957,1.45348007212728e-05,6.32493946661284e-05,-5,5,15,-12,15,-15,-11,10,-15,15,-15,6,4,89.1495662408122,18.2532649721684,7.03269479898061,94.9413797862382,46.8479654831624,49727160.9804984,46.6047207909242,0.0071760072443721,325.300000000001,136.515869198285,19159090,0.000302698729096896,0.00216940657468057,49.65693,4.5829628544903e-08,1.60071909456605e-05,0.00255393828499906,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
3,1,4,5,4,2,2,20,4,2,20,6,10,1,10,2,14,9,8,2,6,2,5,2,3,17,3,9,16,2,2,20,5,2,1,4,4,1,12,75,37,2,9.22,100,29,0.332020581137981,0.332020581137981,0.311807120535102,0.451930779656512,0.466389729627033,0.602221706067652,0.595648112333776,0.643924786855137,0.334313518069913,2.1191388788743,1.47281440849956,0.466389729627033,0.334313518069913,32276891.6795059,32276891.6795059,351222736.170309,330961161.000826,9609189.27994942,1216390.12325483,0.000589490198793329,499916802.39753,100763905.029122,45430877.0033673,1792190796.55999,9609189.27994942,43996189.0015353,1.47477321918488e-05,1.47477321918488e-05,2.80817288711421e-05,3.28042954645111e-05,1.14855056140244e-05,5.11511792851794e-06,1.30172215500596e-16,2.18908179728402e-05,0.000176910409596571,0.000160779855723276,0.000256625578358512,1.14855056140244e-05,5.23293535789849e-05,4,-1,10,-12,13,-15,-11,10,-15,15,-14,6,4,93.789617301939,24.1096169958638,8.36190822239526,112.885761002336,48.1127678565472,58338128.6870134,47.169905660283,0.00754168569809848,323.750000000001,138.030683890598,20233340,0.000268855963148195,0.00194963796346811,51.39747,4.18160465966925e-08,1.7577358106885e-05,0.00238874183217308,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
2,6,2,3,3,2,2,20,4,2,20,2,7,1,10,3,16,6,10,1,6,2,5,2,5,17,2,6,8,2,2,15,3,3,11,6,8,1,11,76,42,2,7.18,78,29,0.260159817549721,0.260159817549721,0.305394769996103,0.469424371585132,0.37073754749036,0.702012514999961,0.628252196102222,0.528057752381885,0.465515216084221,1.54681536055564,1.2608915931368,0.37073754749036,0.465515216084221,75646819.2422835,75646819.2422835,336174470.088819,480501631.373827,15565879.1669725,819008.372383001,9647728.33260271,384582799.369548,45499261.3220409,83747683.0003256,1592962707.01107,15565879.1669725,15098712.7711991,1.5483075711142e-05,1.5483075711142e-05,2.66501745042014e-05,2.06667481086633e-05,1.30466151849245e-05,3.90695153678819e-06,6.28818857175009e-06,1.40055454939877e-05,8.98556677426348e-05,9.80577049034151e-05,0.000136593039732962,1.30466151849245e-05,3.23532739052726e-05,4,15,15,-7,13,-15,-14,6,6,1,-15,8,15,104.78591236509,31.3377133997231,16.6551100138223,224.843985186601,47.2393248450783,38834781.3716634,45.1663591625449,0.0103937509879377,320.800000000001,135.860097680681,20639590,0.000137692742700261,0.00155115207010879,45.03818,4.69163849552571e-08,2.522576209947e-05,0.00287575826353392,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
2,3,4,4,6,2,2,11,2,2,20,8,10,1,10,2,16,9,10,4,8,2,1,2,3,18,2,9,10,2,2,1,7,2,1,3,6,1,7,79,34,4,8.44,100,31,0.30082226644524,0.30082226644524,0.393115350798507,0.43235650747088,0.536617133833031,0.590534075959074,1.98926855760912,0.667741801666994,0.385760584817681,3.03933142555935,1.36070268363769,0.536617133833031,0.385760584817681,46840549.3774721,46840549.3774721,503817437.109613,330018801.599508,11098793.9470181,1494369.40164609,3.03587168908197e-19,544301351.225845,113402465.57875,57473415.6137639,1694617014.71101,11098793.9470181,22509625.2510721,2.56439089498326e-05,2.56439089498326e-05,2.47900415612253e-05,4.39089569759124e-05,1.33379434881128e-05,7.16679019128173e-06,2.25324445081002e-31,2.55955194454946e-05,0.000142545972220563,0.000129011043143842,0.000337520826871811,1.33379434881128e-05,4.57803952365954e-05,5,-15,15,-10,8,-15,-10,14,-11,15,-15,-5,15,110.271928876642,20.985065106514,8.90732273036664,120.24885685995,48.0794121356622,58096321.1520842,46.7867502611583,0.00769976189627073,320.650000000001,138.197035254217,24659570,0.000307606708004554,0.00166497594940212,45.57315,3.20235130211359e-08,1.564621319321e-05,0.00224234093650999,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
4,5,6,4,1,4,2,7,2,2,20,3,10,1,10,2,18,10,10,3,2,2,1,2,7,20,4,8,12,3,3,19,6,5,1,2,7,1,15,72,58,2,7.37,82,37,0.329303777221286,0.329303777221286,0.456437862952392,0.531789677637498,0.650322397966612,0.285547678158513,0.864604252517795,0.547490040882654,0.365507449195362,1.276562973566,1.21839409141603,0.650322397966612,0.365507449195362,51384177.5447202,51384177.5447202,576604216.22586,543153416.036184,13349929.1950328,5465051.88096878,15588463.3479931,427000117.876979,17405074.2011739,39795647.9186877,666642940.350213,13349929.1950328,15356147.5685184,9.41312959839974e-06,9.41312959839974e-06,3.02641294519019e-05,3.74008537181501e-05,1.61670540857013e-05,3.0165166239713e-05,1.05906971140623e-05,1.66670631828852e-05,0.000110745369131059,0.000138026305652903,0.000167058882903247,1.61670540857013e-05,3.91242463632499e-05,-15,8,4,-3,3,-15,-14,15,-13,-11,-15,15,15,107.066711582421,16.7014991365633,9.04595626162448,122.12040953193,42.8072324203784,29523061.147911,53.5537113559835,0.00795613768895436,317.600000000001,135.906350806317,15990440,0.000196409921092907,0.00194156086524148,52.41879,5.30161881400967e-08,2.16083221725605e-05,0.00370504655631199,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
3,2,5,2,2,2,2,7,2,2,20,8,8,2,10,3,15,10,10,5,5,2,4,2,3,20,2,7,12,2,2,20,5,2,6,2,8,1,17,75,61,2,6.82,61,33,0.184562340531187,0.184562340531187,0.280969630272319,0.350102769391442,0.205716370164801,0.705026542877047,1.02947919599168,0.567292690649973,0.358435486564464,2.07195856349302,1.43125940910664,0.205716370164801,0.358435486564464,137098039.959202,137098039.959202,345969361.353948,191540559.709689,6299568.11542181,272327.923247169,3.690600884455e-09,398710107.530482,105668152.863279,74931615.2770173,1756295064.56322,6299568.11542181,11442477.5984116,1.22976918013195e-05,1.22976918013195e-05,1.42296361788395e-05,2.13998965368362e-05,1.13635525359575e-05,2.03052096831169e-06,2.17148943788408e-21,1.49590028548723e-05,0.000146906959538754,0.000154856722717487,0.000251134662151613,1.13635525359575e-05,3.75858612965947e-05,-8,15,10,-12,9,-15,-15,10,-15,-5,-13,15,12,96.7038453137946,13.5554396715357,8.7409391586364,118.002678641591,46.0706005593338,28560103.6144292,52.2111099288265,0.0151593533518336,317.600000000001,135.075369183574,18416380,0.00023410121124372,0.0018416955407501,51.80143,4.90402809727973e-08,5.464732927973e-05,0.00353832765181705,"CLASSAB_NULL_Pin_3",180,5,2,0.5,0
