MOSFET_0_1_L_BIASCM_NMOS,MOSFET_0_1_M_BIASCM_NMOS,MOSFET_0_1_W_BIASCM_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_12_1_L_gm2_NMOS,MOSFET_12_1_M_gm2_NMOS,MOSFET_12_1_W_gm2_NMOS,MOSFET_13_1_L_BIASCM_NMOS,MOSFET_13_1_M_BIASCM_NMOS,MOSFET_13_1_W_BIASCM_NMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_15_1_L_BIASCM_PMOS,MOSFET_15_1_M_BIASCM_PMOS,MOSFET_15_1_W_BIASCM_PMOS,MOSFET_18_1_L_BIASCM_PMOS,MOSFET_18_1_M_BIASCM_PMOS,MOSFET_18_1_W_BIASCM_PMOS,MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_22_1_L_BIASCM_PMOS,MOSFET_22_1_M_BIASCM_PMOS,MOSFET_22_1_W_BIASCM_PMOS,MOSFET_28_1_L_gm3_PMOS,MOSFET_28_1_M_gm3_PMOS,MOSFET_28_1_W_gm3_PMOS,MOSFET_29_1_L_gm3_NMOS,MOSFET_29_1_M_gm3_NMOS,MOSFET_29_1_W_gm3_NMOS,MOSFET_4_1_L_LOAD_NMOS,MOSFET_4_1_M_LOAD_NMOS,MOSFET_4_1_W_LOAD_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,RESISTOR_0,RESISTOR_1,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS12,VDS13,VDS14,VDS15,VDS18,VDS21,VDS22,VDS28,VDS29,VDS4,VDS6,ft0,ft10,ft12,ft13,ft14,ft15,ft18,ft21,ft22,ft28,ft29,ft4,ft6,gm0,gm10,gm12,gm13,gm14,gm15,gm18,gm21,gm22,gm28,gm29,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset12,gmid_offset13,gmid_offset14,gmid_offset15,gmid_offset18,gmid_offset21,gmid_offset22,gmid_offset28,gmid_offset29,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.85,1,0.349,0.312,9,0.637,0.85,6,0.1,0.04,26,0.1,0.85,1,0.643,0.04,28,0.598,0.85,1,0.162,0.323,5,0.1,0.04,12,0.1,0.04,30,0.367,0.04,19,0.1,0.191,30,0.103,0.04,2,4,10,20,0.205,10,100,1,0.415357313,0.415357313,0.66263993,0.002262099,0.27817204,0.046882129,0.017543119,0.017565111,0.097738802,0.686839739,0.283060438,0.27817204,0.206692023,3050940028,3050940028,298477507.4,682320440.8,280783304.8,183057900,35201584.3,353174695.2,47479951943,2.11729E+11,2.00375E+11,280783304.8,49326300527,0.000290679,0.000290679,8.80E-06,8.62E-06,7.18E-06,9.98E-06,5.36E-07,5.04E-06,0.000269784,0.010310381,0.002672625,7.18E-06,0.000164325,10,-15,-15,-1,-9,-15,-15,6,-5,4,11,13,15,68.5230119,12.44554171,10.93263805,132.8315523,76.37479345,138512092.8,2.331318511,0.000474058,417.85,66.88929955,121674300,0.001374007,0.001995339,54.70837,6.31E-08,1.47E-06,7.37E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.1,0.489,30,0.359,0.741,6,0.1,0.202,22,0.1,0.85,1,0.838,0.112,27,1,0.04,1,0.565,0.04,1,0.1,0.04,1,1,0.04,30,0.431,0.04,30,0.1,0.209,30,0.109,0.04,2,4,10,20,0.61,10,78,5,0.398939579,0.398939579,0.638309723,0.005141699,0.151181821,0.19530163,0.15431611,0.154331776,0.575142951,0.687330836,0.287639186,0.151181821,0.16246349,1157161142,1157161142,499777518.8,277036630.5,284532688.8,178542946.6,7969833579,3513252391,50629055630,2.10337E+11,2.34956E+11,284532688.8,21699271780,0.000323812,0.000323812,1.38E-05,1.20E-05,1.08E-05,1.94E-05,1.50E-05,1.36E-06,0.000168803,0.011896955,0.004754183,1.08E-05,0.000186711,-8,15,1,-12,-13,7,-5,1,-15,10,8,7,5,70.45120759,10.78447459,11.19423345,136.0099364,71.75808356,133711015.9,3.399891175,0.000551474,395.2,67.0789398,138791400,0.001530676,0.002095304,53.14058,9.14E-08,8.93E-07,0.000121313,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.798,0.54,27,0.28,0.728,6,0.1,0.267,8,0.1,0.621,27,1,0.295,25,0.522,0.674,1,0.1,0.178,10,1,0.766,13,0.1,0.04,30,0.226,0.04,30,0.739,0.311,28,0.807,0.04,2,4,10,20,0.104,10,46,5,0.403141728,0.403141728,0.40018068,0.422207966,0.097748118,0.06979109,0.305175812,0.305392634,0.82744946,0.685542968,0.297666419,0.097748118,0.219259834,1038656416,1038656416,586319215.2,1834041243,73773031.16,262440569.8,1197388322,750488.6307,152917237.9,2.47184E+11,1.54805E+11,73773031.16,77537395944,0.000240181,0.000240181,1.66E-05,2.14E-05,2.51E-05,2.50E-05,6.87E-06,3.48E-08,5.21E-06,0.00803309,0.014457612,2.51E-05,0.000151219,-4,15,8,12,-15,15,-15,-4,-15,13,-9,-2,-6,66.17249899,10.58573745,12.22624311,148.5488538,56.21507986,72442381.93,6.090130212,0.002126176,389.2,65.78553438,83669010,0.000844864,0.001807185,56.0367,2.97E-07,9.54E-06,0.000176629,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.282,0.478,14,0.781,0.65,6,0.1,0.229,16,0.1,0.85,1,0.567,0.04,27,1,0.04,1,0.514,0.595,1,0.1,0.04,17,0.919,0.04,30,0.434,0.04,15,0.107,0.183,29,0.111,0.04,2,4,10,20,0.671,10,100,30,0.414115505,0.414115505,0.562589148,0.063636354,0.258289131,0.105415199,0.025798741,0.025810954,0.002680362,0.687880024,0.281668248,0.258289131,0.158657316,1228696065,1228696065,560624017.1,860087623.6,357627231,173650475.1,6376753080,195920937.7,735719116.6,1.87948E+11,1.92942E+11,357627231,20125855272,0.000328769,0.000328769,1.31E-05,1.66E-05,9.16E-06,1.49E-05,1.18E-05,1.17E-06,4.14E-05,0.010372793,0.002144032,9.16E-06,0.000188579,-14,-9,-4,3,-11,0,9,-15,-13,2,11,5,15,77.79420045,22.38438876,18.02767056,219.0361972,71.63288022,216449124.6,3.142972956,0.000812814,333.35,71.51116908,174321200,0.001193784,0.001813956,45.00084,5.22E-08,5.33E-07,3.13E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.282,0.478,12,0.737,0.65,6,0.1,0.196,20,0.1,0.85,1,0.805,0.04,29,1,0.04,1,0.562,0.04,1,0.1,0.04,1,1,0.04,30,0.396,0.04,30,0.207,0.201,30,0.1,0.04,2,4,10,20,0.726,10,92,42,0.420614584,0.420614584,0.581773038,0.06049416,0.251092998,0.09657281,0.20204094,0.202004301,0.591422749,0.686125518,0.286424006,0.251092998,0.155337293,1344117452,1344117452,605121860.6,926249856.7,325687839,182485110.1,6229186694,12370352819,47356892603,2.22687E+11,2.43968E+11,325687839,18836333583,0.000302676,0.000302676,1.45E-05,1.92E-05,1.12E-05,1.68E-05,1.15E-05,5.06E-06,0.000156718,0.011825935,0.007985534,1.12E-05,0.000189505,-7,15,15,-14,-13,-8,6,-15,-15,7,6,7,7,70.21545976,10.8210791,12.04719925,146.3734709,67.71952935,142024426.5,2.952758371,0.000738929,328.3,69.93377843,158117000,0.001620345,0.002207903,56.83491,5.73E-08,1.43E-06,0.00016555,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,1,0.502,22,0.591,0.342,6,0.1,0.369,1,0.1,0.7,19,0.88,0.303,19,0.785,0.04,21,0.1,0.567,18,1,0.485,1,1,0.04,30,0.81,0.04,12,0.702,0.18,24,0.992,0.04,2,4,10,20,0.1,10,87,36,0.406528069,0.406528069,0.216619456,0.567756571,0.09373764,0.111513433,0.366103969,0.366117622,0.746678419,0.688842518,0.295986307,0.09373764,0.219724619,970583296.9,970583296.9,1904444653,5154629609,108548288.7,307511266,3291250970,29021.11431,361963265.7,1.45006E+11,2.14373E+11,108548288.7,79345508677,0.000303043,0.000303043,2.47E-05,1.54E-05,3.16E-05,3.36E-05,2.77E-05,4.71E-09,4.81E-06,0.013540419,0.008295627,3.16E-05,0.000150459,12,15,15,-5,-11,2,15,0,0,9,-8,11,-7,78.1641293,11.31272451,12.43646835,151.1030905,67.41239933,93503387.65,6.343796103,0.000614397,321.6,70.19480031,102791500,0.001020411,0.001601497,47.70818,5.88E-08,2.76E-06,1.90E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.1,0.516,30,0.359,0.85,6,0.1,0.202,22,0.1,0.85,1,0.77,0.04,27,1,0.04,1,0.565,0.04,1,0.1,0.04,1,1,0.04,30,0.431,0.04,30,0.202,0.281,30,0.1,0.04,2,4,10,20,0.715,10,100,63,0.373647547,0.373647547,0.607933006,0.004661931,0.24048142,0.136830714,0.227993892,0.227951089,0.590385309,0.687210224,0.287126082,0.24048142,0.155796534,1061814352,1061814352,509780058.4,301441451.2,384274364.8,275614857.3,8881886764,15498568583,47565087025,2.13358E+11,2.45243E+11,384274364.8,19013672108,0.00031761,0.00031761,1.75E-05,1.42E-05,1.38E-05,2.36E-05,1.66E-05,6.41E-06,0.000157479,0.012118395,0.007789424,1.38E-05,0.000188629,-8,15,15,-12,-13,-12,-13,5,-15,9,15,13,5,70.29042671,17.01033342,15.63089753,189.9154049,70.440076,208866520.5,3.198315181,0.000676681,303.85,71.48659919,191928700,0.001515902,0.002303502,53.30354,5.90E-08,9.16E-07,0.000104099,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.306,0.528,26,0.487,0.779,6,0.1,0.48,10,0.1,0.605,12,0.913,0.128,18,1,0.04,24,0.1,0.04,8,0.908,0.04,1,1,0.04,30,0.984,0.04,30,0.472,0.259,30,0.1,0.04,2,4,10,20,0.751,10,62,52,0.373273284,0.373273284,0.466544299,0.315741971,0.102214699,0.105423474,0.39692087,0.396929119,0.823436472,0.688899521,0.296546537,0.102214699,0.153918469,971224467.1,971224467.1,574854338.8,801277674.9,158647474.7,356625388.2,2135238188,144747895.3,68582365223,1.54183E+11,1.99678E+11,158647474.7,18305758906,0.000334159,0.000334159,1.79E-05,2.25E-05,2.68E-05,2.77E-05,2.04E-05,3.15E-06,0.000224861,0.017628063,0.012945491,2.68E-05,0.000189926,-4,13,15,-15,-15,15,0,13,-15,11,0,-3,14,73.2928482,10.35157332,10.06592593,122.301,63.98686795,116922837.4,4.473979884,0.001359444,291.4,68.49289665,113696400,0.001394466,0.001414985,48.42581,5.31E-08,1.91E-06,7.62E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.215,0.514,29,0.491,0.85,6,0.1,0.04,30,0.1,0.85,1,0.887,0.131,30,1,0.04,24,0.1,0.04,19,0.42,0.04,1,1,0.04,30,0.804,0.04,20,0.412,0.274,22,0.112,0.04,2,4,10,20,0.1,10,63,54,0.334699606,0.334699606,0.607770382,0.000857075,0.175117315,0.206155356,0.373839714,0.373848605,0.798216091,0.688773241,0.295010149,0.175117315,0.219513766,882980132.1,882980132.1,559630691.6,792866173.2,354092995.8,258153053.5,2377975139,193681350.8,1.23828E+11,1.48593E+11,2.16021E+11,354092995.8,79148937079,0.000309373,0.000309373,1.97E-05,1.47E-05,1.56E-05,3.29E-05,2.28E-05,4.75E-06,0.000441035,0.013862466,0.008480863,1.56E-05,0.000150044,-9,12,-4,-3,-14,15,5,15,-15,10,14,15,1,66.67473361,10.99791915,16.76026328,203.6371989,68.15762009,96348788.78,3.907976714,0.001469585,278.4,67.25059192,146830600,0.00108156,0.001667975,52.55759,3.69E-08,8.84E-07,5.99E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
0.85,1,0.1,0.472,15,0.634,0.689,6,0.1,0.04,30,0.1,0.85,1,0.715,0.04,30,1,0.04,1,0.419,0.04,1,0.1,0.04,4,1,0.04,30,0.341,0.04,30,0.232,0.341,30,0.1,0.04,2,4,10,20,0.412,10,100,32,0.357007761,0.357007761,0.564674946,0.000346681,0.252069764,0.17275891,0.027890159,0.027474724,0.299259593,0.684015232,0.289835585,0.252069764,0.179597899,1285675690,1285675690,897235359.3,412239663.6,478456867.5,390620114.6,393413332.5,27127536817,37946167532,2.54907E+11,2.33527E+11,478456867.5,29612941162,0.000298997,0.000298997,2.61E-05,8.52E-06,1.77E-05,3.71E-05,5.50E-07,1.71E-05,0.0005252,0.012357848,0.009056626,1.77E-05,0.000179644,-15,15,15,10,-13,-3,-12,-8,-15,6,15,15,15,69.48754765,11.59113423,16.68324559,202.7014339,67.8327318,223102809,2.989660516,0.000640331,331.1,69.16027054,321114300,0.002376261,0.002293827,48.33073,3.21E-08,9.98E-07,7.11E-05,CLASSAB_NULL_Pin_3,22,0.9,0.3,0.1,1
