MOSFET_0_1_L_BIASCM_NMOS,MOSFET_0_1_M_BIASCM_NMOS,MOSFET_0_1_W_BIASCM_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_12_1_L_gm2_NMOS,MOSFET_12_1_M_gm2_NMOS,MOSFET_12_1_W_gm2_NMOS,MOSFET_13_1_L_BIASCM_NMOS,MOSFET_13_1_M_BIASCM_NMOS,MOSFET_13_1_W_BIASCM_NMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_15_1_L_BIASCM_PMOS,MOSFET_15_1_M_BIASCM_PMOS,MOSFET_15_1_W_BIASCM_PMOS,MOSFET_18_1_L_BIASCM_PMOS,MOSFET_18_1_M_BIASCM_PMOS,MOSFET_18_1_W_BIASCM_PMOS,MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_22_1_L_BIASCM_PMOS,MOSFET_22_1_M_BIASCM_PMOS,MOSFET_22_1_W_BIASCM_PMOS,MOSFET_28_1_L_gm3_PMOS,MOSFET_28_1_M_gm3_PMOS,MOSFET_28_1_W_gm3_PMOS,MOSFET_29_1_L_gm3_NMOS,MOSFET_29_1_M_gm3_NMOS,MOSFET_29_1_W_gm3_NMOS,MOSFET_4_1_L_LOAD_NMOS,MOSFET_4_1_M_LOAD_NMOS,MOSFET_4_1_W_LOAD_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,RESISTOR_0,RESISTOR_1,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,av0,av10,av12,av13,av14,av15,av18,av21,av22,av28,av29,av4,av6,ft0,ft10,ft12,ft13,ft14,ft15,ft18,ft21,ft22,ft28,ft29,ft4,ft6,gm0,gm10,gm12,gm13,gm14,gm15,gm18,gm21,gm22,gm28,gm29,gm4,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
4,14,1.88,0.6,2,1.56,3.7,1,0.62,4,1,0.272,4,1,0.12,2,1,0.409,4,1,0.12,3.7,1,0.12,1.6,1,1.84,0.2,20,1.98,0.1,15,1.89,3.4,4,1.53,2,2,20,9.68,19.3,1.98,10.5,10,33,111.078023375535,59.2803437125383,0.788483204261047,55.800037598763,0.111084882754928,172.043180266687,0.275311614208182,0.202999553080485,2.24062571424191,30.0011443767197,11.5816855704789,101.038131339891,104.587449676314,23584983.0278239,468230041.556384,12778168.5223583,32230649.5127614,6280316.512794,58405155.8245813,5793846.01728576,12094071.7422194,38957296.1114401,9490074744.0505,39518062177.8384,34770827.9823558,40112153.5686822,0.00013451022450772,4.40543888961898e-05,1.96222697906023e-06,2.21206770469225e-06,2.85349568066958e-07,2.59871531225527e-06,2.39742265439078e-07,5.19297589831388e-07,5.86641990417206e-06,0.00529048269295857,0.00879227759200021,4.0000637636251e-05,0.000155360092219896,29.4000552703843,0.044181699309883,0.302376203643692,3870454.66198795,17.2616587054977,442593.004545373,21.2264693248783,0.0511035214052947,-45.3857254534842,56.1446237251611,3029073,0.00091068764475844,0.00126492410726155,58.14453,1.0918269809394e-07,0.000671855797450438,0.0282647116120947,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,0
4,10,1.85,0.8,2,1.1,3.7,1,0.25,4,1,0.392,4,1,0.12,2.4,1,0.556,4,1,0.12,3.7,1,0.12,0.9,1,1.3,0.3,20,1.96,0.2,5,1.83,4,4,1.8,2,2,14,10.6,19.8,1.97,6.37,10,32,110.630553392561,58.9370379091122,1.23487917913355,122.503299760197,0.248157407233201,177.137052340567,0.112906088851409,0.199234630075505,2.14244699513556,46.1534770644215,16.3011019113639,110.794338093841,105.337287336844,21614042.4371367,343385732.975673,16780506.7515774,19628020.7183247,7679939.01578525,28459332.3799266,3566064.12564182,8149156.97097877,111137424.623685,3754067723.67887,19510861046.1239,23457489.3963531,37558782.5902055,8.52128848623913e-05,3.25107998885169e-05,1.10344273236784e-06,1.66085615888596e-06,3.35315013340619e-07,1.85112389104425e-06,1.55533400298439e-07,3.3314376322053e-07,6.44670513622194e-06,0.00281022408786434,0.00251809073073598,3.66057666244385e-05,9.92805765700988e-05,47.9606895599077,0.0419457555801628,0.652578705770008,694.316092355688,42.1216592486918,177358.43218359,19.6690467486353,0.0463582124271126,-45.0635592,61.6108703153455,2759286,0.000384389161951276,0.00175994648545018,63.25722,1.14949506221972e-07,4.18391845882729e-05,0.0025249817201598,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,0
4,14,1.91,1.67,1,1.6,3.7,1,0.178,3.7,1,0.481,4,1,0.12,2.6,1,2.79,4,1,0.12,3.7,1,0.199,2.6,1,0.6,0.2,20,1.99,0.3,1,1.83,3.9,7,1.79,2,12,20,9.81,19.3,1.98,9.68,14,29,110.926883703676,50.7248008421809,0.952954724707928,121.321010655846,0.727418794654607,170.947569830449,0.174886727707451,23.0771134731165,110.550853684068,52.9589838896774,11.0234677186036,110.467973918568,105.084889190141,22299269.3497989,203276413.808083,21638386.9685754,24321258.9673687,15052971.2323991,12452048.1444295,7327337.79412343,119112.624965507,26927583.1095644,3494688102.01784,12098909477.5807,35950503.2594988,38576299.4538216,0.000127744104135247,3.45732497084557e-05,1.14650476002983e-06,2.31999541440724e-06,6.12840621739866e-07,3.47915478116291e-06,3.26517597898655e-07,1.14918087237491e-09,2.16121265881936e-06,0.00149140737399289,0.000462425491558694,0.000101838304283549,0.000147618311371801,37.3102103367658,0.0203902325238941,3.23873451268278,151.017718999794,41.8428442385601,30569.1638907956,35.7198348260459,0.067143801456525,-2.8604862,60.5129977372889,4855531,0.000136291476612965,0.00177162215139714,65.59545,8.8033814588566e-08,2.62301493276873e-05,0.0018756889829824,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,0
1.81,5,1.46,0.223,2,1.59,2.41,1,0.12,1.02,1,0.177,1.69,1,0.12,0.06,1,0.881,1.5,1,0.12,3,1,0.12,1.21,3,0.187,0.256,20,2.17,0.0757,16,2.75,1.58,14,2.08,0.7,19,11,8.18,30.5,1.72,13.8,23,46,73.9998364993158,23.6302106824721,3.05622743301524,57.5117651941767,3.67480966542691,7.61638292428753,0.490798155916055,0.242960475397637,3.37046431618736,31.4531063288899,9.5355967292108,71.8271956376591,64.8085170186037,172959047.665899,7488818768.10386,103869356.448281,409274801.84472,136866572.632229,1646146397.92522,53129661.5984863,22445686.0436701,127936976.577378,6719348012.64737,41594948975.3491,241205887.885874,322213417.168717,0.000135357755279883,0.00036782697900753,2.42767645576334e-06,4.53700359342698e-06,2.0758965654229e-06,6.50065794355721e-06,7.64335815804461e-07,7.82531461235883e-07,5.26757690243735e-06,0.00510046992847583,0.011504204051278,0.000656028242351868,0.000208513114862753,54.0363923735356,0.019334147861625,3.965091072077,2.10168803341476,49.6565308675595,244296.975207915,22.8331590017676,0.0896897937201532,644,68.4563256719545,50100980,0.00114868346342137,0.000617163016102354,61.73082,1.95511337702006e-08,4.41422094714289e-06,0.000641578258240516,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,1
1.8,3,1.51,0.1,1,2.1,1.06,1,0.12,1.02,1,0.177,1.46,1,0.12,0.373,1,1,1.5,2,0.12,3,1,0.12,1.43,1,0.715,0.329,20,1.98,0.1,18,2.75,1.72,16,1.54,0.7,14,11,6.04,24.1,1.71,13.8,24,63,74.2689170091232,14.4588266904975,1.67370507607034,31.9518678648476,0.228818632445961,72.3575441649675,0.998870641091271,0.746617058306231,29.1135316441612,37.579657685775,13.9187405025634,72.4909460933652,64.7837565122137,226718104.434802,21138036583.8274,421224799.005587,565911845.818396,75822838.3994665,782712455.468761,89804385.6215426,39574048.4675517,85395680.616572,4096537810.80704,24922105540.1574,197725633.974272,322037865.223188,0.000113564996077535,0.000362752501278728,4.44243387699557e-06,6.80581646961963e-06,1.22862194256379e-06,1.2593304943781e-05,2.46207397075407e-06,1.2846320241812e-06,4.48933228971742e-06,0.00353452561683268,0.00892228028411617,0.000498053575194968,0.000207150233847192,38.9078921005066,0.0147555256204453,6.60339417170785,37.2307400789317,49.0261446909177,129303.468458449,20.1583627807419,0.0898582753755406,776.5,69.5116806036971,57865900,0.000796641276720245,0.000641402348034396,58.8218,1.84645296878944e-08,3.8768950890212e-05,0.0010054074191293,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,1
1.8,5,1.21,0.281,1,1.1,0.895,1,0.12,1.52,1,0.133,1.46,1,0.12,0.7,1,1.1,1.5,1,0.12,3,1,0.12,1.5,1,0.385,0.4,19,2,0.0759,15,1.42,1.8,14,1.98,0.7,14,9,4.24,30.5,1.8,13.8,22,35,72.5019419579921,23.2043249654832,0.883852910410628,55.1736285607402,0.238401867978381,81.3558167675886,1.03907878430588,2.17107034243431,44.898155041001,44.8163983396296,9.66899708349266,75.4424463167803,64.3245313840495,191120528.792566,6683714680.86602,361402836.498873,306858593.688945,67168854.5815338,254875086.668326,106996226.455967,48585816.1236672,97986167.5994607,2615552633.41559,39315734058.4017,152122432.86478,348573233.722924,0.000126029810481536,0.000143373896524422,3.3029170157302e-06,4.37639636901672e-06,1.07847898543549e-06,8.5935282190681e-06,1.50120634649929e-06,1.38604497780833e-06,3.10681102717952e-06,0.00256082911795799,0.00528036120018434,0.000434339608778795,0.000197846068669726,42.8955670020307,0.0158697268952591,9.08898133093881,1.81226933571803,47.980716241186,95137.6803704971,20.316102726655,0.101328989739733,290.5,60.5472368249972,54487680,0.000544992367591739,0.00107960576400059,55.85715,2.22724275235949e-08,3.16861432069965e-06,0.000445711491749878,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,1
1.8,2,1.51,0.342,2,2.1,3,1,0.12,0.977,1,0.141,1.5,1,0.12,0.453,1,1,1.5,1,0.12,3,1,0.12,0.921,1,0.235,0.329,20,1.98,0.1,12,2.43,1.71,14,1.54,0.7,14,11,8.75,30.5,1.71,13.8,28,31,74.1528327698079,28.6120427883727,23.660865722528,52.0138952496822,1.57275204285939,60.6140945155357,0.655772341963406,1.09349114070283,37.0156544002758,39.3081151360705,12.8352117244747,72.5017771099956,64.8241124982144,280441773.559184,3153695238.57714,93885287.816529,482627427.473116,131481156.715519,395004677.575564,75364255.6561005,33703574.479848,278191362.831826,3935109700.29323,31563894065.1237,211804840.162683,320270911.639051,9.61262783928646e-05,0.000293536181757259,2.56626095388174e-06,4.258216525353e-06,1.82682330865229e-06,7.05093346726174e-06,1.09209392137719e-06,1.0048243280056e-06,3.38559502095142e-06,0.0033749599433274,0.0069380264877878,0.000468200045285818,0.000205668918071256,68.9237953248056,0.0476477651987323,9.72137797599829,0.0125230504695594,64.4312152622156,380551.594727069,21.0275912077442,0.0844936713544984,1500,83.2762823119654,77642380,0.000726069719667839,0.000715714748458045,52.26165,1.54490354187443e-08,1.11701640076539e-06,0.000103995697439296,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,1
2.08,4,2.09,0.151,2,2.17,0.06,1,0.12,0.672,1,0.147,1.1,1,0.12,0.5,1,0.583,1.1,1,0.12,2.1,1,0.12,0.755,1,0.309,0.604,20,2.03,0.06,15,2.63,0.719,7,1.86,0.5,5,5,11.1,22.3,1.8,7.13,28,38,80.6857066568297,34.5816707232286,0.0711655543299615,0.88878494209537,0.0643741811577981,81.0828198626637,2.93517618828401,2.07756595731267,50.4593638085227,47.0368361843867,7.63071883595912,46.0221602667634,60.5115999835182,92199433.0202072,5910291412.28852,5035016785.23404,653199507.47215,61355976.6364233,783663068.896574,253422523.124834,132088290.914802,357556360.539869,1293646334.07537,29966002726.1407,596850963.78343,546905731.075236,8.79974610535297e-05,0.000234842065980507,4.66768116438439e-06,5.34426951829192e-06,7.6628504948039e-07,1.16821677371027e-05,2.31696076728119e-06,2.74338586726581e-06,4.43927835177273e-06,0.00202147045241285,0.00605055302352977,0.000296339931791706,0.000117285745203741,37.5137637091635,0.025862092112839,20.4439054254056,13087.0208896886,28.7730103790756,129980.764048962,15.6506133745614,0.0846060888317054,-22.4586534324691,54.2737748894126,102749400,0.000456901670746662,0.00075633489459652,51.99541,2.6201186625603e-08,0.000223309972515227,0.0235981182030941,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,2
0.64,3,2.46,0.06,2,0.324,1.72,1,0.12,0.137,1,0.168,1.1,1,0.12,0.677,1,0.12,1.1,1,0.12,0.884,1,0.12,0.929,1,0.892,0.46,20,1.95,0.06,4,1.37,0.423,4,3.46,0.5,3,10,16.9,49.4,2.22,18.1,63,49,49.9137658342606,7.51002262430243,67.6261016866549,24.1413536295083,31.0747396238969,3.09721078580749,0.183263015398362,1.33094100784264,63.4615183732857,48.7912351163022,5.70063255021199,43.5627110849884,61.1062434979736,895089715.735098,34469592126.2978,156487136.635941,2895637117.33513,243851440.803056,413401589.233799,57586749.6573647,76724919.8604088,186360797.175292,1953601700.08349,82971016207.6803,1014952456.95106,548151151.276008,0.000230003259610969,0.000139343978504954,2.17687028321876e-06,3.85205462088288e-06,2.07702932572897e-06,2.11168221987932e-06,6.58792605255732e-07,4.00983505759564e-07,7.51640478192021e-06,0.00222893987464808,0.00272963923981696,0.000280846674383155,0.000290472763977963,80.3180448584635,0.0241178270670898,21.066143475746,0.0164114326085062,74.5875876756345,117836.867200883,19.8795021064412,0.0977925955741449,1456,85.8471154077478,102926700,0.000444171128808918,0.00155104903575686,64.91291,8.74691427654625e-09,2.24040967178596e-06,0.000114124269101346,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,2
1.42,5,1.67,0.151,1,2.25,0.06,1,0.12,0.672,1,0.202,1.1,1,0.12,0.282,1,0.583,1.1,1,0.12,1.88,1,0.12,1.26,1,0.259,0.647,20,2.03,0.06,15,2.15,0.97,6,1.86,0.5,3,4,11.2,26.8,1.8,10.2,27,11,66.1318258557076,29.020018819201,0.115695346784575,1.39477049474129,0.143975564734956,61.1299809041942,5.69603433658629,26.4838745297486,52.5348329573623,60.1013253285199,7.80369255715879,53.2289821118064,57.8264906341508,191267875.269617,8705834887.41988,8303888303.59694,875784051.728405,121608214.206807,2296067685.54994,419309243.33132,254657218.096712,171805418.413684,900006433.70748,22194663071.3662,442201869.475711,736505764.436413,0.000125098734420896,0.000199143783794455,7.73558396385039e-06,9.18091478046208e-06,1.50695119054341e-06,1.99749115294324e-05,4.00846653640684e-06,4.25933047317664e-06,3.27508927357151e-06,0.00145244027712384,0.00355738604700645,0.00026805572096555,0.000138286597761862,29.7813288656882,0.0295800447482874,40.8969142597865,19985.4998385307,23.2479661177045,88881.3604823062,15.9106392077754,0.110454483981709,-16.025798302251,50.2873949683327,122886000,0.000273161306852906,0.000955844224129914,51.96586,1.5701513550272e-08,0.000191255993039405,0.0215120205879698,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,2
4,14,1.87,2.2,14,1.99,3.7,1,0.12,3.7,1,0.189,4,1,0.12,3,1,0.224,4,1,0.12,3.7,1,0.12,2.4,1,0.922,0.3,20,1.99,0.3,9,1.79,4,11,1.92,2,20,20,10.7,6.32,1.96,9.31,10,51,110.770360154139,78.8966176142659,0.253304824601579,1.65900716468686,0.0439040754108181,213.36880640639,0.302472003173762,3.45137710542894,62.6828591392791,45.9552612679449,27.9152280320004,108.85842835193,105.175154566524,22041967.1022307,56066711.6797243,13261996.8566612,23282624.3241453,3108735.729088,34265839.8341228,8305373.62847547,14123155.1525137,27968888.3244549,3641054956.41307,8760592526.27283,46621268.7958398,38021752.5093091,0.000123416772345022,0.000196540983522087,5.64075142128977e-07,1.2112622565564e-06,1.42368926564409e-07,1.40698921306309e-06,3.55658176619854e-07,3.91245632629093e-07,3.08405568605139e-06,0.00275298007971702,0.00279195378294827,0.000238608421455915,0.000143397482080868,17.2377370702566,0.0651558025492247,0.503611242569967,34870956.0872717,17.1400789334982,293327.695196068,43.8839047943548,0.0715856439023605,-132.150011905649,56.5008197893223,2267229,0.000409267525921231,0.00134067847232134,64.70179,8.49089105282429e-08,0.000960104272673537,0.111100714935617,"CLASSAB_NULL_Pin_3",65,1.2,0.4,0.1,0
