Element,X,Y,Factor
CURRENT_0,213.7950408,385.9566855,1
MOSFET_0,223.9118016,1004.765223,1
MOSFET_0,512.2394852,1019.940364,1
MOSFET_0,306.5320151,1121.107972,1
MOSFET_0,426.2470182,1126.166353,1
MOSFET_0,2318.081293,979.4733208,1
MOSFET_10,913.5376648,509.0439422,1
MOSFET_10,1099.011613,509.0439422,1
MOSFET_12,1373.850282,861.4444444,1
MOSFET_12,1626.769303,863.1305712,1
MOSFET_13,1544.14909,709.693032,1
MOSFET_13,1378.908663,704.6346516,1
MOSFET_14,1377.222536,109.4318895,1
MOSFET_14,1554.265851,104.3735091,1
MOSFET_15,1382.280917,362.3509102,1
MOSFET_15,1554.265851,367.4092906,1
MOSFET_18,1640.258318,488.8104206,1
MOSFET_18,2290,157,1
MOSFET_18,2252.322348,478.6936598,1
MOSFET_21,1854.396422,593.3502825,1
MOSFET_21,2063,849,1
MOSFET_21,2036.498117,584.9196485,1
MOSFET_22,2034.81199,296.5919648,1
MOSFET_28,2555.825173,451.7156309,1
MOSFET_29,2552.452919,681.0288763,1
MOSFET_4,921.9682988,883.3640929,1
MOSFET_4,1109.128374,893.4808537,1
MOSFET_6,562.8232894,124.6070308,1
MOSFET_6,684.2244193,74.02322662,1
MOSFET_6,807.3116761,79.08160703,1
MOSFET_6,1038.311048,160.0156937,6
RESISTOR_0,218.8534212,756.9045825,1
RESISTOR_0,569.5677966,347.175769,1
RESISTOR_1,911.851538,731.6126805,1
RESISTOR_1,1093.953233,726.5543001,1
