Element,X,Y,Factor
CURRENT_0,227,579,1
MOSFET_21,754,563,1
MOSFET_21,486,556,4
MOSFET_21,488,687,4
MOSFET_21,1002,559,4
MOSFET_21,1002,687,4
MOSFET_21,1894,562,4
MOSFET_21,2097,563,4
MOSFET_21,2098,696,4
MOSFET_21,1894,720,4
MOSFET_21,1447,562,8
MOSFET_21,1449,689,8
MOSFET_25,1364,387,1
MOSFET_25,1598,387,1
MOSFET_6,992,261,1
MOSFET_6,237,254,4
MOSFET_6,504,262,4
MOSFET_6,753,258,4
MOSFET_6,756,134,4
MOSFET_6,505,127,4
MOSFET_6,239,116,4
MOSFET_6,1898,265,4
MOSFET_6,2088,266,4
MOSFET_6,1899,128,8
MOSFET_6,2088,133,8
