CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
5,0.614,20,0.11,0.75,30,1,0.85,8,0.1,0.85,30,1,15,46,0.351027749140715,0.0511160785483826,0.492294495917361,0.493641119205485,782002455.42459,61634889.5458688,745587537.256206,137656713.123685,6.5770188469325e-05,0.000120380919189209,3.98605004717256e-05,0.000108257695843701,-3,-13,-11,15,50.2608264194929,121.7186931597,319.903050218091,388.682206014981,42.2592278855776,3490358.87593587,14.8548443276932,0.367073591069998,351.800000000001,45.9279502439347,9173418,3.54019988233514e-05,0.000246392820057221,79.75988,0.367073591069998,3.90343522241293e-06,0.000574340740256696,Cascode_Null_Pin_1,22,0.9,0.3,1,1
6,0.614,6,0.651,0.75,30,1,0.819,8,0.1,0.85,30,1,20,51,0.346925737231134,0.0518790281052371,0.510501442592235,0.501637904701962,683827714.534843,69969901.2893962,857973710.184032,151558504.34787,8.29543827428594e-05,0.00014305593365066,4.49834174578577e-05,0.000125937504995133,-12,-13,-11,15,48.0902519285204,117.451983551054,309.796157275203,376.402331089371,38.9775672362779,4041213.4731358,15.1326359898069,0.362128993707205,352.200000000001,45.6191665118525,10659270,4.24782305511377e-05,0.000259227244477256,79.43475,0.362128993707205,3.76597325446121e-06,0.000545383923851173,Cascode_Null_Pin_1,22,0.9,0.3,1,1
6,0.614,6,0.395,0.75,30,0.554,0.819,8,0.1,0.85,30,1,13,42,0.384040927889755,0.0552508928808573,0.509958805246895,0.498064244800723,853907943.026243,98175633.8616106,856517424.357728,151323019.888335,7.0772858674537e-05,0.000135526155749203,4.48863527742724e-05,0.000125644306531352,-3,-13,-11,15,43.4304112004687,121.05133130674,324.33893646592,394.071807806093,35.0816567424005,4156970.24155938,12.2966190475268,0.373356847913866,351.800000000001,45.4631286447662,11137980,4.23957503913115e-05,0.000298882906128942,81.63221,0.373356847913866,3.44638677316905e-06,0.000628089061075365,Cascode_Null_Pin_1,22,0.9,0.3,1,1
6,0.465,18,0.79,0.85,24,0.705,0.732,5,0.1,0.322,9,0.974,16,9,0.25147361825371,0.0560865963164315,0.565207552689462,0.495035826754779,562657500.458093,85754918.3110229,1282679831.64635,1267259104.48009,0.000125092611707187,0.000138367543250137,3.92446964407783e-05,0.000128227667510456,-1,9,-3,7,45.274907277203,128.619698193321,341.607139976163,415.052675071038,26.3476412400388,4503033.62790892,12.6471223604423,0.360016248387731,-16.5037234208006,45.470534797949,11959820,4.32227788844622e-05,0.000273887050171729,81.84867,0.360016248387731,5.69801670108366e-06,0.00159074172665241,Cascode_Null_Pin_1,22,0.9,0.3,1,0
6,0.465,18,0.79,0.85,24,0.877,0.732,5,0.1,0.322,9,0.974,23,56,0.251473628158328,0.0545282099755474,0.565172701689129,0.496595031852163,562657564.378045,76189591.3821502,1282565555.68342,1267389576.70429,0.000125092633200625,0.000141672487079037,3.92403538540556e-05,0.000128228126505594,-1,15,-3,9,45.9808401908387,134.979905098353,336.313332766167,408.620699310893,27.0874484549307,4725104.74102938,13.583493806823,0.364296603211322,-17.4730251718226,45.5774945872448,11772980,4.32172673332049e-05,0.000257815397313426,80.98397,0.364296603211322,5.73371374980619e-06,0.00148533889669966,Cascode_Null_Pin_1,22,0.9,0.3,1,0
6,0.465,18,0.83,0.85,24,0.705,0.732,5,0.1,0.322,9,0.974,18,27,0.249248409260243,0.0560891233018745,0.56529207905407,0.495053443325855,547207959.309378,85777191.1763985,1282956976.21944,1267525324.55058,0.000126217360139724,0.000138425135355066,3.92552283437801e-05,0.000128266948391137,-1,4,-2,7,45.4670366974607,123.664687939447,341.509895609796,414.934523165902,26.3766592187272,4330774.83416272,12.7525724463733,0.364443194552227,-17.5058180699714,45.4650733713282,11959780,4.32349418966694e-05,0.000273975102685048,81.84216,0.364443194552227,5.84968433657101e-06,0.00159195274424567,Cascode_Null_Pin_1,22,0.9,0.3,1,0
6,0.465,18,0.83,0.85,24,0.705,0.732,5,0.1,0.322,9,0.974,20,40,0.249248409260243,0.0560891233018745,0.56529207905407,0.495053443325855,547207959.309378,85777191.1763985,1282956976.21944,1267525324.55058,0.000126217360139724,0.000138425135355066,3.92552283437801e-05,0.000128266948391137,4,4,-2,7,45.4670366974607,123.664686559278,341.509895609796,414.934523165902,26.3766592187272,4330774.78582879,12.7525724463733,0.364445396988099,-17.5063105599606,45.4650733713282,11959780,4.32349418966694e-05,0.000273975102685048,81.84216,0.364445396988099,5.84968433657101e-06,0.00159195274424567,Cascode_Null_Pin_1,22,0.9,0.3,1,0
6,0.465,18,0.79,0.85,24,0.705,0.732,5,0.1,0.322,9,0.974,13,6,0.25147361825371,0.0560865963164315,0.565207552689462,0.495035826754779,562657500.458093,85754918.3110229,1282679831.64635,1267259104.48009,0.000125092611707187,0.000138367543250137,3.92446964407783e-05,0.000128227667510456,-1,9,-4,7,45.274907277203,128.619699072024,341.607139976163,415.052675071038,26.3476412400388,4503033.6586727,12.6471223604423,0.36445740129705,-17.5089947568575,45.470534797949,11959820,4.32227788844622e-05,0.000273887050171729,81.84867,0.36445740129705,5.69801670108366e-06,0.00159074172665241,Cascode_Null_Pin_1,22,0.9,0.3,1,0
6,0.465,18,0.79,0.85,24,0.705,0.732,5,0.1,0.322,9,0.974,10,4,0.25147361825371,0.0560865963164315,0.565207552689462,0.495035826754779,562657500.458093,85754918.3110229,1282679831.64635,1267259104.48009,0.000125092611707187,0.000138367543250137,3.92446964407783e-05,0.000128227667510456,-1,9,-3,7,45.274907277203,128.619701716537,341.607139976163,415.052675071038,26.3476412400388,4503033.75125828,12.6471223604423,0.364504532043536,-17.5195316132513,45.470534797949,11959820,4.32227788844622e-05,0.000273887050171729,81.84867,0.364504532043536,5.69801670108366e-06,0.00159074172665241,Cascode_Null_Pin_1,22,0.9,0.3,1,0
10,0.85,20,1,0.785,30,0.876,0.796,12,0.1,0.227,29,1,14,56,0.302464655324394,0.0557634217409994,0.518398078568687,0.44074379774742,236509658.878644,98167045.4058673,935903409.656028,1213418049.04017,0.000170213355540846,0.000224313430630393,7.20798920227523e-05,0.000241740566910765,2,1,-4,15,66.0913296766855,138.54527797067,377.294541449361,458.412867860974,41.9110883549301,7926663.47526147,17.1896771348388,0.37345800983613,330.200000000001,47.306614237271,21586350,7.06339792577986e-05,0.000287002743182143,74.98631,0.37345800983613,2.8781760255725e-06,0.000510762932824982,Cascode_Null_Pin_1,22,0.9,0.3,1,1
