CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6,0.818,22,2,1,1,0.3,0.999,1,0.902,0.15,49,2,100,3,0.345712288708941,0.174453948815669,0.808670440190755,0.915316464957341,226429580.60537,1103133668.8895,926837388.431221,477811666.900245,0.00012047186899075,5.16622655973468e-05,2.78584956340954e-05,0.000155163718149809,15,15,-15,15,71.8999066989922,50.3436517919846,134.571123552252,3431.56365058243,44.398422942674,39252831.1877591,17.9231190365963,0.00376537625797261,397.700000000001,43.4031799694554,104924800,4.58645725464796e-05,0.000356690285927627,61.88887,1.4445946154037e-08,3.29612118119826e-06,0.00103917756192018,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
6,0.868,24,1.59,0.977,1,0.3,0.995,1,0.885,0.15,50,1.97,100,7,0.354145365513923,0.17233216128611,0.810110958963415,0.916560590263277,224052446.446217,1134778899.23658,936197458.116508,473578731.914824,0.0001156964806777,5.18618761071434e-05,2.75335766500169e-05,0.000154582881387421,-13,-14,15,15,72.3532101977323,52.3921564970292,135.13930832387,3446.0523622587,44.290612872044,40617814.5625183,17.2726920310645,0.00379524185698298,373.800000000001,43.3097535315396,104768800,4.56038340337332e-05,0.0003590783909349,62.05672,1.55215361917211e-08,3.28747018570053e-06,0.00104361182740975,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
6,0.923,25,2,1,1,0.3,0.999,1,0.902,0.15,49,2,100,11,0.345871674735827,0.17387217706359,0.805055214795333,0.915244431291691,179029698.700244,1097910303.87516,921774614.756115,475353838.443746,0.000120720388003309,5.13470138953898e-05,2.76743492757066e-05,0.000154361860435523,15,-4,-15,7,73.0953100254957,49.1694478882462,134.872938748415,3439.25993808459,44.5243880828425,38001245.5231654,20.0624573769018,0.00376902383505771,362.300000000001,43.4886978020336,104238300,4.54625276410714e-05,0.000354365436337239,61.75474,1.55911453888371e-08,3.33130350111677e-06,0.00104574631668874,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
8,0.661,35,1.23,1,1,0.812,0.927,32,2,0.374,50,1.58,11,12,0.344518738994538,0.135902083196167,0.358493017188913,1.0485235010758,355487376.283795,771910947.877298,201528009.390025,492537512.378149,0.000157220706117035,8.79549517761659e-05,0.000187851541498452,0.00021010486233862,-8,-2,-4,-3,59.8754726924649,41.2039328507503,88.9888580147037,2269.21587937494,43.0884403932492,44087940.4876514,20.275117755515,0.242687298709228,349.700000000001,40.642700937598,95217500,6.29407943502235e-05,0.00045151885322584,56.72317,0.242687298709228,1.65416245630412e-05,0.0046984502661348,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
6,0.818,22,1.99,1,1,0.3,0.999,1,0.902,0.15,49,2,100,23,0.34591919580553,0.174450879539312,0.808656104528548,0.915316909564046,227032288.35916,1103107864.25649,926817349.123552,477795699.35447,0.000120356470645802,5.16607937147832e-05,2.785776664014e-05,0.000155158500638367,6,15,-15,0,71.9018895368651,50.4102247765562,134.587824713332,3431.98953018996,44.3988264984561,39303006.8640329,17.88291128424,0.00376583474839455,348.500000000001,43.4033560746476,104933200,4.5862552497731e-05,0.000356766148431015,61.88793,1.44027941536641e-08,3.29627710260294e-06,0.0010392241783902,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
7,0.659,1,2,0.973,1,0.3,1,1,1.33,0.419,50,2,28,47,0.586656320150926,0.181702952459769,0.746226668312986,0.993664273078661,1300104439.34867,1218998659.16956,835156166.496314,312793594.047305,5.10849801719961e-05,5.58621809350762e-05,3.58557866798141e-05,0.00017340285435648,-14,15,-15,8,65.1923829895975,52.5177302431552,125.805474422202,3208.03959776615,45.5204828603996,45933063.8881567,9.95225100165787,0.152469226335507,343.800000000001,44.6436526837455,110032000,5.14482427570183e-05,0.000362256342414067,60.34285,0.152469226335507,4.08723553803447e-06,0.0011749127539008,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
8,1,50,2,0.907,2,1.11,1,37,0.3,0.534,31,2,13,53,0.330458877741512,0.0893424070945659,0.451744172666037,1.1220482215312,128708060.831864,513761037.462349,374763227.466324,410249909.166318,0.000170146785999605,0.000123241949097553,0.000110040248142512,0.000189431645881644,-9,-4,-1,0,65.6973557758374,36.8631229238355,105.350783624359,2686.44498242116,42.9041418499136,38591046.2578358,30.0418171887121,0.240962140757386,267.6,40.2320854484873,110289000,6.15808256199251e-05,0.000453036141697933,58.35539,0.240962140757386,1.45400148421709e-05,0.00400889606344768,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
8,0.661,35,1.23,1,1,0.812,0.927,50,2,0.374,50,1.58,13,61,0.344518738994538,0.135902083196167,0.336188928501968,1.04833414478734,355487376.283795,771910947.877298,159493118.71273,494200405.6368,0.000157220706117035,8.79549517761659e-05,0.000203920505898093,0.000210946331519238,-8,-2,-4,-3,59.1857384991265,37.6001818961884,80.4104441973985,2050.46632703366,42.772872891146,40234918.2814513,21.8591948616595,0.254315643322186,239.7,40.3680176380489,86045000,6.29454374833443e-05,0.000444298342088799,57.66467,0.254315643322186,1.75758618448446e-05,0.00504755355326691,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
6,0.72,50,2,0.93,1,1.38,0.808,17,0.313,0.314,45,1.06,13,62,0.301291109792048,0.0972341630938136,0.478247982386084,1.08326965452953,160307437.739592,562966021.379751,635579665.450624,663800589.64172,0.000137907471717198,8.95250100103192e-05,7.73378223974933e-05,0.000155332041442511,-8,-15,-6,-1,62.6516284917173,38.8734766053648,138.303817567015,3526.74734795889,42.790137463506,31594325.9956146,24.9707456036058,0.259727798118286,236.8,40.2197296234665,112406100,4.78086841399577e-05,0.000440663021402363,64.43602,0.259727798118286,1.4805454890317e-05,0.0039116398206982,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
8,1,1,1.31,1,2,1.37,0.89,33,1.41,0.268,41,1.92,12,59,0.754308841994482,0.0841179702701643,0.364292738138677,1.07865454321247,847160340.1153,390814569.783756,236677126.399529,604331436.088351,3.59547664103571e-05,0.000122807530284669,0.000162425615376755,0.00020373395364916,-8,-11,-6,-5,52.3337123548638,48.6696186492913,108.319885870518,2762.15708969822,42.3548385246908,48317183.2595637,12.4369337057009,0.252315611292219,-0.505082455087803,39.7959262807726,107535500,5.83975656567829e-05,0.000450987525361262,53.18301,0.252315611292219,1.95724536678021e-05,0.00488678802252018,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.659,1,2,0.973,1,0.3,0.9,1,1.33,0.419,50,2,26,4,0.62273516323727,0.203374067633301,0.775489636059469,0.982634365138925,1437917928.12804,1394434144.01176,1079202230.14513,379789267.92237,5.83082796211658e-05,6.48807813806162e-05,4.24400753686772e-05,0.000217433987986331,-14,15,3,-7,60.0577704548411,51.3142158755921,124.200748758138,3167.11909333252,44.3343375248118,57337299.7844522,9.93887820631685,0.149466696742807,404.500000000002,44.6078031982883,138779000,6.57280303851662e-05,0.000355256739491781,58.59839,0.149466696742807,3.61577111376188e-06,0.001061743557909,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
7,0.858,1,1.35,1,1,0.3,1,1,1.9,0.23,47,1.86,27,14,0.689499883759012,0.182720161283122,0.673274736651725,0.958252689624056,1009699467.10013,1164429177.57545,722148603.696816,507153624.365117,3.70740669341224e-05,5.47207111877864e-05,4.24191526053421e-05,0.000173597097299334,3,-13,0,15,66.7264148554291,61.1116215532519,142.662162847876,3637.88515262084,46.0744627451079,52623222.2764256,7.44174710669477,0.154411444020614,379.400000000001,44.6868017523037,122846400,5.06529459477979e-05,0.000369665170963579,58.60611,0.154411444020614,5.78984843393138e-06,0.00146333811378974,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,1,2,0.962,1,0.3,0.982,2,1.52,0.423,48,1.94,25,19,0.663542944548413,0.201635522181544,0.631881735889605,0.984637198077514,990139652.212645,1408933456.90463,678873097.78387,399098065.493422,5.16968019904186e-05,6.47065873252173e-05,6.1276398362866e-05,0.000216551923059342,-9,-11,15,11,68.9091265893113,54.3756127685589,125.333295731647,3195.99904115699,46.3091786106205,60211435.6267889,10.0113076069013,0.148148867695836,372.100000000001,44.7795791837502,138784600,6.51367216695526e-05,0.000375706880987852,55.67742,0.148148867695836,6.39486886374718e-06,0.00163620785125662,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,1,2,0.978,1,0.3,0.982,2,1.52,0.397,47,1.94,26,23,0.663542944548413,0.203121441858214,0.631768209670025,0.981479930034473,990139652.212645,1377859820.6835,678678497.353908,427625821.079505,5.16968019904186e-05,6.43314254139531e-05,6.12536822103836e-05,0.000217723892629452,-9,-11,15,7,69.2821226442219,56.4156314090881,128.281768012264,3271.18508431272,46.4633670476942,62458077.4050436,9.68902884710331,0.150421436068659,368.600000000001,44.8935564620964,142021500,6.51238754485695e-05,0.000375704023228762,55.28466,0.150421436068659,6.37441996680532e-06,0.00161476940614658,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,1,2,0.97,1,0.3,0.982,2,1.52,0.423,50,2,29,29,0.663542944548413,0.202379566581576,0.631811756390334,0.98119366086348,990139652.212645,1393249920.23059,678753144.952771,377886438.780631,5.16968019904186e-05,6.45181339561654e-05,6.12623959297197e-05,0.000217951976998051,-9,-11,15,14,69.7021149377739,53.4654026019603,122.525389356398,3124.39742858815,46.4904090614647,59198110.7323918,10.2987164248755,0.144150795708445,355.500000000001,44.8798984664146,135662900,6.51307506970887e-05,0.000374392220535875,55.26564,0.144150795708445,6.3507572216609e-06,0.00161690567419959,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
9,0.841,1,2,0.947,1,0.3,0.982,2,1.52,0.512,50,2,31,29,0.663542944548413,0.200234536643602,0.632012268005745,0.990679572002071,990139652.212645,1439159002.39077,679096825.841503,319659456.269427,5.16968019904186e-05,6.50647395811853e-05,6.13025153321217e-05,0.000212725067725259,-9,-11,15,15,68.8908556559069,56.371647574365,115.686017291264,2949.99344092722,46.0788163160529,62432835.3611794,11.1272305629029,0.140698881388803,350.200000000001,44.6018223949749,128124800,6.51483482416127e-05,0.000373084364909699,56.5578,0.140698881388803,6.4397963151952e-06,0.00167304892350184,"Cascode_Null_Pin_1",22,1.8,0.9,0.1,0
