CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
32.8,0.5,15,9.1,0.5,1,0.5,0.5,1,0.776,0.5,1,3.01,29,19,445,108,207,1000,8000000000,8000000000,8000000000,8000000000,0.0363,0.000154,0.000251,6.16e-05,18.4064643446791,4.62131546498871,15.1997978821956,518143.090967974,14.7922271775152,252942917.305935,23.4848035972201,0.158309871810651,73,26.5151146294267,831945200,0.000248790748417692,0.00159076400077413,77.93659,1.03906683731104e-09,0.000283926943450005,0.0277271592593848,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
27.7,0.5,1,20,0.5,1,0.5,0.5,1,0.592,0.5,1,2.28,22,59,1000,108,222,10,8000000000,8000000000,8000000000,8000000000,5.03e-07,7.44e-05,5.05e-05,6.16e-05,16.9081734326572,20.5591868828915,14.7019714948476,2503053.75740844,12.7686160970222,925405727.712379,9.19902168711434,0.158313900293388,-42.9362936725661,23.6421845267758,661762000,0.000204599028910053,0.0018877624336874,72.23446,5.13708183081089e-10,0.000428022837565125,0.0405900404286978,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,1,9.36,0.5,1,0.5,0.5,1,0.632,0.5,1,2.03,21,31,128,849,222,1000,8000000000,8000000000,8000000000,8000000000,5.03e-07,7.44e-05,5.05e-05,6.16e-05,18.4181124307161,24.2051199877804,14.2465390441646,1402965.57072135,13.9845262739808,1031902052.15939,6.46931217363948,0.0554191052592624,-42.0981341434824,23.5855192212523,607352200,0.00019377982326961,0.00199085703284925,70.60334,3.48212846898056e-10,0.000359665301585416,0.036783815805697,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,1,12.4,0.5,1,0.5,0.5,1,0.632,0.5,1,2.03,22,56,128,849,222,1000,8000000000,8000000000,8000000000,8000000000,5.03e-07,7.44e-05,5.05e-05,6.16e-05,18.3131939843186,22.7860490439505,14.3005109249385,1285472.51210004,14.0272169986881,975200088.990822,7.34928567957458,0.0518191418240425,-39.0769605995839,23.8260574149643,612035000,0.000194536914613017,0.00198101883759945,71.30882,4.25362504001036e-10,0.000346320104272465,0.035704106802134,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,50,9.36,0.5,1,0.5,0.5,1,0.776,0.5,1,2.03,21,0,10,108,10,1000,8000000000,8000000000,8000000000,8000000000,5.03e-07,7.44e-05,5.05e-05,0.000185,20.310668942585,1.76542936098764,14.8032732335324,135254.396024459,16.6277524673308,79805558.4774995,43.3192336035623,0.145906709744403,-16.189432875,26.6151321774185,669176300,0.000205475532779829,0.00176454674025667,81.18334,3.01096590487204e-09,0.000140528415650351,0.022192030225914,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
20.9,0.5,1,5.95,0.5,1,0.5,0.5,1,1.25,0.5,1,10.8,47,0,137,703,69,1000,8000000000,8000000000,8000000000,8000000000,0.0318,0.000724,0.000968,1.41e-05,47.803183384718,9.43883089905482,24.4089803798014,3.22070768925396,38.2708813121347,317366588.042472,6.13188388670236,0.0832417135921507,619,41.8784447239524,820715500,0.000152834118506934,0.00124311014464504,56.19448,4.20730465230994e-10,3.85400604357988e-06,0.00295867290316698,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,1,9.36,0.5,1,0.5,0.5,1,0.776,0.5,1,1.46,15,0,1000,108,222,1000,8000000000,8000000000,8000000000,8000000000,5.03e-07,7.44e-05,5.05e-05,6.16e-05,19.0416585947677,22.792184580475,11.786019423652,1301918.41176572,14.2455773655358,971459862.364626,6.43630328682544,0.0500024969182769,-55.5062935432319,22.7535372680618,502349600,0.000193738631394495,0.0022110362250721,73.06407,3.81998660899948e-10,0.000280745243755339,0.0369734350487689,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,1,8.69,0.5,1,0.5,0.5,1,0.776,0.5,1,2.27,18,0,320,108,222,1000,8000000000,8000000000,8000000000,8000000000,0.0303,4.46e-05,6.2e-05,6.16e-05,21.6213060159481,25.474279903263,14.9595484138263,137326.257180424,17.2452608522458,1085176630.95293,6.28935608786782,0.0466453637210909,-20.139013125,26.3034471441797,637260500,0.000193631422301921,0.00194341878645735,69.19694,3.36795679353017e-10,0.00015394142245,0.0230251816998999,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.9,0.5,1,8.69,0.5,1,0.5,0.5,1,0.776,0.5,1,3,24,0,320,108,222,1000,8000000000,8000000000,8000000000,8000000000,0.0363,4.46e-05,0.000251,6.16e-05,23.4189058815588,26.9102408923845,16.8997970717221,38918.8414468582,19.174120587022,1163527279.65719,6.34712533356637,0.133122909570987,-8.575590375,28.429051108925,730702300,0.000196533371188618,0.00179120232613642,66.75528,3.61622238097089e-10,0.00011133442859066,0.0174971993068929,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.9,0.5,1,8.69,0.5,1,0.5,0.5,1,0.776,0.5,1,3.96,25,0,320,108,222,1000,8000000000,8000000000,8000000000,8000000000,0.0398,4.46e-05,0.000251,6.16e-05,25.6741889770145,24.4564232414986,19.0026570361643,8729.69486887355,21.5159447846281,1057599743.13416,6.42230488220545,0.123609916033943,310,30.8339806559812,821755700,0.000196564784319875,0.00164915329429886,64.30077,3.66720885063042e-10,7.05089250801205e-05,0.012705538711161,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
26.5,0.5,1,8.69,0.936,1,0.5,0.5,1,0.758,0.5,1,5.78,31,0,320,10,141,1000,8000000000,8000000000,8000000000,8000000000,0.0336,0.000252,0.000121,5.03e-07,30.1232299611821,26.9544615271373,20.9729674106066,2023.70070101657,25.7473089688909,1142380769.27844,6.67637626261432,0.119163907230542,676.5,34.9016051856784,888873800,0.000192644911682939,0.00137964848728874,50.89891,3.92738184898132e-10,8.649490646637e-05,0.00769249756658685,"Cascode_Null_Pin_1",40,2.5,1.2,0.01,0
