CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,10,50,5,2,50,5,1,50,5,10,8,4.89,0,56,2200,2.75,368,6200,698000,1140000,6900000,2080000,1.81e-05,2.17e-05,2.11e-05,1.23e-05,85.7420752627372,0.641795716092387,76.7698707105378,0.429791527424829,46.8124973341624,1000,157.424267506633,0.551107419371587,1.13221381881592,46.9906401179042,119617.3,7.08240088159178e-06,7.02764599998828e-05,85.87642,1.54000324581221e-06,7.70576545322532e-06,0.005514967979797,"Cascode_Null_Pin_1",40,2.5,1.2,10,0
46.7,10,11,6.26,10,9,5.29,10,6,4.29,10,10,5.28,21,23,2888.10883899862,6.75533712540913,1832.84618400661,7357.16887849266,12283899.0847875,9773666.07036859,23055042.370758,7028399.34956111,0.000172815723312963,0.000425778369064095,0.000123566159921297,7.3079621871476e-05,28.059442441013,23.7553351375745,9.93820597573084,612322.546632519,20.5598240435581,1704531.15881369,102.040678163172,0.0496561649863182,-28.4028822,27.6408093723275,713102.2,0.000326152792996954,8.57781522143999e-05,78.13133,1.25858727961567e-07,0.000889794813812125,0.0211264654936509,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
21.8,10,5,6.65,10,10,5.03,10,6,3.13,10,5,8.57,19,21,2916.5528164838,7.32526621395988,2152.93842497318,7471.70456627132,12089390.8413244,5714739.03980215,18890782.8939104,6367980.76726176,8.20918310301285e-05,0.000243148369376076,7.32931456655897e-05,5.34593123256702e-05,42.3335068915638,38.7801877354608,16.3016662465174,39.3594911803842,37.2874259095395,1302764.79389424,86.1022647785759,0.0342711072352591,-44.7845211,45.386288618987,547631.1,0.00015269802700439,7.5961594432324e-05,77.24891,2.17202528160775e-07,2.44409932519252e-05,0.00210935565405501,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
28.2,10,11,6.26,10,16,4.91,10,6,4.29,10,10,5.28,18,3,3338.2147212585,7.56691238367563,2196.76554223921,7454.49353889433,9769162.39598645,5065420.28807714,18225121.9857206,6756104.68220273,0.000135991152456999,0.000328362759902272,9.7037872949022e-05,7.00392010429179e-05,43.7012841347011,43.8432348749898,16.1065741015443,23.9172393976775,38.5514725134248,1906119.72622878,112.155249542765,0.0294684835339212,-29.6756262,46.4673936837081,700246.2,0.000197617274329126,7.71429124761123e-05,72.99982,1.69743921647758e-07,1.75848860123451e-05,0.00183021830971497,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
13.6,10,11,4.94,10,17,5.2,10,7,4.82,10,8,10.2,20,2,3793.45535193002,8.61961057416062,3159.10623121869,7684.0828151306,7754323.80073834,3089427.58788649,10768509.280217,5261662.19145395,8.39598052503778e-05,0.000196791708823439,7.36930615944305e-05,8.26969737516391e-05,65.3772375524519,18.9552836453336,40.8443589037547,0.0147617922387561,58.3342486123999,397661.825672807,113.322548506464,0.0420037738653322,-14.1697215,63.627437877104,856871.5,9.53588343429087e-05,6.94318435013688e-05,67.69866,3.11948154591332e-07,2.25541467686941e-06,0.000215526222071993,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
9.16,10,4,7.85,10,1,2.04,10,11,5.03,10,47,13.4,50,62,1853.41851774458,11.8683242248208,2023.04557476558,5884.42071866553,6240045.60138061,18072458.9324864,4769896.89582793,1545722.94859524,4.17183591553094e-05,3.61277870270765e-05,5.39784299594093e-05,0.000129728534660688,94.3677439674555,53.5239892632507,72.1753152675847,0.000122724568866653,79.2150498296587,755802.888496327,127.896051541867,0.0873759673365708,370,77.1410143556018,1019175,6.41855684202911e-05,3.50827701139385e-05,73.72593,2.56883461111253e-07,7.8880928370495e-07,9.27781781090431e-05,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
9.59,10,10,3.43,10,1,4.83,10,4,4.8,10,38,10.2,36,51,3706.00848023027,7.1380041315282,3138.46691266131,7823.07773699022,8250197.16696119,15451217.8062314,10882545.5758014,2269525.07802191,5.64425219356868e-05,7.05096402085698e-05,4.23994650714332e-05,0.000143874864591572,88.9518195264163,48.9004640358463,73.4489762455453,5.95093495878324e-05,73.1566014620325,723052.538952157,105.915532383121,0.0912346295176155,390,74.9621628189261,1086032,6.72100462558658e-05,3.75758699611722e-05,76.65133,2.92543200789393e-07,3.14949901905059e-07,7.42134673099581e-05,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
9.03,10,4,6.93,10,1,2.72,10,5,3.59,10,47,10.8,48,61,3546.0860771342,8.24764653620853,3139.41385121018,7796.42472093179,8761405.9031973,21368780.2546793,10985850.9046321,1924464.07273204,4.88365668642985e-05,5.51581085812625e-05,3.99494676397368e-05,0.000151434913309074,88.667597397924,51.138607732386,74.3417773346605,5.59600153402444e-05,74.1979715840146,711871.748045234,113.661778976048,0.0974498844116472,362,76.3591568520819,1034870,6.32747119332243e-05,3.46538202446381e-05,77.77256,2.37449821576627e-07,4.23420551834974e-07,6.18961564440301e-05,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
13.2,10,32,4.69,10,16,4.91,10,1,4.29,10,21,7.25,26,48,4599.37040804525,8.55939928941511,1765.55368182897,7827.36289853236,4508784.43260019,3236572.11383654,24148224.9150354,4367091.04647961,0.000128196568559939,0.000186036008435398,2.15948825429419e-05,0.000125040302311581,47.2784303261361,70.7642416649099,49.8412630455997,83.0599053631601,38.3957705493617,1441716.73617014,143.653750386128,0.140203889250775,45,42.7786157265582,1015442,9.26069118738546e-05,5.67314965196858e-05,66.21034,2.86087588511172e-07,0.00014935578663712,0.00257297529896894,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
13.8,10,20,4.86,10,12,4.67,10,1,5.01,10,50,5.2,26,46,4269.40161451173,8.10159015046746,1840.64220550756,7922.67135339353,5817281.10970231,4017400.41822933,22867469.8463093,3387716.90055131,0.000110194945057646,0.00017560052462604,2.38712867548245e-05,0.000158491996560835,57.6715646460129,76.3894042551302,55.2493564580808,4.21563025099208,46.4362996222606,1626423.33070429,130.380213222713,0.123636913618594,79,49.8193569674741,1176326,9.67782560090673e-05,4.80965985576956e-05,67.26047,2.51617235188321e-07,5.90188498194899e-05,0.00118505462038798,"Cascode_Null_Pin_1",40,2.5,1.2,10,1
