MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.539,3,0.765,0.384,1,0.677,0.435,1,0.714,0.04,8,1.53,0.714,1,0.984,0.85,1,1.52,0.85,1,2.4,3.12,1.06,81,28,0.101957303439153,0.573516489154754,0.579954631720184,0.0613687680505493,0.306459111630288,0.30000547519991,0.0614163252305848,162693287.856088,483895026.386854,1023788304.09266,123564409.072437,271949092.302427,845961638.078134,123629298.028772,5.2632285991235e-05,2.1264885452448e-05,9.91820760671509e-06,2.1794461016132e-05,2.03927646869267e-05,9.91328365061852e-06,2.18028218892477e-05,15,15,15,15,15,15,15,93.1948466936133,1928.0719450704,15288.4387022063,137.595948319857,94.3677315479951,137388.966045824,58.4740230444255,0.000505363201355483,986.600000000003,128.475995042166,1089411,1.18761963557337e-05,0.000203155265684538,48.30771,4.94186431589917e-06,1.62908508518078e-07,1.00491492580068e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.85,3,0.812,0.371,1,0.36,0.486,1,0.528,0.04,8,0.349,0.85,1,0.956,0.85,1,1.11,0.843,1,2.4,3.12,0.787,65,14,0.10222220722592,0.589342177675361,0.579979663428714,0.0616563426011868,0.290639797074664,0.299968541741838,0.0617030806253279,162765175.86698,193141612.321085,1246722185.10516,123669334.145751,234003717.862912,729252539.852116,123732925.881518,3.8830187272067e-05,1.49712371012071e-05,6.98821210036173e-06,1.60885838907556e-05,1.58943075630625e-05,7.29048897645909e-06,1.60946186125883e-05,15,15,15,15,15,15,15,79.7630109470427,1471.60210363843,15248.2105467438,137.233894920694,79.7133682874269,77906.0395557543,58.4595229881326,0.000568393535603627,984.000000000001,132.102752329473,807234.3,8.82326811972899e-06,0.00022639927501147,45.87664,6.62765582313238e-06,3.93590478670047e-08,7.46227788317455e-06,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.654,2,0.81,0.419,1,0.694,0.56,1,0.774,0.04,15,0.451,0.85,1,0.958,0.85,1,1.22,0.839,2,1.29,3.12,1,61,27,0.104888001091497,0.592934642602815,0.579986059089316,0.0632036415223068,0.287037669306282,0.299955933247395,0.0632490772872927,176331001.571583,405286168.058711,1116817171.42056,133286896.758229,257370439.072498,746405919.526033,133352938.503516,4.82305567566015e-05,1.76363117567008e-05,1.37991374178757e-05,1.99706846824961e-05,1.95740509091454e-05,1.38534245269713e-05,1.9977833483227e-05,15,15,15,15,15,15,15,86.6375022242466,1956.03636911201,15753.5014256982,141.781512831284,87.3982734517329,134970.905118161,58.464583689615,0.000789488415362907,975.800000000002,129.841706911286,1087027,1.15003745371253e-05,0.000322740223985386,48.58582,4.9275889892957e-06,2.4342261828042e-07,9.66525520867956e-06,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.763,2,0.721,0.419,1,0.525,0.521,1,0.676,0.04,9,0.899,0.85,1,0.974,0.85,1,1.42,0.842,1,1.24,3.12,0.956,64,36,0.101249361314045,0.555688495210884,0.580005345629475,0.0610191351897743,0.32427151608888,0.299917043325231,0.0610736124718449,159097098.468247,325018701.855385,1275485864.25506,121071007.931488,366991926.619267,885073195.730613,121143903.680436,4.75478620749548e-05,1.57186939548522e-05,1.28872840488628e-05,1.96997298454922e-05,1.63744598717938e-05,1.37163577429302e-05,1.97084177637086e-05,15,15,15,15,15,15,15,94.1501823717205,1515.44260108342,15131.8908617034,136.187017755331,99.9391315199633,100480.317664626,58.4564800257422,0.000631817387341429,957.600000000002,132.047089726024,1003309,1.10507119166364e-05,0.000275540576632847,58.2452,5.49604649677549e-06,2.29257494162305e-07,2.59945669298101e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.85,4,0.75,0.518,1,0.467,0.632,1,0.719,0.04,9,0.843,0.85,1,0.998,0.85,1,1.15,0.842,1,0.611,3.12,0.765,66,47,0.101335448598729,0.546004516559644,0.579976508027956,0.0609859725308093,0.333949759331817,0.299999984379682,0.0610351759936035,157503850.321382,171752481.411249,531277419.090518,119827653.383982,467762698.275647,342528862.389339,119892766.544378,3.8134332412144e-05,1.53375683900163e-05,4.69549678016635e-06,1.57943557919769e-05,1.17891685578156e-05,4.979283880358e-06,1.5800645479742e-05,15,15,15,15,15,15,15,93.9095431970209,1319.71362960151,13259.1996119048,119.332796507143,96.4284883870358,66846.5151037112,58.4481915716817,0.000700038012074286,949.800000000003,129.942492696875,671608.8,8.44204803278619e-06,0.000164098621771491,42.53201,8.72278039652074e-06,8.68042739776698e-08,1.2894125684948e-06,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.85,3,0.719,0.462,1,0.668,0.462,2,0.607,0.04,26,0.1,0.68,1,0.954,0.85,1,0.921,0.848,1,1.19,3.12,0.897,59,56,0.108338751876231,0.556765708017086,0.580038589014486,0.0654012831535707,0.323200117910874,0.299921412292151,0.0654307852618638,192330647.892733,218891403.818376,882450938.33176,144583180.099725,360912345.774495,659036239.482094,144628991.974495,4.22128264244981e-05,1.61790752786416e-05,1.12621906285925e-05,1.74739171496785e-05,1.55499138473449e-05,1.2950913327195e-05,1.74778734108154e-05,15,15,15,15,15,15,15,73.5368975803894,977.73336077864,14530.6020947151,130.775418852436,73.3770436136212,60253.440495849,58.4232734789827,0.00131594775683239,917.200000000002,127.805736349139,895457.6,1.02709393843779e-05,0.000256725069471121,64.25587,5.40394578610646e-06,2.68438962695017e-07,3.55504603303802e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.681,1,0.768,0.477,1,0.492,0.658,1,0.698,0.04,10,0.954,0.85,1,0.974,0.85,1,1.15,0.814,1,0.1,3.12,0.665,65,61,0.0989691056313045,0.505958669152619,0.580064503787688,0.0596231747599557,0.373853474443778,0.299865435191544,0.059676508418416,145779023.218108,446212647.039058,1018700768.27801,111472755.0064,1110649304.90053,595519285.546045,111538848.638746,3.38155604094169e-05,1.06245428645603e-05,1.12138258598172e-05,1.40136780066336e-05,7.24686244594803e-06,1.20959227094919e-05,1.40198325182648e-05,15,15,15,15,15,15,15,87.7381813593088,1589.09760839433,14313.2640789556,128.819376710601,91.5141238127106,74902.5707026585,58.4233572811423,0.000925444290001861,913.600000000002,129.764572711016,674659.8,7.85588104709967e-06,0.000330706283446374,68.0777,6.99483037880152e-06,5.19610494476019e-07,5.10420499533759e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.518,123,0.391,0.113,109,2.28,0.312,33,0.1,0.28,246,1.56,0.85,250,0.148,0.443,1,2.35,0.85,10,0.716,3.12,3.2,95,3,0.0996222751743471,0.600994140097912,0.580007618629279,0.0610367889066296,0.278990778158846,0.298224792301617,0.0610562306442127,532892950.269549,142061365.597702,4662879792.78145,403409843.595794,267144883.278101,11465679819.7217,403498034.455729,0.000161065759028722,7.77622054199667e-05,0.0053529438959831,6.63372800687772e-05,6.03607341967816e-05,0.00131593144013629,6.63480332690009e-05,15,15,-15,-5,8,9,-5,86.7640869190528,331.307429344495,2513.88184876568,22.6249366388911,79.9091016862857,665726.751650717,62.7508524563611,0.000970135629338559,1125.4,88.2109897169863,5051376,0.00033489879423465,0.000836467319272518,51.05888,4.94662738123486e-07,2.89735691413051e-07,1.22753610357629e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,2
0.518,183,0.307,0.113,109,2.36,0.312,33,0.162,0.187,246,1.56,0.85,246,0.364,0.443,1,2.35,0.85,10,0.716,3.12,3.2,81,9,0.0995681389712629,0.600417947741481,0.580121371037052,0.0610722944162577,0.279566807178171,0.298372260430798,0.0610887521496558,535160947.380977,121967341.848099,4017131091.76028,405126758.540429,268703743.499614,10240447463.2928,405201784.889106,0.0001621947601931,7.81657735619841e-05,0.00467637294288236,6.68093381263714e-05,6.09044865471022e-05,0.00149866436332932,6.68185095374857e-05,15,15,-15,-5,5,9,-5,87.0398489460114,295.73993599055,2198.27437001354,19.7844693301219,82.6274635227388,518055.958122615,65.0338574897722,0.00130713339167289,1088.8,87.5804509066877,3850779,0.000291954684435522,0.000884705257308245,55.9238,4.41033241565935e-07,1.77764821488208e-06,2.20490053295941e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,2
0.85,242,0.307,0.112,109,2.4,0.404,410,0.19,0.171,226,2.39,0.85,244,0.364,0.443,1,2.23,0.85,10,0.852,3.12,2.92,59,13,0.0990875020367831,0.607278605475361,0.580198539834505,0.0607129250893679,0.272709381602286,0.299604213572825,0.0607291211761179,525741952.004937,53839156.0370123,5283277423.70678,398561188.825841,237337974.942257,2374736059.93896,398633905.317774,0.00014906512633438,7.24921468810371e-05,0.00647606540291021,6.14047135224787e-05,5.93400130300234e-05,0.00429170637000253,6.14130428463126e-05,15,15,-15,-7,6,9,-1,86.5121475733911,290.195444017211,1865.65577087486,16.7909019378738,82.8299654449045,691963.852262001,65.815473940404,0.00263881527136051,1030.4,87.2664094588416,4448610,0.000397412540713402,0.000565500973391474,52.90615,6.57602569333627e-07,2.76583351642351e-06,3.81483498755886e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,2
