MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.2,1,0.629,0.2,4,1.54,0.9,8,1.99,0.2,1,0.709,1.8,2,1.29,3.8,20,1.93,3,2,1.22,4.92,1.4,11,56,90.9347791129179,51.5236836385038,55.6435131401587,4.45065459919354,93.3126758070194,55.0166491544177,47.7447874540848,64985804.6271613,3305583826.6962,2790608926.21429,1883350.20153807,43634924.1292686,253218864.317781,4348449940.98357,1.60986866781248e-05,2.21818936035105e-05,0.000172227903315529,3.37177127503321e-05,1.77712560295854e-05,0.000173271604530222,3.58048637138743e-05,65.4393884167202,0.0343504164699558,2686.2613071627,0.000295485628570619,67.9786916398142,10,80.326841093124,100,-149.1707151,115.609634022072,782017.1,2.64652077766229e-05,0.00080554722884978,53.18697,10,1.15723688485503e-07,0.00011205416804122,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.38,0.1,7,2.98,0.4,1,0.836,0.2,1,0.419,4.74,17,1.96,3.8,20,2,2.8,1,1.56,4.45,2.06,12,49,147.613570725364,49.9696557353272,23.2100891418117,4.54347640474582,92.5168884301591,0.933771034711037,42.0086297945429,5110275.22045865,4715755580.75227,9971267393.02012,2392764.88964309,69117857.8443412,5473140856.93447,6755517823.11928,3.55387296468279e-05,2.16206454184303e-05,0.00138426160312079,4.78762744869075e-05,1.76151861315127e-05,0.000142842012916271,3.78435664785473e-05,47.5629573417019,17.0911339595897,595.300808761134,0.146368988232156,47.7257210975957,22730.407854041,84.7640513425355,0.0874991301097351,-54.2899962,72.2348908946574,791722.2,0.000120904833985242,0.000175199366834671,32.9947,4.54918387191563e-07,1.30794777008003e-06,0.000505551746206312,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.741,0.201,18,1.72,0.5,1,1.96,0.2,1,1.07,1.13,6,1.84,3.8,19,1.98,2.52,15,2.33,7.11,3.14,24,49,104.931046943382,43.6901631262465,51.4050403639485,5.60058106197941,110.800804230165,21.0562337795547,51.8203047890944,109616427.693602,4792701709.12834,4080006123.97114,3763821.8991041,17270696.5529483,7101725129.18758,5523794048.06066,6.44295912937205e-05,4.27540737876682e-05,0.00149613191715164,8.85176037059199e-05,6.55188621811542e-05,0.000460492226370346,7.23626700563976e-05,48.9389750366847,31.723453687075,847.211670966256,0.374562682844525,48.8876168780711,44860.8464097806,95.0116348664731,0.113755678531545,722,89.513046329038,1198061,0.000128556581662075,0.000389283969466125,52.68758,4.25429938635986e-07,1.9110401312869e-06,0.000786454259040836,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.12,0.199,18,1.39,0.5,1,2.54,0.2,1,1.27,0.536,1,0.752,3.8,19,1.96,2.52,15,1.93,6.99,3.14,32,11,58.5299037874732,41.5379060947261,41.698634965836,5.03779888461672,98.1180081792217,1.55872608579508,52.8561617050185,1161092659.9663,10180957304.4721,7203350666.23394,3601888.46735265,14821984.6713439,5475979740.1675,4909742850.93323,2.80995918924117e-05,1.74911166640679e-05,0.00237385785586771,7.87942628727639e-05,4.34797734159336e-05,0.000497892633843641,7.46989575853109e-05,56.1491527000513,124.117163098507,361.660537953967,0.180028705106286,50.9223855269278,391372.756393166,93.5874326819579,0.0355951586909456,1297,65.1890104752279,1140407,0.000286659319324354,0.000162718645297052,52.54465,5.20680802680394e-07,1.19662307660057e-06,0.000478656102356145,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.692,0.2,19,1.89,0.5,1,0.556,0.2,1,0.553,3.06,8,1.84,3.8,20,1.96,3.8,15,1.93,7.11,4.89,12,36,205.00752271211,47.1013472004275,56.3370073193735,5.95436392314002,130.282977036107,3.50051909800538,41.9798270509594,26429052.0626947,3339798564.3426,2692816563.36031,4846571.12444034,6922844.66423455,6683658095.4282,7912792849.0611,6.51725256051222e-05,2.52461807034309e-05,0.00102395458902901,0.000127257709615898,3.21968711940726e-05,0.000129906133879115,5.76630753007603e-05,42.3486099620538,75.4828444126728,653.186952782411,1.49493871495881,40.9476959373339,98254.012847248,96.8178454624973,0.382867760192843,-45.2633049,64.406608217915,850236.1,0.00011833394800652,0.000170348059595413,34.62794,0.00435000015744046,6.43774606320147e-06,0.000529993911379478,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,2,1.19,0.139,19,2.02,0.5,1,0.556,0.2,1,0.584,2.8,7,1.61,3.8,20,1.97,4,19,1.99,6.89,3.14,14,45,116.309570337053,59.213935489579,40.2681773673752,4.64731418931274,104.957593831409,1.32132382893034,39.5404188108691,24089431.4713663,2143418549.48149,3093809048.56874,3237071.92635507,7954387.60603632,3844087823.3727,6939618330.66059,3.9213330205609e-05,4.7024141764339e-05,0.000830270842011537,7.00009863106685e-05,5.11570706887982e-05,8.17638508527424e-05,5.40143391039896e-05,49.4754379108937,118.860356384527,1086.93048227232,0.028427268154698,48.8446844620195,102947.798889901,95.4594176600717,0.356969611841891,-25.70436,79.759167584196,941416.5,7.873853901208e-05,0.000166046527855742,42.73885,0.01240000000075,2.41445330324996e-06,0.000129844989414762,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.2,1,0.48,0.2,4,1.6,0.5,1,0.846,0.2,1,0.355,2.5,5,1.94,3.8,19,1.96,4,7,1.67,4.87,3.38,20,6,183.399875810893,35.6725324306387,46.1073060495529,5.7260470271278,141.390608272425,22.6067537979774,43.3473861215459,36807952.5244788,6477216374.23439,5564380056.57477,3923002.03079356,21882741.427976,6407488072.79675,8458344848.49532,4.81340015111102e-05,4.03174350100921e-05,0.000449656578026215,9.23295393114564e-05,5.49165961751344e-05,0.000180415734803609,4.00417646713635e-05,49.3450907246937,116.086044525692,1307.28967849058,0.250611987624469,48.2381978820934,89165.3176623779,81.1386159605893,0.0838286007539973,879,87.2080813170581,1004125,6.98269805162764e-05,0.000367703410623059,51.79639,4.56028511588905e-07,1.99789406733347e-06,0.000843812317236126,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.68,1,1.97,0.224,20,1.24,0.5,1,2.6,0.2,1,0.402,2.7,20,0.57,3.8,18,1.93,2.7,2,1.37,4.3,7.59,22,63,188.598892238486,55.2359888414397,43.1946502425626,6.27344471467102,121.855839454194,8.46272374440409,41.4537545497809,46614890.3090983,752142675.870665,5929604749.64371,7019792.84532801,140086424.104704,7914103157.43454,9096303865.82654,8.30808061239929e-05,5.95137715177297e-05,0.00211569356087982,0.00017958971320323,6.2561867296179e-05,0.00069155867586673,4.94167942032117e-05,54.6899174676931,437.264080874856,346.669066478103,8.12515379651961,45.8054277614526,1583488.77180231,76.6562169690104,0.0480674319635424,-2.49297839999999,61.3444681832358,1255412,0.000329214154570588,0.000255879213218905,48.74092,1.62040887716555e-07,1.22712143914458e-05,0.000831922563468202,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.457,1,0.808,0.16,3,1.99,0.515,2,1.9,0.2,1,0.373,1.95,9,2.52,3.8,19,1.96,5.38,1,2.02,4.6,9.65,35,37,157.701188667824,8.3148602522076,26.7705296806579,6.29909996628808,164.65335655696,24.8186734856627,40.2170002878493,59104920.1171143,2342333299.80456,14508556261.2465,7885836.8172562,74632565.5408598,6310531175.5342,9936151858.04586,0.000140124020743982,5.56193670402398e-05,0.00102103303090472,0.000222332913664797,5.06314393588204e-05,0.000811670293992107,5.08533402158443e-05,25.2471318637908,802.363909151147,444.811811399704,5205.49146968084,24.106294365952,2271324.04138001,79.868378323339,0.0447020265034222,1124,71.7521092971993,1259169,0.000257344580690658,0.000426809461409949,62.34795,1.39243556541438e-07,3.87625852209775e-05,0.0104654111622098,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
0.0627,1,0.816,0.2,18,3.13,0.5,1,2.32,0.2,1,1.02,0.716,4,5.01,3.8,18,2.01,2.29,16,1.91,7.02,3.14,28,28,95.8942612007954,15.1446324876938,54.0270990523332,5.58603288133319,104.428084030994,14.6947253655669,51.2992669815522,144688309.409771,11573282469.0969,3590158131.20545,3919664.44916702,20484434.3712214,7614197828.28383,5696460678.29619,8.31123814839502e-05,4.93647579531496e-05,0.00233589344610925,8.97281334145716e-05,6.16563856225321e-05,0.000588361362405216,7.14884493632419e-05,43.1640790287087,355.285822702446,763.903283706109,0.620472044835683,43.12384978542,579592.447080552,94.2062051204696,0.0583993443062604,1207,83.2416052479826,1246187,0.000148303757411668,0.000273658153197815,56.34095,5.30264285017471e-07,1.27589113803395e-06,0.0012845782137253,"Fan_SMC_Pin_3",65,1.2,0.4,100,0
