Element,X,Y,Factor
CAPACITOR_0,2175,287,1
CURRENT_0,144,407,1
MOSFET_0,189,145,1
MOSFET_0,355,147,1
MOSFET_0,565,147,1
MOSFET_0,772,148,1
MOSFET_0,1423,144,1
MOSFET_0,1624,144,1
MOSFET_0,2036,138,1
MOSFET_0,1129,136,4
MOSFET_10,1880,221,1
MOSFET_11,2307,218,1
MOSFET_17,409,327,4
MOSFET_17,411,418,4
MOSFET_17,615,419,4
MOSFET_17,612,324,4
MOSFET_17,1480,326,4
MOSFET_17,1677,326,4
MOSFET_17,1463,465,8
MOSFET_17,1621,468,8
MOSFET_17,821,339,1
MOSFET_21,1890,413,1
MOSFET_21,2035,411,1
MOSFET_23,2306,421,1
MOSFET_8,1037,225,1
MOSFET_8,1271,222,1
