RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
80,72,3,15,10,10,1,10,10,1,4,5,1,2,9,8,2,10,9,14,2,9.05,3,18,1.19865108808073,1.19865108808073,0.473916180273998,1.86828284378823,0.473916180273998,0.496791333194911,23588891.2339047,23588891.2339047,9784318.89532941,138450677.800386,9784318.89532941,10234650.523002,2.85044026050138e-05,2.85044026050138e-05,4.69959833172185e-06,1.71307968848907e-05,4.69959833172185e-06,3.47627739818756e-05,-2,-8,5,0,-10,4,91.3039289747136,13.6305509620785,5.77401464336003,38.9745988426802,48.1782401703118,5042955.85041749,63.4350061086148,0.00714762273628775,-77.8512438,65.8117318788727,2136238,8.22165486021881e-05,0.000189033539516313,72.03267,2.03630612017084e-07,2.11938246970456e-05,0.00257038133302601,"HSOTA_COMP_Pin_2",180,5,2,1,0
80,72,3,15,10,10,1,10,10,6,3,5,1,2,9,20,2,10,9,14,2,9.05,5,47,1.20054426815774,1.20054426815774,0.21407777218447,1.86438730279837,0.21407777218447,0.496791333194911,23617158.0610595,23617158.0610595,4123083.3062411,138275985.470851,4123083.3062411,10234650.523002,2.85410765908202e-05,2.85410765908202e-05,8.54608627731031e-06,1.71063464942662e-05,8.54608627731031e-06,3.47627739818756e-05,-2,-8,5,0,-10,4,86.2888911094755,13.8059918229349,5.17496570369968,34.9310184999728,46.1762299066926,5108856.42859569,66.1815684310972,0.00793359025033491,-80.0417277,63.5814944891349,1914977,8.22325149208642e-05,0.00018794650039903,66.99933,2.22641689864031e-07,4.97724387167331e-05,0.00357730838305192,"HSOTA_COMP_Pin_2",180,5,2,1,0
74,39,2,5,5,6,16,5,8,15,5,6,7,2,9,5,2,2,12,2,7,0.5,5,50,0.325202606434049,0.325202606434049,0.17586855206401,0.682852300201535,0.17586855206401,0.143887243985844,18686327.8577601,18686327.8577601,3686827.39280377,24931626.4296601,3686827.39280377,41516793.6308966,9.71709520488204e-05,9.71709520488204e-05,2.03605213616587e-05,3.00365457358591e-05,2.03605213616587e-05,1.16142952232789e-05,1,-15,-4,-8,-15,2,63.9997982514075,7.74268048746672,8.00365236071068,54.0246534347971,52.4463363921217,1752763.02928361,46.9574275274956,0.00749026074121842,-81.0627741,61.748458119417,1811841,5.03059497323772e-05,0.000112552113374397,49.45313,4.0911328217674e-07,4.16292437006804e-05,0.00445862750415005,"HSOTA_COMP_Pin_2",180,5,2,1,0
74,39,2,2,4,3,16,5,5,15,5,6,7,2,8,5,2,4,11,3,7,0.78,4,30,0.236857157144743,0.236857157144743,0.156597267908289,0.667774407604363,0.156597267908289,0.187754821419119,51570000.4879533,51570000.4879533,8081975.25031621,17970793.2605381,8081975.25031621,17042363.1610851,0.000128902107278003,0.000128902107278003,2.70612039322099e-05,2.27060747291482e-05,2.70612039322099e-05,1.4165223427475e-05,1,-12,-4,-3,-13,2,68.4121946445104,10.5672370069898,10.831202914305,73.1106196715584,47.1932339018478,1976346.55014567,47.7912125813941,0.0102331165799189,-84.3704455,55.0452724018453,2025715,4.1561301403961e-05,0.000130342835192871,42.53408,3.73027716106359e-07,0.000225521915543296,0.00858217188021815,"HSOTA_COMP_Pin_2",180,5,2,1,0
59,7,2,9,7,2,12,8,7,16,5,8,8,2,7,14,2,6,17,13,2,7.7,4,31,0.273177027604396,0.273177027604396,0.205219539363354,1.19287868071434,0.205219539363354,0.427063477922007,171608675.602642,171608675.602642,6297736.59750112,19243336.9224295,6297736.59750112,26506374.2586841,0.000363204119586119,0.000363204119586119,3.50590326843533e-05,3.74333371787095e-05,3.50590326843533e-05,4.77662128765422e-05,-2,-11,2,7,-3,-1,104.895755145441,4.61645847731175,3.03149613067752,20.4625988820733,43.3186468757512,2862194.20369052,64.6838465151849,0.0177629120770705,-84.3952586893264,53.8567798181865,1879521,0.000137777293893489,0.000160545248750575,59.64184,3.27591766335206e-07,0.000213936587190484,0.0104213286968902,"HSOTA_COMP_Pin_2",180,5,2,1,0
59,7,2,4,7,2,12,8,7,16,5,8,8,2,7,14,2,6,17,13,2,7.7,5,53,0.273177027604396,0.273177027604396,0.205219539363354,1.19287868071434,0.205219539363354,0.427063477922007,171608675.602642,171608675.602642,6297736.59750112,19243336.9224295,6297736.59750112,26506374.2586841,0.000363204119586119,0.000363204119586119,3.50590326843533e-05,3.74333371787095e-05,3.50590326843533e-05,4.77662128765422e-05,-2,-11,2,7,-7,-1,104.895755145441,4.6164584773116,3.03149613067752,20.4625988820733,43.3186468757512,2862194.20369043,64.1404708432983,0.0177309389873211,-84.3952586893264,53.8567798181865,1879521,0.000137777293893489,0.000160545248750575,59.64184,3.27591681313156e-07,0.000213936587190484,0.0104213286968902,"HSOTA_COMP_Pin_2",180,5,2,1,0
59,7,2,7,5,2,17,8,7,16,6,8,8,2,7,14,2,6,19,13,2,7.7,2,9,0.253806003676386,0.253806003676386,0.228680574567562,1.29222713611506,0.228680574567562,0.427063477922007,152754674.405261,152754674.405261,7421112.49184877,18453163.222985,7421112.49184877,26506374.2586841,0.000452555919382938,0.000452555919382938,5.14465741378068e-05,3.6522496641849e-05,5.14465741378068e-05,4.77662128765422e-05,-2,-5,-3,-4,-3,-1,106.711372823291,4.88681134462688,3.22734208521998,21.7845590752348,42.7047486643374,3408827.85163035,68.0587981086942,0.0150282360212207,-86.394574975277,53.0945016381801,2251254,0.000155012593476767,0.000157975742279489,56.62303,2.61765817041824e-07,0.000181920441943471,0.0110839907348179,"HSOTA_COMP_Pin_2",180,5,2,1,0
66,20,2,8,2,6,1,8,6,1,2,2,2,4,10,5,2,2,5,3,9,7.52,2,12,1.45663021220911,1.45663021220911,1.39640085474347,1.04661248425197,1.39640085474347,0.262616489092735,100655052.585798,100655052.585798,93916883.5281105,198658413.643779,93916883.5281105,138283747.627779,5.69179835112512e-05,5.69179835112512e-05,1.35905237575892e-05,5.16158751789744e-05,1.35905237575892e-05,8.85977677529202e-05,2,-3,-1,5,-8,-2,56.4570070623431,4.0053221585314,1.37125912057363,9.25599906387203,43.819356378629,3501929.54753389,30.1330383466387,0.0159959172959206,-122.961697901387,43.4201869831667,1198918,0.000194293126824031,0.000248808331904078,66.86551,1.96713672637855e-07,0.000147610433452081,0.0156722408487959,"HSOTA_COMP_Pin_2",180,5,2,1,0
66,20,2,8,2,6,1,9,6,2,2,2,2,4,10,5,2,2,5,3,9,7.52,3,28,1.38015785801645,1.38015785801645,1.00587890181209,1.04185403339818,1.00587890181209,0.262616489092735,96130669.8073046,96130669.8073046,69702353.2832091,200488571.187694,69702353.2832091,138283747.627779,6.10881908164788e-05,6.10881908164788e-05,2.00097477639547e-05,5.20534396726125e-05,2.00097477639547e-05,8.85977677529202e-05,2,-3,-1,5,-8,-2,54.3500954622057,4.98681503078419,1.48046942339622,9.99316860792448,41.1324644904984,4366401.25516457,30.4302481094059,0.0192593388511857,-135.070589232964,43.9623601493264,1296283,0.000194575372065482,0.000244848253372358,63.55276,1.62760792444833e-07,0.000191558943355619,0.0197619743776469,"HSOTA_COMP_Pin_2",180,5,2,1,0
63,51,2,17,5,4,17,4,10,9,10,7,3,2,9,11,2,2,16,13,2,7.28,10,26,0.360976809505995,0.360976809505995,0.135276937364922,1.70719562372839,0.135276937364922,0.176262421354581,54207500.6629675,54207500.6629675,2648337.29693615,64902199.1500557,2648337.29693615,92105166.9010084,0.00017326095398171,0.00017326095398171,2.4748517193264e-05,3.34204609131301e-05,2.4748517193264e-05,6.06786687221583e-05,-4,-3,1,-15,15,-6,74.0310607379392,8.82858230879581,13.8682392248638,93.6106147678308,59.7076573752645,5357941.58328751,54.6260011349907,0.664095171284513,-15.6772638,75.2630171046203,8416438,0.000134863519818892,0.000105125287187336,47.32317,0.664095171284513,1.72598297478799e-05,0.00087734597978395,"HSOTA_COMP_Pin_2",180,5,2,1,0
