RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
5,19,0.729,29,1.82,0.15,36,0.3,0.347,1,1.36,0.15,9,2,0.633,1,2,1,29,7,0.3,0.983,14,62,0.864329590696352,0.864329590696352,0.370812800203357,0.285089760642686,0.370812800203357,0.402654538556993,5318557073.99322,5318557073.99322,1320785853.98521,3155665377.25865,1320785853.98521,285300146.390015,0.000237361607374863,0.000237361607374863,1.32699722157528e-05,0.000229353317567406,1.32699722157528e-05,1.38864345045581e-05,-12,1,-15,15,15,7,83.8743785719988,26.4641439348204,124.534893392162,3175.63978150013,48.1849238349598,23966800.1287606,15.0144776798928,0.00857903543507499,-87.8344929,44.3303378424874,112782900,5.32725251099116e-05,0.000281419043501451,49.67005,9.58421962471e-09,2.17168548059271e-05,0.00246186438556084,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
5,19,0.778,29,0.952,0.277,36,0.3,0.593,1,1.75,0.15,6,2,0.866,1,2,1,29,7,0.3,0.983,13,44,0.924171248270618,0.924171248270618,0.40782509377304,0.276751249085921,0.40782509377304,0.402654538556993,2805640328.19278,2805640328.19278,704458720.735673,4307139433.47172,704458720.735673,285300146.390015,0.000210351251197854,0.000210351251197854,1.54744759696923e-05,0.000221449299846292,1.54744759696923e-05,1.38864345045581e-05,-15,1,-15,15,15,15,90.5131101364206,29.9456650987006,122.151980361998,3114.87549923095,50.1690964097878,27334665.9836472,14.4893193076832,0.00737254433776559,-87.9613614,45.9784581418785,111501400,5.36946340363504e-05,0.000301349844100649,47.61918,8.08724397341574e-09,1.60156021538588e-05,0.00191554238359104,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
8,5,0.619,20,0.852,0.584,50,2,0.548,1,1.35,1,1,1.52,0.596,1,1.37,0.318,50,18,2,8.75,10,18,0.815289575155573,0.815289575155573,0.567102621466872,1.41286387114804,0.567102621466872,0.330605721574555,875671202.361451,875671202.361451,1752430405.7395,1549736448.67085,1752430405.7395,900009354.942281,0.00114774919457064,0.00114774919457064,3.90352184855273e-05,8.49549652242319e-05,3.90352184855273e-05,0.000189070034636752,0,-15,-15,-15,-14,-1,67.7793700722338,19.7736639512281,20.8285711790931,531.128565066874,47.2212939432419,99377974.2507281,26.6350160503049,0.0111011032077493,-88.6367097,40.8072991172012,104679700,0.000295633788742335,0.000280223095317077,65.67649,2.21235878720097e-09,2.0805476717245e-05,0.00292540988501033,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
5,19,0.3,29,0.3,0.164,36,0.3,0.315,8,1.75,0.15,3,2,0.616,1,1.3,1,29,7,0.3,0.983,13,48,0.869350994297176,0.869350994297176,0.282525909846951,0.3061550015057,0.282525909846951,0.402654538556993,5016167921.56334,5016167921.56334,392854661.260374,6207361934.81269,392854661.260374,285300146.390015,0.0002399524893454,0.0002399524893454,2.75602762446165e-05,0.000172044875831903,2.75602762446165e-05,1.38864345045581e-05,-15,1,-15,15,15,11,77.9675327027521,35.7821469325939,110.838779948179,2826.38888867855,43.5016365962449,33722526.6279968,13.8344497541464,0.0138197431746784,-88.6585689,40.2936862667234,104458900,5.54376471785728e-05,0.000312358946516927,52.02348,8.67174766766072e-09,4.4176423108635e-05,0.00494193850447,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,5,1.05,1,50,0.986,0.15,31,0.313,0.26,1,1.38,0.217,48,7,1.79,8.48,83,29,0.598545734342942,0.598545734342942,0.447502403110639,0.909427340262849,0.447502403110639,0.354853095348016,23026678710.3277,23026678710.3277,336219411.95281,20856506874.4152,336219411.95281,2509061600.55237,0.000792778550467015,0.000792778550467015,0.000388884934404102,0.00125007772390984,0.000388884934404102,0.000162904499492544,-3,0,-8,-15,-11,-15,60.2328704653301,5.20896358148576,94.6957470823674,2414.74155060037,57.0073669915845,68223765.3158341,19.5669192771882,0.0106615992058553,328.600000000001,54.6499177488428,1240266000,0.000770434003397778,0.00161865467651174,46.39196,1.54500084670819e-09,4.70100339421631e-06,0.000718557644133533,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
34,5,0.491,37,0.3,0.15,5,1.05,1,46,2,0.15,31,0.317,0.301,1,1.38,0.217,46,10,1.91,10,77,49,0.710851533893681,0.710851533893681,0.394370045118618,0.749987917630865,0.394370045118618,0.342505331874791,22965802649.5784,22965802649.5784,234704712.453823,19036811952.3094,234704712.453823,2124335581.73527,0.000758651374170966,0.000758651374170966,0.000405622137246669,0.001155298610594,0.000405622137246669,0.000201497327701963,15,0,6,1,-8,2,68.3356616711982,5.41440803769404,111.360979102043,2839.70496710209,59.4910151856604,59775297.6622318,22.0404906932672,0.0107644469376272,285.05,55.384163092688,1229430000,0.000649414295275168,0.00226385113369824,45.1325,1.70437360305294e-09,4.29613179926958e-06,0.000730165889981982,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
80,5,0.458,37,0.3,0.15,7,0.564,1,50,1.92,0.15,31,0.3,0.54,1,0.661,0.217,50,11,1.99,8.81,24,24,0.82090369027821,0.82090369027821,0.326538962211102,0.670312180445166,0.326538962211102,0.330275914318451,24474685143.0912,24474685143.0912,123079784.208539,18431761895.9473,123079784.208539,1772887731.96639,0.000620543310969602,0.000620543310969602,0.000152886499306459,0.00107138902355723,0.000152886499306459,0.000185140605998286,15,0,3,-4,-15,6,62.1511731393447,4.75980312831971,52.9954775484266,1351.38467748488,60.1414840003515,44729666.0756568,27.6755205913096,0.0165881921806418,-60.8624225,55.7975907860235,498018500,0.000552786902534906,0.000513602221444162,39.92443,2.06609089945197e-09,4.61558952386809e-06,0.000785563971509196,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
80,5,0.458,37,0.3,0.15,7,0.564,1,50,1.92,0.15,31,0.3,0.54,1,0.62,0.217,50,11,1.99,8.81,21,11,0.820894544629282,0.820894544629282,0.324170009429707,0.67044235807824,0.324170009429707,0.330275914318451,24474784324.0319,24474784324.0319,119445385.341202,18431981308.2743,119445385.341202,1772887731.96639,0.000620548112929743,0.000620548112929743,0.000146305107019563,0.00107137214250198,0.000146305107019563,0.000185140605998286,15,0,3,-4,-15,6,62.0186885097489,4.73611926638907,51.1663218417051,1304.74120696348,60.0674377898483,44451808.7690791,27.6751205959432,0.0164185474095915,-62.0638579,55.7217481865165,480231900,0.000552100176000775,0.000494053583211533,40.17872,2.0829044467351e-09,4.66983988475833e-06,0.000794862219831272,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
80,5,0.572,37,0.3,0.15,7,0.564,1,50,1.92,0.15,31,0.3,0.54,1,0.62,0.217,50,11,2,8.81,25,42,0.820885656563532,0.820885656563532,0.332180713733265,0.650719504570529,0.332180713733265,0.330069128724696,24474880706.109,24474880706.109,131840512.399293,18332781263.7282,131840512.399293,1766759036.13764,0.000620552779537374,0.000620552779537374,0.000169387459220408,0.00106895447844153,0.000169387459220408,0.000185282706569762,15,0,-8,-4,-15,6,61.5533916390886,4.72312733591157,55.2239600133309,1408.21098033994,60.6036053948114,44528712.7082482,27.7195093751675,0.0167054587790858,-62.1908166,56.1015446297287,520640600,0.000554576630137821,0.000543380350056483,38.30262,2.05031563409101e-09,4.38379307659498e-06,0.000755822058379541,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
80,5,0.458,37,0.3,0.15,7,0.564,1,50,1.92,0.15,31,0.3,0.54,1,0.758,0.217,50,11,1.99,8.81,23,25,0.820922240176907,0.820922240176907,0.331751135836593,0.670048137633525,0.331751135836593,0.330275914318451,24474483959.3009,24474483959.3009,131168561.651768,18431316105.7811,131168561.651768,1772887731.96639,0.000620533570927931,0.000620533570927931,0.000168089932218547,0.00107142323058745,0.000168089932218547,0.000185140605998286,15,0,3,-4,-15,6,62.4306441486925,4.83038681540953,56.8317229699639,1449.20893573408,60.2975896234521,45525980.1975593,27.6764668987933,0.0196282054667405,-63.0638921,55.9509871965241,535634100,0.000554406704367319,0.000566911473539164,37.23106,2.01257999521198e-09,4.50501445835694e-06,0.000766739169694275,"HSOTA_COMP_Pin_2",22,1.8,0.8,0.1,0
