RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
34,52,0.555,49,0.33,0.29,10,0.53,0.5,50,2,0.16,4,0.73,0.63,1,0.84,0.92,23,32,1.27,3.06,2,10,0.831966931409273,0.831966931409273,0.178608770820022,0.465467285908093,0.178608770820022,0.319177110931388,2784809948.68444,2784809948.68444,15586411.2513942,7063965934.21273,15586411.2513942,138504283.623176,0.000107231583882707,0.000107231583882707,9.142532749355e-06,0.000102420196982983,9.142532749355e-06,6.64092658976257e-05,0,15,0,10,0,-15,94.0401527071923,127.215662635988,223.203399271699,569.168668142832,58.1388542931354,6842177.6713036,36.7620748870354,0.00646044065634413,-87.1152579,53.7729873567565,12004790,3.16376954809486e-05,0.000112346626618909,62.64597,3.73127166698739e-08,1.16828973043109e-05,0.00106176856819307,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
34,38,0.17,50,0.465,0.23,12,0.53,0.5,47,1.32,0.16,4,0.73,0.285,1,0.84,0.92,23,32,1.27,3.06,3,18,0.894329817918573,0.894329817918573,0.190698034768031,0.394725546357315,0.190698034768031,0.319177110931388,3422462443.78245,3422462443.78245,23666834.0671364,6880900507.39791,23666834.0671364,138504283.623176,0.000121648127482789,0.000121648127482789,8.66279746977241e-06,0.000101380677968766,8.66279746977241e-06,6.64092658976257e-05,-5,12,0,10,0,-9,82.5142841978407,146.78981919064,203.062130242975,517.808432119586,54.6036257874933,7955402.81654945,35.4553846404182,0.00877954613764309,-88.1049213,49.476364426848,11005130,3.18799269691839e-05,0.000130309013452694,61.96606,3.18439044759024e-08,1.70769449255531e-05,0.00158237309624565,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.313,0.644,1,1.1,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.02,13,1,0.5593503077809,0.5593503077809,0.533416436028628,0.904118334886911,0.533416436028628,0.437736960797224,18107696987.6981,18107696987.6981,1150785500.53671,16076581963.2178,1150785500.53671,346776686.260033,0.000253027998820338,0.000253027998820338,2.32340825823097e-05,0.000347660646684541,2.32340825823097e-05,9.67374464859128e-05,-15,-1,-15,-15,-15,7,71.1268873754683,19.4983345384822,461.908108830176,1177.86567751695,61.7169251970174,5160581.18075132,28.629801780662,0.0087132488455478,423.600000000002,58.124750063675,122252200,0.00015568693739899,0.000270905962350736,48.1028,3.49898075421206e-09,2.67001538867384e-06,0.000427079796139429,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.313,0.644,1,2,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.02,14,2,0.559251570169717,0.559251570169717,0.479104196498544,0.904693885428468,0.479104196498544,0.437736960797224,18108127368.5354,18108127368.5354,906971459.143215,16071531887.4206,906971459.143215,346776686.260033,0.000253042947965192,0.000253042947965192,2.98681727785079e-05,0.000347475437669883,2.98681727785079e-05,9.67374464859128e-05,-15,-1,-15,-15,-15,7,70.2604301654036,19.4547773232029,463.173205932334,1181.09167512745,61.6374632810397,5149904.37518444,28.6399223113471,0.00870068926229591,419.800000000002,58.0045123694218,122607300,0.000155712679949382,0.000273053886443791,46.81329,2.76823089688375e-09,2.98299493214249e-06,0.000471066614439519,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,37,1,50,0.819,0.15,7,0.3,0.625,1,1.52,0.15,3,1.37,0.578,1,2,1,50,34,0.3,5.69,19,3,0.375954588280896,0.375954588280896,0.473698369296116,1.04071335829344,0.473698369296116,0.415358945116444,14993343539.4469,14993343539.4469,942298478.149744,14149944333.1136,942298478.149744,308205690.963283,0.000200760310003691,0.000200760310003691,2.28738870020492e-05,0.00028478853727119,2.28738870020492e-05,7.58232552597829e-05,-15,-1,-15,-15,-15,15,60.2913447669701,27.8586675194153,566.996559353564,1445.84122635159,61.5339173678854,5234680.3051184,29.2230645210252,0.00657190489699141,418.050000000002,58.1978890899802,106539400,0.000110530186224707,0.000275201208971961,45.78764,4.12868884425762e-09,3.38794224469308e-06,0.000440644236036847,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.313,0.644,1,1.1,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.19,15,5,0.546766426824352,0.546766426824352,0.53564097188178,0.920511917465279,0.53564097188178,0.43947111671686,18159078115.6161,18159078115.6161,1160028963.98297,16251656868.901,1160028963.98297,349920349.597154,0.000254881171594487,0.000254881171594487,2.34908952855044e-05,0.000351752507929708,2.34908952855044e-05,9.80327971406915e-05,-15,-1,-15,-15,-15,10,70.3470152914109,19.0649404942825,460.380007690395,1173.96901961051,61.7147027864159,5148337.22693741,28.629801780662,0.00894358685205454,410.750000000002,58.1544921259585,124322000,0.000158848314465632,0.000272682391128644,47.53103,3.42458360624495e-09,2.64573265643553e-06,0.000424122796544135,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.313,0.644,1,1.1,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.19,17,9,0.546766426824352,0.546766426824352,0.53564097188178,0.920511917465279,0.53564097188178,0.43947111671686,18159078115.6161,18159078115.6161,1160028963.98297,16251656868.901,1160028963.98297,349920349.597154,0.000254881171594487,0.000254881171594487,2.34908952855044e-05,0.000351752507929708,2.34908952855044e-05,9.80327971406915e-05,-15,-1,-15,-15,-15,11,70.3470152914109,19.0649410654327,460.380007690395,1173.96901961051,61.7147027864159,5148337.38117203,28.629801780662,0.00881258243018952,391.100000000002,58.1544921259585,124322000,0.000158848314465632,0.000272682391128644,47.53103,3.4245836062441e-09,2.64573265643553e-06,0.000424122796544135,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
23,22,1,50,0.819,0.15,7,0.313,0.644,1,1.1,0.15,3,1.37,0.631,1,2,1,50,34,0.324,8.02,21,9,0.5593503077809,0.5593503077809,0.533416436028628,0.904118334886911,0.533416436028628,0.437736960797224,18107696987.6981,18107696987.6981,1150785500.53671,16076581963.2178,1150785500.53671,346776686.260033,0.000253027998820338,0.000253027998820338,2.32340825823097e-05,0.000347660646684541,2.32340825823097e-05,9.67374464859128e-05,-15,-1,-15,-15,-15,7,71.1268873754683,19.498558981363,461.908108830176,1177.86567751695,61.7169251970174,5160640.58355336,28.629801780662,0.00819599990672876,376.700000000001,58.124750063675,122252200,0.00015568693739899,0.000270905962350736,48.1028,3.49897423459714e-09,2.67001538867384e-06,0.000427079796139429,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
16,22,1,5,2,0.15,28,0.313,1,1,1.94,0.15,3,1.67,0.974,1,2,1,50,35,0.3,4.26,37,26,0.735753458461625,0.735753458461625,0.58668076604243,0.422150854435427,0.58668076604243,0.392817888353789,7403534362.09446,7403534362.09446,578327740.801202,9814223032.37893,578327740.801202,267745816.454216,0.000299108049628057,0.000299108049628057,3.24457151203509e-05,0.000248886944045037,3.24457151203509e-05,6.2978632351774e-05,-15,-11,-15,-1,10,15,89.6688959151737,236.172815111258,843.042672459443,2149.75881477158,62.3535856212688,35500412.1452857,27.0361628194535,0.00486883249387428,363.700000000001,58.5480745907315,126722300,8.84208259521416e-05,0.000197229812965982,46.21081,6.09179788476364e-09,2.57642343500952e-06,0.000355269153765381,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
10,15,0.606,7,2,0.15,35,0.304,1,1,0.92,0.15,3,1.85,0.847,1,2,1,50,10,0.3,2.67,100,50,0.583216601785955,0.583216601785955,0.733399444125622,0.661102347757188,0.733399444125622,0.453236253891958,9700850847.10882,9700850847.10882,815976120.396634,14312810820.5519,815976120.396634,377507910.522972,0.000539718416461789,0.000539718416461789,2.4335238165854e-05,0.000421810992797516,2.4335238165854e-05,3.00546278306545e-05,-15,7,-15,11,7,-15,84.4436801912533,118.906754716308,558.095682134092,1423.14398944193,62.1237109791961,35520732.9342555,16.9860678204227,0.00477674667363152,332.900000000001,59.0116584123015,166718600,0.000175722134833359,0.000171208449904413,47.84311,6.038846009017e-09,1.60899088206212e-06,0.00025788722420006,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
26,29,1,50,0.808,0.15,11,0.308,0.552,1,1.91,0.15,3,1.05,0.57,1,2,1,50,34,0.3,5.7,27,34,0.514072938286944,0.514072938286944,0.449503923838783,0.872995451256827,0.449503923838783,0.415489929160706,13103558072.2024,13103558072.2024,1037749705.74522,15436502211.5145,1037749705.74522,308443034.235202,0.00025965220225965,0.00025965220225965,2.67463929079585e-05,0.0002549270793238,2.67463929079585e-05,7.59110684849664e-05,-15,-11,-15,-15,-15,12,73.5789733053351,61.2599708350619,643.055017693685,1639.7902951189,62.6554600450748,11635921.7668714,28.7849790689519,0.007710153315077,321.000000000001,58.8833440116556,122144000,0.000111731360129019,0.000238818744845862,45.11281,3.26885802815955e-09,2.92255220548987e-06,0.000438779868176087,"HSOTA_COMP_Pin_2",22,1.8,0.8,1,0
