Element,X,Y,Factor
CURRENT_0,249.964532328939,503.661016949153,1
MOSFET_0,1171.16101694915,542.620213433773,1
MOSFET_0,1321.97080979284,541.363465160075,1
MOSFET_1,1660.03609541745,545.133709981168,1
MOSFET_1,1856.08882611425,546.390458254865,1
MOSFET_13,1169.90426867546,290.01381042059,1
MOSFET_13,1324.48430634024,293.784055241682,1
MOSFET_25,887.135907093534,207.06842435656,1
MOSFET_25,302.747959824231,124.12303829253,4
MOSFET_25,306.518204645323,225.919648462021,4
MOSFET_25,503.827683615819,124.12303829253,4
MOSFET_25,510.111424984306,224.662900188324,4
MOSFET_25,702.393910860013,122.866290018832,4
MOSFET_25,717.474890144382,225.919648462021,4
MOSFET_25,1663.80634023854,213.352165725047,8
MOSFET_25,1859.85907093534,214.608913998744,8
MOSFET_25,1279.24136848713,124.12303829253,32
MOSFET_28,513.881669805399,429.512868801004,4
MOSFET_28,510.111424984306,538.849968612681,4
MOSFET_28,892.162900188324,414.431889516635,4
MOSFET_28,890.906151914627,537.593220338983,4
MOSFET_28,728.785624607659,437.053358443189,1
MOSFET_28,1665.06308851224,391.810420590081,8
MOSFET_28,1844.77809165097,391.810420590081,8
MOSFET_6,1660.03609541745,109.042059008161,1
MOSFET_6,1852.31858129316,96.4745762711864,1
RESISTOR_0,1177.44475831764,414.431889516635,1
RESISTOR_0,1320.71406151915,410.661644695543,1
