MOSFET_0_2_L_LOAD0_NMOS,MOSFET_0_2_M_LOAD0_NMOS,MOSFET_0_2_W_LOAD0_NMOS,MOSFET_13_2_L_gm1_PMOS,MOSFET_13_2_M_gm1_PMOS,MOSFET_13_2_W_gm1_PMOS,MOSFET_1_2_L_gm2_NMOS,MOSFET_1_2_M_gm2_NMOS,MOSFET_1_2_W_gm2_NMOS,MOSFET_25_30_L_BIASCM_PMOS,MOSFET_25_30_M_BIASCM_PMOS,MOSFET_25_30_W_BIASCM_PMOS,MOSFET_28_25_L_BIASCM_NMOS,MOSFET_28_25_M_BIASCM_NMOS,MOSFET_28_25_W_BIASCM_NMOS,MOSFET_6_2_L_LOAD1_PMOS,MOSFET_6_2_M_LOAD1_PMOS,MOSFET_6_2_W_LOAD1_PMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS13,VDS25,VDS28,VDS6,ft0,ft1,ft13,ft25,ft28,ft6,gm0,gm1,gm13,gm25,gm28,gm6,gmid_offset0,gmid_offset1,gmid_offset13,gmid_offset25,gmid_offset28,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.13,26,0.795,0.119,28,1,0.15,3,0.637,0.464,25,0.148,0.107,11,0.129,0.85,18,0.256,5,64,80,1,0.329453436704641,0.180188730203095,0.280421734950659,0.54748638047195,0.121645792314513,0.258560302725973,20537876173.5813,12969637435.5586,19910030785.286,3245911239.56664,17907126723.1209,560902129.88088,0.00390718223079835,0.00026691939724353,0.00415465364868082,0.000433573422864955,0.000946252345210276,0.000154156407502317,6,15,14,15,15,3,80.0424123477634,29.0102844448176,96.8152289886101,1176.30503221161,71.9343630073666,202103684.578887,10.0371771430019,0.0105177037912592,441.150000000002,62.5127477692043,674475100,0.000860076784758663,0.0017190425695468,47.56079,3.15149898570204e-09,4.13117427279786e-07,3.33070843974159e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.11,26,0.843,0.159,30,1,0.0992,2,1,0.77,30,0.1,0.0974,30,0.1,0.85,7,0.524,5,70,66,1,0.30652271223394,0.151850377759902,0.333411270064327,0.711681908826065,0.0707858549227805,0.35721184747949,24313813657.1712,22872962694.4688,13466909738.0965,1544509074.5471,10263076940.5468,739360493.363956,0.00420199874730504,0.000353355463623315,0.00392461283446978,0.000317553569934592,0.00116381468294152,0.000161759122586852,15,15,15,15,-15,9,74.1833315290397,25.2171545513137,110.050079852788,1337.10847021138,67.2041165695084,186815305.071845,11.0724595280362,0.0105476893002388,428.200000000002,62.4152285396054,815279900,0.000914600331420139,0.0014311275638839,46.36644,5.37025580012e-09,3.66528858955495e-07,3.72294260156947e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.146,30,0.795,0.119,28,0.749,0.194,3,0.637,0.464,25,0.148,0.108,11,0.129,0.85,26,0.256,5,64,84,4,0.338765871182103,0.195742061612718,0.292925304659403,0.547329942205427,0.122749532815463,0.274084061953216,16521328447.7413,7865224901.50385,23303048114.0887,3244539384.63909,17748935402.3628,427492947.632104,0.00393575695284183,0.000188516471820826,0.00381242318557392,0.000433344726722946,0.000945670392535184,0.000143835510351913,3,15,14,15,15,3,83.8321475466339,36.4881463536368,75.2363898285229,914.122136416553,76.8577580569092,250142125.246958,10.2150626038219,0.0111388347072608,412.800000000001,65.187194152565,515778200,0.000846350032647552,0.00141642634814642,46.51156,1.03748368757401e-08,3.56200535854001e-07,2.42713893287005e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.109,30,0.765,0.148,30,0.977,0.0992,2,0.819,0.769,26,0.109,0.1,28,0.1,0.85,14,0.514,5,70,77,3,0.299445941599245,0.161248737929097,0.33330045775783,0.730550840576866,0.0757562782832145,0.363534346764356,23830497853.5365,23302763928.744,15052428817.5428,1569345466.7946,10571112819.5758,524300047.172199,0.00425829169945306,0.000291189476487081,0.00400695372195861,0.000299721965073323,0.00115382170893339,0.000196441830324818,14,15,15,15,-12,8,82.514086968053,33.9117813497099,98.4105827512243,1195.68858042738,69.5472036479169,248544938.015165,11.1183370699039,0.00975460590812229,402.450000000002,63.0553649958333,721267100,0.000904834810426387,0.00118605847886753,49.20777,6.64320175658209e-09,5.70125356043338e-07,5.47365543673295e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,29,0.782,0.0975,30,1,0.143,4,0.623,0.623,30,0.1,0.104,11,0.1,0.85,5,0.599,5,70,67,2,0.298267920549189,0.199248572633737,0.289041893244912,0.643395023346416,0.111150336521421,0.327593834306108,25645893149.9781,11979759600.75,24920306571.6079,2189852203.3529,18884628287.9296,694595550.597663,0.00434992367556478,0.000284586503467124,0.00467657368353573,0.000358251560531955,0.00092678730395569,0.000123217734134021,15,15,15,15,15,-1,75.2242292301967,28.0857948588268,93.6090128385994,1137.34950598898,73.7419039223015,206962717.466786,10.0150504741614,0.0125535789855763,399.500000000001,63.1395193496954,689799800,0.000909746471556495,0.00143580148998468,53.39035,2.14811818842503e-09,5.39337762783809e-07,2.30114700192074e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.13,30,0.795,0.119,28,0.749,0.15,3,0.637,0.464,25,0.148,0.108,11,0.129,0.85,18,0.256,5,64,81,5,0.319482896326134,0.185671069419309,0.311388715566561,0.54732989116631,0.122749540744137,0.264354190567344,18864769574.2404,12248838911.8438,23422964574.3479,3244538937.0134,17748935954.2884,544608064.797608,0.00406731438972723,0.000243823459301415,0.00382213667326543,0.000433344652103374,0.000945670406693116,0.000144245709797172,6,15,14,15,15,3,83.8942656691286,33.213342152065,92.8650526408387,1128.31038958619,73.0759145678931,229814845.603529,9.99672626413267,0.0117679685889388,398.500000000001,62.8996369666495,642566100,0.000854241136921103,0.00152866338134501,45.00749,5.93897844387e-09,3.99912720030482e-07,3.14776751514367e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.104,29,0.782,0.104,30,1,0.138,4,0.623,0.663,30,0.1,0.104,11,0.1,0.85,5,0.517,5,70,80,5,0.298012599834047,0.196131410596419,0.295752720439619,0.659535196640322,0.111141525831931,0.33422105147167,25583353771.3128,12993822579.55,23169258137.1196,1964846891.27658,18882580319.3433,738918904.36466,0.00433709822197567,0.000303979930795054,0.00457995481956775,0.000343427603696355,0.000926678642548315,0.000118475874074893,15,15,15,15,15,-1,68.0337780759872,24.6968656823164,102.007457264752,1239.39060576674,72.3482416475158,182062176.674668,10.1769011000402,0.0116122919389989,389.050000000001,62.8452232266799,751986100,0.000910107874589049,0.00146191231254524,50.95876,2.30656997445314e-09,1.38641197872214e-06,5.17791203749063e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.0975,29,0.782,0.0975,30,1,0.143,4,0.623,0.623,30,0.1,0.104,11,0.1,0.85,2,0.599,5,70,79,4,0.292168981386301,0.203047553198821,0.29524258921559,0.643395075256241,0.111150339051724,0.333166127392001,27443675330.9571,11374272352.3592,24960629929.6486,2189852425.80763,18884628490.7869,733823538.720851,0.00438344831700365,0.000264930313009136,0.00467884974325269,0.000358251604607231,0.000926787308654655,6.48732921914764e-05,15,15,15,15,15,-1,51.7666296146737,13.5113643893476,94.5133533203999,1148.33724284286,54.5516562462524,99171068.2081394,9.84639639665192,0.0111005234029451,387.050000000001,62.8607334129708,693711600,0.000906151399761223,0.0013004157975496,51.71744,1.55346660866907e-09,1.12382151349108e-05,0.000389801974071902,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.1,26,0.867,0.159,30,1,0.0992,2,1,0.77,30,0.1,0.0974,30,0.1,0.85,7,0.524,5,70,71,7,0.296045847990618,0.157273288564129,0.34363788406102,0.711682022047904,0.0707858530594924,0.364735719971808,26479660546.4271,21651632539.3818,13494790364.7262,1544509357.10882,10263076817.6616,709084745.611684,0.00428520520262182,0.000322968976722606,0.00392850516508483,0.000317553639101242,0.0011638146758567,0.000151162384054561,15,15,15,15,-15,9,77.5724804616216,29.0462885555353,86.7290501206147,1053.75795896547,68.4900312160382,213489678.871924,11.0582910072036,0.0115652411532046,383.550000000001,63.17309878394,637456900,0.000907405103671757,0.00130848944413246,45.9777,6.01531297885296e-09,3.71284492362567e-07,3.75329943180236e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
0.102,29,0.775,0.1,30,0.999,0.129,4,0.475,0.661,30,0.184,0.099,28,0.1,0.85,8,0.689,5,70,76,5,0.296984005436712,0.164105074251506,0.293048476894245,0.592008517106696,0.0746827661222572,0.291700293410603,26432628569.2635,14903108502.6947,24378810995.9185,1572263170.5123,10658174920.4256,559198474.156978,0.0043731455312529,0.000274159617759563,0.00467085583042839,0.000436655580958313,0.00115285202623716,0.000167085578422054,10,15,13,15,-8,-2,82.1039236793871,31.148303984634,75.0655379501068,912.046286093798,69.098585466884,233125365.390718,12.7212853124203,0.0102438200121308,374.800000000001,62.514958829357,561818100,0.00092399603271158,0.00132600418039407,46.89319,3.1235129883231e-09,4.95355062366809e-07,5.11133229947891e-05,"HSOTA_CS_Pin_2",22,0.9,0.3,0.1,0
