MOSFET_0_2_L_LOAD0_NMOS,MOSFET_0_2_M_LOAD0_NMOS,MOSFET_0_2_W_LOAD0_NMOS,MOSFET_13_2_L_gm1_PMOS,MOSFET_13_2_M_gm1_PMOS,MOSFET_13_2_W_gm1_PMOS,MOSFET_1_2_L_gm2_NMOS,MOSFET_1_2_M_gm2_NMOS,MOSFET_1_2_W_gm2_NMOS,MOSFET_25_30_L_BIASCM_PMOS,MOSFET_25_30_M_BIASCM_PMOS,MOSFET_25_30_W_BIASCM_PMOS,MOSFET_28_25_L_BIASCM_NMOS,MOSFET_28_25_M_BIASCM_NMOS,MOSFET_28_25_W_BIASCM_NMOS,MOSFET_6_2_L_LOAD1_PMOS,MOSFET_6_2_M_LOAD1_PMOS,MOSFET_6_2_W_LOAD1_PMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av1,av13,av25,av28,av6,ft0,ft1,ft13,ft25,ft28,ft6,gm0,gm1,gm13,gm25,gm28,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.4,30,2.02,0.25,30,2.12,0.143,14,1.96,0.0917,30,2,0.866,14,0.12,0.414,10,2,1.73,22.9,26,28,120,66,22,74,29,29,4400000000,8700000000,4500000000,4400000000,4200000000,4100000000,0.0041,0.0021,0.0057,0.0016,0.00047,0.0024,12.2152957709255,4.43302641505162,13.2037353616474,570966.038331792,16.8492932197596,122716312.268832,17.7417541410087,0.0546662092678641,-84.0203831285266,19.5579914637559,365509600,0.000683513274681059,0.000346363829152286,37.96181,1.68685648995402e-09,0.000127887607731057,0.0233685393537861,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.276,20,2,0.348,30,2,0.15,13,1.98,0.164,1,2.32,0.04,1,0.12,0.253,30,0.12,2.35,11.8,30,60,54,50,50,87,12,11,4500000000,6400000000,4200000000,8000000000,46000000000,4300000000,0.0029,0.0014,0.002,0.0025,5.5e-05,0.0027,13.7595010865851,9.30024629055544,35.9656246671104,293635.693840272,20.6292110028126,103589523.553033,9.8319886086183,0.166356306221386,-49.5621628421326,17.4543923125928,400598200,0.00027502132026897,0.000734644695009686,49.84664,6.01000311593327e-06,0.00014011428266497,0.0203834312770473,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.803,16,1.9,0.181,30,1.98,0.423,30,0.12,0.25,1,0.283,0.4,1,0.12,0.25,1,0.12,80,13.3,27,18,74,21,260,41,22,25,4100000000,4400000000,4400000000,10000000000,6100000000,13000000000,0.00039,7.7e-05,0.004,0.017,0.0072,4.8e-06,18.4035005556637,5.91224694577995,30.3807799202939,27682.0124647143,27.5335459871741,46023598.0833062,21.834681128883,0.116975754196965,-62.8992914,40.7815372938182,236497700,0.000192208672655418,0.00089059876892853,40.12462,1.97646176905107e-09,0.000304486014284304,0.0139508622073362,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.635,16,1.96,0.181,30,2.1,0.665,7,0.12,0.25,1,0.283,0.4,1,0.12,0.04,21,0.12,38.1,13.3,29,61,39,38,17,16,12,8.4,4200000000,4400000000,4400000000,15000000000,6200000000,18000000000,0.0015,5.7e-05,0.0021,0.0031,0.0014,2e-05,42.4925578605597,7.59102630629301,55.1315425150597,51.7687637069081,38.440221597699,56919483.406746,16.0553573613296,0.087038821129876,-64.2412837,44.3167153166767,413390600,0.000185142204317135,0.000538882134632252,29.64062,1.78265242650893e-09,4.7546433922524e-05,0.00465075604819831,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.37,22,1.98,0.339,16,2,0.04,23,0.12,0.182,1,2,0.339,5,0.324,0.332,30,0.12,1.68,18.1,24,19,88,8.3,42,150,20,32,4400000000,27000000000,4400000000,6100000000,4600000000,8000000000,0.00027,0.00052,0.00019,0.0016,0.0011,0.0014,18.742496499604,15.8100283235742,6.74132616056061,51590.2936110703,23.1928588159329,239879598.542174,9.46525752423039,0.0609127997835871,-95.3582652,25.4395721663548,102283600,0.000374632665369257,0.000723304384034897,37.44981,6.01734787362e-10,3.96180655329967e-05,0.0237735500991213,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.402,22,1.98,0.221,30,2.08,0.2,9,1.96,0.25,30,0.12,0.4,10,0.352,0.173,1,2,1.27,21.5,30,52,72,19,180,15,20,18,4400000000,7800000000,4400000000,4900000000,4300000000,4500000000,0.0045,0.0015,0.0038,0.0018,0.00056,0.0003,9.50911784873065,11.6664576285101,22.5563894731294,1644422.97692633,15.130805400581,195489131.620707,11.7856285364846,0.0939864190928613,-47.1970880970814,31.2849153364913,377966400,0.000413741025123777,0.000550325293314577,47.18686,1.16032021651807e-09,0.000291062935632334,0.0390966619101022,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.199,21,1.96,0.181,30,1.99,0.423,30,0.12,0.25,1,0.283,0.04,1,0.12,0.25,1,0.12,38.1,13.3,28,35,75,18,240,22,19,38,4700000000,7100000000,4400000000,6900000000,20000000000,5500000000,0.0048,7.6e-05,0.0002,0.023,0.0058,5.2e-06,28.1687581944889,12.289192806616,47.6092964304908,93.0220993418521,34.2685804190502,94211490.3531044,15.291866465543,0.0489800839398131,-60.6776654,51.7081767335608,364982700,0.000189289050546585,0.000612515663959735,29.5708,8.29131939965127e-10,2.88362701296113e-05,0.00529720244516518,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.188,10,1.98,0.174,15,2,0.0919,15,1.98,0.267,1,2.32,0.0839,1,3.18,0.271,30,0.12,2.81,11.8,31,54,46,96,85,23,15,14,5400000000,4900000000,4600000000,8300000000,4800000000,4200000000,0.00019,0.0013,0.00015,0.014,0.00037,0.0015,14.65393658753,29.030648127272,53.7724738184881,604917.743058666,20.8382734636258,324429156.957911,8.03729494295189,0.102088770546353,-39.966242868126,17.6700376137079,600929000,0.000275935846591425,0.000880395730490201,50.26511,7.12313051589955e-10,0.000210772098682772,0.0337268479823023,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.292,17,2.05,0.087,30,2.01,0.158,7,1.92,0.181,10,3.13,0.359,1,0.523,0.19,30,0.12,1.42,28.3,31,0,28,54,26,17,14,8,5000000000,6600000000,5800000000,4400000000,5400000000,4400000000,0.0024,0.0012,0.00055,0.0001,0.00031,3.9e-05,20.3909239257905,5.93471273460655,27.335218117358,55648.05368662,26.7658470525378,153113302.957037,14.7720196655704,0.0946654227052502,-5.86733348440059,23.5183501302019,705238100,0.000637027527821173,0.000378982206011433,52.46823,1.32711640639708e-09,0.000135966173865928,0.0296701303384917,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.406,30,1.98,0.153,30,2.09,0.2,10,1.96,0.2,30,1.09,0.4,10,0.352,0.111,1,2,1.27,20.4,19,0,85,37,48,18,16,45,4400000000,4800000000,4700000000,4300000000,4300000000,4700000000,0.0039,0.0028,0.0076,0.00023,0.00087,0.00065,15.6048525719401,7.14232167032745,18.1344227295576,75508.0984368034,24.4177714673316,127781364.031674,17.7046039210144,0.0586190841549388,-34.7612562,30.0139759789785,324438100,0.000441746473180735,0.000358724155369493,54.56857,1.7902447505829e-09,0.000154933772576473,0.0289813152856952,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.436,22,1.97,0.153,30,2.09,0.2,10,1.96,0.224,30,0.418,0.4,10,0.352,0.04,1,2,1.27,20.4,28,0,72,24,38,21,18,29,4400000000,4700000000,4700000000,4500000000,4300000000,6500000000,0.0031,0.0021,0.0054,0.00016,0.00068,0.00045,14.3906179970123,12.4180995899052,25.2665646195302,65117.0194317463,20.0824544162334,235195447.486717,13.8129461013934,0.096450699892768,-14.1457338,27.4442061690287,478541900,0.000467647642670932,0.000509268359738452,40.50135,9.36186146063039e-10,0.000105693100337596,0.0142395486562694,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.306,18,2.06,0.0631,30,2.02,0.114,2,3.54,0.181,7,4.11,0.0839,1,0.708,0.271,30,0.12,2.81,25.5,32,0,37,52,9.5,46,15,8,4800000000,9900000000,6900000000,4400000000,13000000000,4300000000,0.0027,0.0009,0.0012,0.0011,0.0004,0.0008,26.4108606050691,7.02736910808858,27.9940115503392,2939.89502591474,27.5637872745318,158405429.648514,14.3409291888636,0.0665437636470882,301,29.5749939495314,631019000,0.000556573180709212,0.000397509820489702,50.76504,1.21612076049298e-09,5.048327281926e-05,0.0122599191670869,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.635,16,1.96,0.181,30,1.99,0.423,29,0.12,0.25,1,0.283,0.4,1,0.12,0.25,1,0.12,38.1,13.3,16,0,100,13,220,16,34,49,4200000000,12000000000,4400000000,10000000000,5800000000,6300000000,0.0003,3.1e-05,0.0067,0.032,0.0075,4.4e-06,27.3156555956773,8.13780169088136,35.1816224341781,3156.28045394973,30.3021358615898,63348361.085139,16.0706309770339,0.121894124006132,-84.2040936,42.8635447949949,273869800,0.000192208795845108,0.000732214145649039,27.07713,1.20281988558803e-09,0.000124778637255704,0.0149762108421295,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.197,13,2.1,0.0631,30,2.03,0.154,2,2.55,0.182,5,3.65,0.107,1,0.415,0.271,30,0.12,2.81,30,48,0,33,43,16,13,11,8.1,8100000000,10000000000,9500000000,4600000000,23000000000,4400000000,0.0025,0.0016,0.002,0.0007,0.00037,0.00031,41.7715419944981,9.38787343946943,30.1566885194587,3.67511389340019,44.2050304929401,219392700.000054,11.6948238550224,0.0647638859734927,624.5,40.475252205491,704755700,0.000577032033786259,0.000407562256225448,49.76754,8.39582075033003e-10,8.24051016886707e-06,0.00112482676730058,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
0.251,22,2.02,0.06,30,2.1,0.174,10,1.96,0.224,16,0.147,0.186,10,0.352,0.19,1,2,1.27,20.4,35,0,56,19,23,23,18,14,4800000000,4800000000,5800000000,5300000000,5600000000,6000000000,0.0025,0.0014,0.0036,0.00019,0.00052,0.00081,23.0554711447414,16.2168498284345,38.4778345785145,49508.7673966191,20.7120728558811,262221241.892867,8.71625607700921,0.0696416045565798,534.5,29.0131406058556,622174200,0.000399251311676048,0.000628540878187617,52.16247,8.79878937134091e-10,0.00014276407359913,0.0264657320958143,"HSOTA_CS_Pin_2",40,0.9,0.3,0.02,0
