MOSFET_6_2_M_LOAD3_PMOS,MOSFET_6_2_W_LOAD3_PMOS,MOSFET_6_2_L_LOAD3_PMOS,MOSFET_0_2_M_LOAD2_NMOS,MOSFET_0_2_L_LOAD2_NMOS,MOSFET_0_2_W_LOAD2_NMOS,MOSFET_10_2_L_gm1_PMOS,MOSFET_10_2_M_gm1_PMOS,MOSFET_10_2_W_gm1_PMOS,MOSFET_13_2_L_gm2_PMOS,MOSFET_13_2_M_gm2_PMOS,MOSFET_13_2_W_gm2_PMOS,MOSFET_1_2_L_gm3_NMOS,MOSFET_1_2_M_gm3_NMOS,MOSFET_1_2_W_gm3_NMOS,MOSFET_28_10_L_BIASCM_NMOS,MOSFET_28_10_M_BIASCM_NMOS,MOSFET_28_10_W_BIASCM_NMOS,MOSFET_33_10_L_BIASCM_PMOS,MOSFET_33_10_M_BIASCM_PMOS,MOSFET_33_10_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS10,VDS13,VDS28,VDS33,VDS6,ft0,ft1,ft10,ft13,ft28,ft33,ft6,gm0,gm1,gm10,gm13,gm28,gm33,gm6,gmid_offset0,gmid_offset1,gmid_offset10,gmid_offset13,gmid_offset28,gmid_offset33,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,0.3,0.15,9,0.15,0.334,0.15,1,1.19,0.15,1,2,0.15,2,0.3,0.808,1,0.725,0.913,24,0.727,5,46,14,0.133876251,0.144050979,0.747357478,0.699280765,0.308816681,0.064908464,0.082267162,44958046416,51124520068,21376705140,69404370836,1133866382,108718527.6,67080256485,0.000466456,0.000107385,0.000153436,0.00041807,7.20E-05,0.000101346,7.85E-05,3,-15,12,8,7,-15,-6,80.64035893,1.822606626,184.5817282,1661.235554,66.76363275,1458180.266,13.31642745,0.002262996,391.3,63.70761291,147675000,0.000133342,0.000448601,45.23213,2.24E-08,3.83E-06,0.000251506,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,7,0.15,0.547,0.15,1,1.34,0.15,1,1.19,0.15,3,0.3,0.808,1,0.725,1,11,2,5,42,12,0.142614006,0.11793268,0.725055084,0.724023229,0.30876835,0.062337777,0.062291359,38565650856,51545519803,20567705318,1.05E+11,1133141151,85316019.03,71483660824,0.000491306,0.000164937,0.000164339,0.000380635,7.19E-05,0.000104403,9.18E-05,3,-4,15,-3,0,-8,-14,79.41833359,1.207383673,180.7689914,1626.920922,64.49938967,1023451.224,15.44985437,0.002821926,380,61.53186233,153230700,0.000141277,0.000455733,49.06429,3.01E-08,3.66E-06,0.000296106,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,12,0.15,0.427,0.15,1,1.36,0.15,1,1.74,0.15,4,0.393,0.808,1,0.633,1,66,0.3,5,45,21,0.12103298,0.127906918,0.72325111,0.722450956,0.311159003,0.063263888,0.066076514,29950365880,33320436202,20460608574,78011032521,1212987089,84290978.59,71942244851,0.000509335,0.000175324,0.000165628,0.000409465,6.90E-05,0.000103633,9.09E-05,3,-13,12,-15,3,-15,-11,80.54899175,1.758923784,235.6373402,2120.736061,65.93544531,1459441.757,14.86588847,0.002416107,353.5,63.00462572,195516700,0.000138289,0.000457882,45.66699,2.89E-08,3.99E-06,0.000241248,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,9,0.15,0.517,0.15,1,1.64,0.15,1,1.64,0.15,3,0.3,0.808,1,0.3,0.876,22,0.954,5,44,22,0.133107532,0.159275276,0.689441944,0.726352913,0.321414106,0.061263213,0.061879383,33511595290,53279809038,19195565243,83638143694,1754933870,104458078.2,70799341858,0.00051578,0.000167524,0.000184039,0.000414423,5.50E-05,0.000105223,9.09E-05,3,-3,15,-15,-8,-15,-15,79.84112046,1.682417723,244.0309792,2196.278813,65.04736763,1442380.434,14.2041149,0.002659206,348.2,62.62659788,209214100,0.000142888,0.000439162,50.38383,3.57E-08,3.28E-06,0.000282308,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,17,0.15,0.408,0.15,1,1.64,0.15,1,2,0.15,7,0.506,0.808,1,0.3,1,42,0.869,5,42,46,0.107864191,0.135048991,0.682469295,0.744814985,0.321341044,0.056937156,0.046850537,23658566058,23242846617,19234756192,71304515958,1753770995,62988145.15,63092184601,0.000540317,0.000266066,0.00018489,0.000428268,5.49E-05,0.000111681,8.63E-05,3,1,12,-15,3,-5,-15,79.44135292,1.017743759,242.4695937,2182.226343,63.9655338,895177.3794,19.83562452,0.002826111,331.3,61.55498671,213269100,0.000146595,0.000459395,61.05845,7.36E-08,4.19E-06,0.00024494,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,9,0.15,0.408,0.15,1,1.64,0.15,1,2,0.15,3,0.3,0.808,1,1.36,1,29,0.971,5,43,44,0.134142208,0.106651559,0.691963789,0.71221352,0.2953183,0.06031064,0.067499939,39482194620,44022083601,19180750669,70266707271,832619143.4,74172612.66,69139117623,0.000489882,0.000139651,0.000183725,0.000422926,8.66E-05,0.000108218,8.58E-05,3,1,12,-1,3,-6,-14,80.26698337,1.193347394,205.5489657,1849.940691,65.95044146,995270.6681,17.51612971,0.002711456,320.8,62.62897268,171431100,0.000139003,0.000401231,48.50467,4.14E-08,3.81E-06,0.000250807,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,12,0.15,0.351,0.182,1,2,0.15,1,1.27,0.15,6,0.343,0.808,1,0.3,0.96,84,0.3,5,45,42,0.121729514,0.127877304,0.696226482,0.75095148,0.321278365,0.059482443,0.046088798,35111897664,37403846080,14068596354,1.02E+11,1752872435,77094433.23,62641903236,0.000501048,0.000261732,0.000188574,0.00039195,5.49E-05,0.0001081,8.64E-05,13,-15,4,1,6,0,-11,81.04314351,1.651189298,276.6361609,2489.725448,64.38656965,1473897.902,16.14781719,0.00265643,316.7,61.94021515,246933200,0.000148771,0.000477985,63.58483,3.84E-08,3.85E-06,0.000233953,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,3,0.15,0.408,0.15,1,1.98,0.15,1,1.27,0.15,1,0.3,0.808,1,1.63,0.891,44,0.474,5,45,53,0.189250367,0.110422677,0.671482505,0.686620014,0.290971588,0.062814763,0.078189247,88337760683,77088926958,17858293897,1.00E+11,762327143.9,99793673.17,67135509437,0.00038915,8.80E-05,0.000201891,0.000389123,9.10E-05,0.000105099,7.95E-05,3,8,15,-12,-3,-14,-8,80.40966075,1.655573092,190.3965335,1713.568802,66.24574744,1350733.985,14.34501168,0.002735105,307.2,62.6240298,155339000,0.000135978,0.000370877,46.5129,4.76E-08,2.82E-06,0.00027565,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,9,0.15,0.517,0.15,1,1.64,0.15,1,1.54,0.15,3,0.334,0.808,1,0.3,0.882,44,0.542,5,46,60,0.133019515,0.15991528,0.688972198,0.730008208,0.32133929,0.060195264,0.061109715,33414922218,49302868782,19198081781,87803085476,1753851973,93519886.43,70120362964,0.000514198,0.000170194,0.000184095,0.0004091,5.49E-05,0.000106834,9.01E-05,-2,-6,15,-15,-8,-15,-15,80.19493716,1.428586789,192.6869952,1734.182957,65.49963097,1218868.437,15.10779137,0.002592106,306.2,62.98770813,164400300,0.0001422,0.000420465,52.33242,3.70E-08,3.16E-06,0.000267745,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,12,0.15,0.408,0.15,1,1.64,0.15,1,2,0.15,7,0.3,0.808,1,0.3,0.898,28,0.869,5,41,16,0.121969573,0.115857793,0.687530139,0.727471058,0.321398243,0.059927826,0.041447416,31661976456,39660167586,19206832184,71127914422,1754716274,92461468.29,56241614684,0.00051732,0.000288603,0.000184279,0.000427707,5.50E-05,0.000107161,7.92E-05,3,1,12,-15,3,-5,-15,79.12662539,1.310098425,297.6366545,2678.729891,62.13877553,1210410.036,15.49223547,0.003219391,367.4,59.82839385,274988800,0.000153985,0.000523538,61.58562,5.20E-08,4.38E-06,0.000275718,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
