Element,X,Y,Factor
CAPACITOR_0,1855,241,1
CAPACITOR_1,2028,343,1
CURRENT_0,127,370,1
MOSFET_0,116,144,1
MOSFET_0,281,140,1
MOSFET_0,453,143,1
MOSFET_0,624,143,1
MOSFET_0,1145,129,1
MOSFET_0,1337,129,1
MOSFET_0,1692,122,1
MOSFET_0,881,135,2
MOSFET_11,1516,206,1
MOSFET_12,1954,182,1
MOSFET_17,1194,280,4
MOSFET_17,1351,283,4
MOSFET_18,312,279,4
MOSFET_18,475,280,4
MOSFET_18,312,364,4
MOSFET_18,479,364,4
MOSFET_18,2133,386,4
MOSFET_18,2303,387,4
MOSFET_18,642,285,1
MOSFET_18,1175,395,8
MOSFET_18,1323,396,8
MOSFET_22,1525,392,1
MOSFET_22,1657,395,1
MOSFET_25,1911,389,1
MOSFET_59,2136,99,1
MOSFET_59,2266,98,1
MOSFET_60,2125,274,1
MOSFET_60,2263,276,1
MOSFET_9,823,202,1
MOSFET_9,962,198,1
RESISTOR_0,2181,465,1
