MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_59_2_L_HSBCM_PMOS,MOSFET_59_2_M_HSBCM_PMOS,MOSFET_59_2_W_HSBCM_PMOS,MOSFET_60_2_L_gma_NMOS,MOSFET_60_2_M_gma_NMOS,MOSFET_60_2_W_gma_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS11,VDS12,VDS17,VDS18,VDS22,VDS25,VDS59,VDS60,VDS9,ft0,ft11,ft12,ft17,ft18,ft22,ft25,ft59,ft60,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm25,gm59,gm60,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset17,gmid_offset18,gmid_offset22,gmid_offset25,gmid_offset59,gmid_offset60,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,1,0.957,0.495,4,1.01,0.5,200,1,0.5,1,0.996,0.5,1,1.06,0.395,13,0.527,0.5,10,2.04,0.5,16,0.948,0.5,9,1,0.5,13,0.906,1.56,1.56,1,2.5,100,18,0.317797612225505,0.326263290380565,0.326263290380565,0.325151682625695,0.317797612225505,0.246628971081273,0.458138280806277,0.268019561574582,0.290448403353306,0.317797612225505,316629717.731166,313862648.047131,300287577.010318,403562052.431673,312368807.793806,276477502.935847,1623634192.03043,117901452.783371,217277863.275331,312368807.793806,3.81533047525646e-05,1.66097927823941e-05,0.00079688449197782,2.07191540663313e-05,1.8835903819077e-05,1.94654222948253e-05,0.000622894842942838,2.24387904107691e-05,2.24732337188743e-05,1.8835903819077e-05,4.33820613052957,3.26950306263335,3.30127191404092,6.325381352478,5.58759894963407,7.28108297778079,-0.536004203817726,6.04237945893635,7.37916674153877,4.28009715672635,71.5490239040281,1748.42760411149,2275.77557623085,55.3013465024096,78.5470626088379,1825392.45217637,59.6846889076252,0.00271721013357438,352.600000000001,99.0693095495543,2375954,6.44456459996813e-05,0.000287619904764998,67.06284,1.32952748145587e-06,3.32949090998347e-06,0.00050924531439811,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,0.957,0.547,4,1.01,0.5,200,1,0.5,1,0.996,0.5,1,1.01,0.38,7,0.527,0.5,24,1.27,0.5,11,0.942,0.5,9,1,0.5,16,0.903,1.56,1.56,1,2.5,100,20,0.319323124128177,0.333690979923318,0.333690979923318,0.325832249806123,0.319323124128177,0.279636536791354,0.435736141386937,0.288740888725423,0.290987718239369,0.319323124128177,330279244.430469,277107228.660289,321591948.217316,404932470.226085,324192092.66931,481289501.43069,1348713824.51536,158594581.020369,217305274.18001,324192092.66931,3.80973784808167e-05,1.63400761321727e-05,0.000871526516748774,2.08010852123452e-05,1.87195868170133e-05,1.88440588165905e-05,0.000750766524717364,2.14531601528957e-05,2.24783945953909e-05,1.87195868170133e-05,4.26027698252456,2.78549892531641,2.89780168243919,6.32026771526128,5.48614976110823,6.42906067485317,2.87085315027243,5.22691188276379,7.38042190248312,4.17864796820051,71.5929953535893,1481.42865106303,2151.91151646284,52.2914498500471,79.7690140118657,1680391.24265785,59.6874569738065,0.00310995657233912,343.900000000001,99.6187578754741,2440923,7.00187986850532e-05,0.000283872880275224,63.59509,1.30935517418724e-06,3.59873709889158e-06,0.00059424064371183,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,0.945,0.547,4,1.01,0.5,200,1,0.5,1,0.988,0.5,1,1.06,0.395,21,0.727,0.5,18,1.27,0.5,16,0.964,0.5,9,1,0.5,13,0.952,1.56,1.56,1,2.5,100,22,0.317774285817582,0.331860135509839,0.331860135509839,0.325327714593554,0.317774285817582,0.218439788167268,0.45602961501165,0.267417976417857,0.290423771222074,0.317774285817582,316375384.845985,274159622.116969,316242694.444917,405896030.894633,312276785.061296,135398979.580989,1572042830.71831,116372072.114513,217208438.33442,312276785.061296,3.8121524737195e-05,1.60631224153996e-05,0.000852494677224087,2.06897841837989e-05,1.88291841975346e-05,2.03106266083591e-05,0.000681499821518138,2.24863895953916e-05,2.2464750246467e-05,1.88291841975346e-05,4.33673190606199,2.86656350042898,2.99166465102415,6.31109763689117,5.58834790272839,8.22660911830128,1.51040642828566,6.08909534860354,7.37963490333464,4.28084610982068,72.3048339205129,1581.94084842128,2081.30623437057,50.5757414952049,78.9213835536632,1763533.07199644,59.7589224300439,0.00243664252713378,328.2,99.2141727716035,2320221,6.88142456661752e-05,0.000283397537330628,67.63368,1.20801635224826e-06,2.58995254970695e-06,0.000415031695751078,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,0.945,0.547,4,1.01,0.5,200,1,0.5,1,0.988,0.5,1,1.21,0.395,11,0.727,0.5,18,1.27,0.5,16,0.967,0.5,9,1,0.5,13,0.952,1.56,1.56,1,2.5,100,24,0.313389782007331,0.332742299736719,0.332742299736719,0.323206633696562,0.313389782007331,0.252383400719514,0.457134305412528,0.26724659391133,0.289102785991923,0.313389782007331,281095130.150225,275474429.533166,318825078.627072,399750959.347403,281746544.069511,241306438.36529,1584427674.00445,115985334.125591,216745504.50033,281746544.069511,3.81674460295633e-05,1.61908924314889e-05,0.00086165063064825,2.03310977263558e-05,1.91252506724613e-05,1.98129139497197e-05,0.000688192677003132,2.24726931081514e-05,2.24328255578982e-05,1.91252506724613e-05,4.52918127798014,5.53439036474384,2.9464408556301,9.53699998849182,5.84594224092537,7.55589541041282,7.75604033632557,6.0998753480969,10.4226774467439,4.53844044801765,72.3520218075741,1525.15311794632,1902.60170558613,46.2332214457429,78.3796103446043,1714128.3614009,59.7156471119589,0.00198185791746686,325.8,98.8722956777533,2138345,6.93768982497616e-05,0.000280758631300282,73.13051,1.34923579607294e-06,2.36708230684779e-06,0.000410492664972173,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,0.945,0.656,4,1.11,0.5,200,1,0.5,1,0.988,0.5,1,0.996,0.395,21,0.72,0.5,18,1.27,0.5,11,0.964,0.5,9,1,0.5,18,0.937,1.56,1.56,1,2.5,100,25,0.319732612190642,0.338319688040737,0.338319688040737,0.326192504670709,0.319732612190642,0.218456157607057,0.464134035493137,0.287845655055862,0.291097548376769,0.319732612190642,334053777.541593,202013066.196267,335182752.722702,407684815.230408,327580270.270045,136329604.067123,1663459592.61066,155952964.507574,217271045.633079,327580270.270045,3.80481141544123e-05,1.55879758538887e-05,0.000920685759916354,2.07944399159031e-05,1.86784971361555e-05,2.02580503673529e-05,0.000731159694287975,2.15310078919404e-05,2.24715056999243e-05,1.86784971361555e-05,4.23570085776607,2.44768797218653,2.65894007381736,6.30456231609404,5.45683502331694,8.22125419507335,7.45771652200919,5.29751120740271,7.3814440072487,4.14933323040922,72.3078428396041,1462.69392686316,2049.12440003978,49.7937229209667,81.1483513804934,1745207.70685662,59.7591954430446,0.00260310520550288,322.4,99.4734554701794,2444905,7.36510002640469e-05,0.000276895213155321,60.04121,1.26378732156924e-06,2.95964705655627e-06,0.000562025038441938,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,1.01,0.547,4,0.74,0.5,200,1,0.5,1,1.03,0.5,1,1.13,0.392,33,0.872,0.5,12,1.54,0.5,4,0.962,0.5,9,0.987,0.5,21,0.985,1.56,1.56,1,2.5,100,38,0.315815365711882,0.346133826770111,0.346133826770111,0.323445848673903,0.315815365711882,0.191733828334938,0.492892314978427,0.349352860619647,0.290436455752897,0.315815365711882,300410296.623461,322799400.052327,358152123.23733,390126044.720632,297658123.787175,74677839.2847029,2009241828.67641,306238334.752967,219367657.450476,297658123.787175,3.83540521361102e-05,1.46259634978349e-05,0.00100663510649205,2.06271655999232e-05,1.90121952114925e-05,2.04838211002838e-05,0.000741974697550181,1.78990065057109e-05,2.24646047399786e-05,1.90121952114925e-05,4.44343152807088,1.7358166918593,2.25270007431166,6.397144386999,5.71255439847398,8.72875269507232,-0.0140267787055137,2.28728208352952,7.35689637039339,4.40505260556626,70.6674810194427,1281.03071098366,1706.63757822501,41.4712931508678,82.3990448114552,1733664.17244414,59.8006313010155,0.0047514764548441,272.1,98.8422865700146,2309653,8.35392204288547e-05,0.000264090649879874,73.21036,3.26159257184285e-06,5.27718005396804e-06,0.000920366333649558,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,1.01,0.547,4,0.74,0.5,200,1,0.5,1,1.03,0.5,1,1.15,0.392,33,0.872,0.5,12,1.53,0.5,4,0.962,0.5,9,0.987,0.5,21,0.985,1.56,1.56,1,2.5,100,39,0.315231940972663,0.346122280739145,0.346122280739145,0.32316571151595,0.315231940972663,0.191725762272252,0.493480873324091,0.349341468440795,0.29026075007337,0.315231940972663,295735120.894937,322771088.792698,358117960.12125,389341816.23939,293624107.194322,74666484.4471967,2015620757.82568,306208353.359335,219303820.904574,293624107.194322,3.83596405731771e-05,1.46241712403225e-05,0.00100650493006213,2.05797143011167e-05,1.90513497107374e-05,2.04806002374647e-05,0.000740216500221976,1.78966956646017e-05,2.24601284091934e-05,1.90513497107374e-05,4.46863134098825,1.73639399728329,2.25330354964283,6.40024742023483,5.74653169116494,8.72887122633299,-0.131549195667395,2.28788441370258,7.35635582630661,4.43902989825722,70.6391711210575,1270.77351065153,1686.28892196327,40.9768208037074,82.3997317769654,1719484.73727415,59.8007149121146,0.00476892075495725,267.3,98.7804169625973,2281719,8.35247447915809e-05,0.000263969118989237,73.78358,4.20258956501945e-06,5.29053980639238e-06,0.00092383414854369,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,0.986,0.577,4,0.685,0.5,200,1,0.5,1,0.987,0.5,1,1.07,0.392,21,0.795,0.5,24,1.53,0.5,18,0.962,0.5,5,0.987,0.5,21,0.944,1.56,1.56,1,2.5,100,51,0.317551623540205,0.355439653088857,0.355439653088857,0.325534081689117,0.317551623540205,0.217001196535227,0.446183927466308,0.259592849721709,0.314703184596911,0.317551623540205,314636646.934373,314446319.410889,385570288.572621,407164522.66689,310330380.090173,125741309.41948,1473666496.53474,103194666.706086,341026261.278724,310330380.090172,3.823869431274e-05,1.43004996968871e-05,0.00111382251435268,2.07595523817327e-05,1.88739451776331e-05,2.04610082184451e-05,0.00100264924479258,2.21103008634848e-05,2.09121095086152e-05,1.88739451776331e-05,4.3565081327066,1.13688826240791,1.76623631773411,6.30268238098573,5.60506962134782,8.30155351072706,-0.501525533402909,6.35919517855915,6.64782966516246,4.29756782844009,77.494214242272,1126.8875237384,1569.22466102388,38.1321592628802,76.6306396214123,1708994.44463132,59.8659198542877,0.00155081050462845,241.9,99.2008410085986,2379826,9.36149189819148e-05,0.000259588426912978,71.28186,9.60436502694093e-07,1.30390638429734e-06,0.000218337488221587,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,1.01,0.547,4,0.714,0.5,200,1,0.5,6,0.989,0.5,1,1.06,0.392,33,0.989,0.5,8,1.53,0.5,18,0.962,0.5,9,0.987,0.5,21,1.01,1.56,1.56,1,2.5,100,28,0.317897510478673,0.347073147863126,0.347073147863126,0.255825366354464,0.317897510478673,0.18853888522531,0.535312860801555,0.261344731931667,0.290782616776602,0.317897510478673,359597673.393166,327038502.050061,360963134.875874,107426327.804681,312763117.627055,65511019.0254031,2503833464.36781,106062113.477552,220027646.717927,312763117.627055,4.28340104705874e-05,1.43587529043863e-05,0.00101732415627328,2.69192069244471e-05,1.88647033248742e-05,2.02992566924712e-05,0.000644460126678453,2.27856188616604e-05,2.24862852420168e-05,1.88647033248742e-05,4.83626025663727,1.64181548814073,2.20340715439632,8.27103400023903,5.58439007390787,8.78340354545335,-0.0615628416935206,6.29941916183947,7.36139840748746,4.27688828100015,76.0279578102057,1772.73756633109,2538.54151600803,61.686558838995,78.7344589801832,2467223.46133788,60.0572863189805,0.00129244778634275,290.3,99.412042514923,3533038,8.59110493394858e-05,0.000264258514228598,47.99305,1.16460406881978e-06,8.34793009729662e-07,0.000136014934887685,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
0.5,1,1.01,0.594,4,0.714,0.5,200,1,0.5,1,0.988,0.5,1,1.04,0.392,14,0.773,0.5,29,1.46,0.5,22,0.959,0.5,2,0.978,0.5,31,0.944,1.56,1.56,1,2.5,100,31,0.318503987164749,0.356249161506817,0.356249161506817,0.326019362321052,0.318503987164749,0.238734147618785,0.43613008200507,0.239680244828194,0.34847425197313,0.318503987164749,323021388.545853,296316723.004603,387952087.677082,408434870.216209,317385129.603373,186970897.444932,1360701449.48736,74512788.6963719,591065875.700142,317385129.603373,3.8264489489068e-05,1.44443437631476e-05,0.00112337534399944,2.08564762170869e-05,1.8819271311381e-05,2.02381786996197e-05,0.00104847197973816,1.89553344228671e-05,1.61857159986119e-05,1.8819271311381e-05,4.31376565586107,1.12997305435562,1.72392728585529,6.29793037973088,5.54485892266691,7.88835276428924,2.08569953932962,6.9813595146265,5.44943626119868,4.23735712975919,79.3867104640016,1329.26376050611,2020.12239138957,49.0889741107664,75.3398746148805,1984156.02627191,59.937358233409,0.00151745382849728,281.4,100.093047722328,3015382,9.21403040486026e-05,0.000260610752875481,46.05132,1.33351625487402e-06,1.83763940832027e-06,0.000333900364630324,HoiLee_AFFC_Pin_3,180,1.8,0.4,100,0
