MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS11,VDS12,VDS17,VDS18,VDS22,VDS24,VDS25,VDS9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset17,gmid_offset18,gmid_offset22,gmid_offset24,gmid_offset25,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,11,0.92,0.5,4,0.95,0.5,81,1,0.5,10,0.98,1.5,4,0.96,0.5,10,0.98,0.5,1,0.526,0.5,10,0.94,1,7,0.92,3.85,0.5,5,1,0,0.383219152092847,0.46419890021145,0.46419890021145,0.323037405657388,0.383219152092847,0.350127766483785,0.627138365384308,0.627138365384308,0.383219152092847,119292044.41757,702249166.049345,691807397.865745,275500607.50868,99103801.4263313,588462866.637136,2590989802.81378,3513845167.97148,99103801.4263313,0.000172743484478268,5.02542605610697e-05,0.00105686947601156,0.000127603262663818,7.42523743161703e-05,8.73865384275931e-05,3.24904259868502e-05,0.000751130436540414,7.42523743161703e-05,1.51656779627705,1.95915165398054,-3.20449476133694,7.10375958255424,1.82552063581815,5.12544548710082,-1.01514033870645,-1.5124696707164,0.518018842910431,91.2770652294674,454.58335758131,745.647104608399,18.1192246419841,79.5600142775717,1296069.64618597,70.1590550107397,0.00449550194003906,282.7,95.0288775882624,2125926,0.000175994782503608,0.000171933431239847,48.8955,4.40528667949711e-06,3.91019578518531e-06,0.000974479578115806,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,11,0.92,0.5,4,0.95,0.5,81,1,0.5,15,0.98,2.18,1,0.96,0.5,11,0.98,0.5,1,0.526,0.5,10,0.94,1,7,0.893,3.85,0.5,5,100,51,0.536594364064195,0.464027066399062,0.464027066399062,0.355647427021519,0.536594364064195,0.344295585375425,0.626897475235485,0.626897475235485,0.536594364064195,150927745.004032,702063224.465076,691321584.01623,198482481.008954,122168578.168899,548694183.692751,2598667041.4506,3511223471.88518,122168578.168899,9.9695477900137e-05,5.02216602811827e-05,0.00105580800490733,0.000126435923629631,4.23001850850308e-05,8.82897797458059e-05,3.25711351854027e-05,0.000750478830751332,4.23001850850308e-05,-4.16461016801005,0.821585723276948,0.765971755098908,7.85340843633923,1.29589021101581,6.55676488165943,-0.807781453602138,-0.365371749114453,-4.96451151475323,91.9080802704932,482.087497402283,747.823746121268,18.1721170307468,80.3549539155425,1367817.62824275,70.1026005223772,0.0045488886072651,239.1,95.450013860563,2121786,0.000175140793701415,0.000166253215920183,48.5233,2.40049470546151e-06,4.09596207179674e-06,0.000971687925463316,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,11,0.92,0.5,4,0.95,0.5,81,1,0.5,15,0.98,2.18,1,0.96,0.5,11,0.847,0.5,1,0.526,0.5,10,0.94,1,7,0.893,3.85,0.5,5,100,52,0.536594364064195,0.464131119480219,0.464131119480219,0.355648154444449,0.536594364064195,0.349279626480281,0.627043944348971,0.627043944348971,0.536594364064195,150927750.194541,702099903.08776,691616746.869007,198482938.124484,122168578.168899,609492573.777614,2593988664.79331,3512805580.7079,122168578.168899,9.96954802181776e-05,5.02369984874118e-05,0.00105645193434764,0.000126436747817739,4.23001850850308e-05,8.61982523419357e-05,3.25219444840858e-05,0.000750872775018636,4.23001850850308e-05,-4.35913775977895,-3.09652437122417,0.762494659217619,7.85339359899335,-3.80057108506573,9.91652239468043,-3.56615868411755,-0.116841867362781,-5.39785444840802,91.8849133284563,481.688807417748,749.165440350375,18.2047202005141,80.3437956137608,1367214.4610106,70.0921650400385,0.0045560344829367,239,95.407068283977,2126414,0.000175208460490918,0.00016642780084233,48.59003,2.39156709256569e-06,4.10659567559757e-06,0.000973054933391504,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,11,0.929,0.5,4,0.95,0.5,81,1,0.5,15,0.98,2.18,1,0.988,0.5,11,0.98,0.5,1,0.526,0.5,10,0.94,1,7,0.855,3.85,0.5,5,100,54,0.533759428517679,0.464056113165366,0.464056113165366,0.354607020121228,0.533759428517679,0.344311862427458,0.626939654789243,0.626939654789243,0.533759428517679,149034898.895355,702145383.266703,691406106.270269,198645703.675624,120600491.686662,548802570.668951,2599414740.04037,3511653400.75421,120600491.686662,0.000101012231017479,5.02301121481994e-05,0.0010559903135174,0.0001266344266505,4.28512535859111e-05,8.83109381745223e-05,3.25806514111996e-05,0.000750587436051762,4.28512535859111e-05,-4.25713482423027,0.470832789815146,0.764996048481084,7.84751471921777,1.38935774655495,6.0164284021132,-3.55780388931522,-0.366252259626503,-4.912571727322,91.2930204978911,475.861797186635,738.576993110884,17.9474209325945,80.2428137152794,1350604.34004437,70.1046780179469,0.00469688297986367,232.4,95.2750423825747,2096250,0.000175199267449591,0.000167184155312973,49.2365,5.84385680929851e-06,4.22073139850987e-06,0.000997861863818006,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,11,0.926,0.5,4,0.95,0.5,81,1,0.5,10,0.98,1.5,4,0.96,0.5,10,0.98,0.5,1,0.52,0.5,10,0.94,1,7,0.92,3.85,0.5,5,100,60,0.383234246474903,0.464218315372568,0.464218315372568,0.323054809738207,0.383234246474903,0.350138766292227,0.627166093149911,0.627166093149911,0.383234246474903,119307846.166356,702304070.297054,691863132.31362,275567212.047658,99115571.7073478,588539637.876137,2654321834.10229,3514136762.69242,99115571.7073478,0.000172772835641278,5.02599095250193e-05,0.00105699043510713,0.000127639316221813,7.42641463042396e-05,8.74004143404093e-05,3.2842580397158e-05,0.000751203518614047,7.42641463042396e-05,1.51597222856879,0.815988392497536,0.75958478037616,7.10337652438812,1.8248555066727,6.33418951525528,-3.70892091664192,-0.370941965324465,0.517353713764981,90.9139288097854,454.828550292171,730.785558661122,17.7580890754653,79.5798533833576,1296968.49370776,70.1609150453442,0.00452135408041241,224.2,95.0135155215498,2083875,0.00017602189552696,0.000169739975578335,48.99914,3.22833113767034e-06,3.95301685196386e-06,0.000981967030363573,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,45,1,0.5,14,0.99,0.5,240,1,0.5,40,0.98,1,8,0.99,1,5,0.88,0.5,1,0.942,0.5,16,1,0.5,17,0.99,3.85,0.5,5,10,0,0.319562788776452,0.359930535420874,0.359930535420874,0.249397228485934,0.319562788776452,0.444975610671387,0.543772658866099,0.543772658866099,0.319562788776452,129311567.664434,401301629.616894,398747301.40992,90080253.3201338,111102930.347371,427844897.795826,2572498431.09278,2583429349.38118,111102930.347371,0.000215879510123051,8.13461936820376e-05,0.00140064013997462,0.000146632167654814,9.48607773153667e-05,6.75711010679914e-05,5.20081204904969e-05,0.000885187059100433,9.48607773153667e-05,4.017869508548,1.51017699465344,1.53186585557042,8.47518379528377,4.61979073564748,0.45198128372078,0.0335667310839156,0.198741850808204,3.31228894273977,88.4071857382395,747.620559644517,1035.18988078858,25.1551141031626,82.1606911650901,2018029.03339691,72.6004201089773,0.00292016077344418,469.600000000001,104.6227128792,2794256,0.000166621545933399,0.000120705400256332,47.53579,7.92705986935398e-07,2.69957282190675e-06,0.00059344123760402,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,45,1.01,0.5,15,0.99,0.5,200,1,0.5,40,0.98,1,2,0.971,1.3,1,0.88,0.5,1,0.942,0.5,16,1,0.5,17,0.99,3.85,0.5,5,100,8,0.412283802042361,0.358017329657217,0.358017329657217,0.275521129797375,0.412283802042361,0.673949489329922,0.52104607585291,0.52104607585291,0.412283802042361,327590012.865836,386504591.431702,393148744.91151,92288240.7234934,263973272.294801,665538205.3301,2568294186.03961,2324324158.91736,263973272.294801,0.000171464419565012,8.38717751028115e-05,0.00114435682902349,0.000147530499629112,7.16418127698413e-05,3.28261916501323e-05,4.95588865841987e-05,0.000777933415106593,7.16418127698413e-05,0.546819646642536,1.6580142124323,1.63158027173388,8.61052832306497,0.817579308524897,-3.62824577688408,0.977940830425242,-0.220280647610391,-0.518063506111334,89.8003934297027,805.221429068838,1151.10468846379,27.97184392967,81.4858799283783,1908288.66775288,72.1440087602567,0.00275486567224282,356.7,105.473543147386,2727995,0.000146289694390136,0.000123979915139017,45.2493,7.46788600929899e-07,2.67969022113151e-06,0.000565449303901677,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,19,1,0.5,14,0.995,0.5,200,1,0.5,13,0.965,2.54,1,0.975,1.3,9,0.917,0.5,1,0.942,0.5,17,0.955,0.5,9,0.99,3.85,0.5,5,100,16,0.553842435971986,0.358011998671904,0.358011998671904,0.367929379836845,0.553842435971986,0.409968608611025,0.518771450346099,0.518771450346099,0.553842435971986,120001882.851045,396784154.830228,393101404.440019,226845981.962967,97533564.4805227,206570774.4426,2546587124.50038,2300901380.21559,97533564.4805227,9.48338980287915e-05,8.03209125728023e-05,0.00114421893405129,0.00012485748723153,4.04323335891947e-05,7.35998098224109e-05,4.89956121018833e-05,0.000780237762010577,4.04323335891947e-05,-4.89489889177298,1.60795047202563,1.63202883432462,7.68299711121042,0.799189863786611,1.73828685928875,0.653434680861784,6.45754442261831,-5.64665574015626,79.7411475360675,755.351657487094,1000.14191491357,24.3034485323998,80.8475087933982,1761870.56775611,70.8541763059878,0.000666425036547381,346.200000000001,106.316093913873,2332848,0.000143982529694705,0.000111956843094746,51.52126,6.62127026371261e-07,2.69216458388954e-07,6.56582867383793e-05,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,45,1,0.5,14,0.99,0.5,200,1,0.5,40,0.98,1,1,0.952,1.3,1,0.89,0.5,1,0.942,0.5,16,1,0.5,17,1,3.85,0.5,5,100,18,0.470233511509779,0.362810707078777,0.362810707078777,0.293526411010675,0.470233511509779,0.671767338664517,0.528124558836718,0.528124558836718,0.470233511509779,488026832.48551,400440294.399542,407157917.072964,92388162.0078674,387667600.840535,661737143.00424,2599440982.44015,2405055197.42794,387667600.840535,0.000139083958905355,8.22451059355562e-05,0.001201930299635,0.000145825826644536,5.7439784472202e-05,3.29811993552432e-05,5.07350015582149e-05,0.00081120440402394,5.7439784472202e-05,-1.82001817647117,1.4078461963897,1.38206302366804,8.71330801846307,3.45406996979493,-3.59267521509998,0.161701116763028,3.03891609936384,-2.98919689879638,87.837998243769,789.793638643844,1112.35965181469,27.030339539097,81.714289532589,1943006.84585518,72.0814053692074,0.00298316293324214,345.2,105.436694166329,2736566,0.00015186080049282,0.000126510794197404,45.8528,7.12389161822914e-07,2.889318434324e-06,0.00061062711259452,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
0.5,45,1.01,0.5,14,0.99,0.5,200,1,0.5,40,0.98,1,1,0.99,1.3,1,0.88,0.5,1,0.942,0.5,16,1,0.5,17,0.99,3.85,0.5,5,100,22,0.467495869181383,0.362852228193448,0.362852228193448,0.292540419550785,0.467495869181383,0.673712508494769,0.528186359485141,0.528186359485141,0.467495869181383,479064571.926793,400476241.226426,407279424.621992,92445951.1451874,380635458.972671,665125660.940135,2599808085.99944,2405755485.2922,380635458.972671,0.000141192513886375,8.22663121763793e-05,0.00120243492577166,0.000146026610470668,5.83244843049875e-05,3.28033336359972e-05,5.07469834597567e-05,0.000811494274883559,5.83244843049875e-05,-1.58293950765585,1.40609603986546,1.37990444597506,8.70694983144309,-1.30162505898833,-0.774155123453606,-0.0822319132930343,0.186627257462803,-2.60912685189605,87.5428350126132,788.576298797844,1110.11187881771,26.9757186552703,81.6991612298024,1940973.01867514,72.0943756474803,0.0030191879210526,340.9,105.368424708025,2732389,0.000151936026334529,0.000126589570720912,45.92031,7.13582424280289e-07,2.92971430080446e-06,0.000617609338514513,"Leung_DFCFC1_Pin_3",180,1.8,0.4,100,2
