MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
4,50,10,2,1,2,2,6,9,10,50,10,8,50,2,2,50,10,2,1,2,2,1,7,2,1,5,0.9573699,0.03711414,3.966794,15,59,73.97525,393.0448,484.7367,863.7303,16.00103,450.2315,376.0107,231.9144,278.7398,16947760,1267691000,367642200,37130770,16364640,268562100,638648200,962790500,5014528000,0.002636365,3.877881e-05,0.0004256915,0.004673368,1.109871e-06,0.006933676,5.169983e-06,0.0002314806,2.988121e-05,61.1828099630969,18.5466237378359,13.5115839594488,92752.9368464144,32.7541589562881,1954682.43749486,244.607835360113,0.131300333565307,-61.786234324198,94.8575181878823,1424025,0.000234206441635367,0.000817143081144613,64.48638,3.07658988921425e-07,0.00184993219386623,0.045188608917142,"Leung_DFCFC1_Pin_3",180,5,2,10,0
4,50,10,10,2,6,2,4,10,10,47,2,8,1,2,6,50,10,2,1,2,4,1,10,2,2,7,0.9889226,0.0677901,6.477797,14,48,73.45695,736.0754,362.3845,1119.635,16.00134,254.2958,19.20724,325.2739,298.382,17406340,766410400,481735800,59544380,16481100,53743740,581108800,854059800,5033887000,0.008431452,2.564018e-05,0.0003646817,1.224183e-05,1.143219e-06,0.0218477,6.762525e-06,0.0002806831,7.006447e-05,56.4910974495941,11.4980254207726,9.56165621578141,439659.931998105,34.4864954781036,1309940.5834174,173.616704640711,0.0477571784893131,-70.890366546573,103.05250023074,1089335,0.000253172085443632,0.000732316886711152,68.1951,3.3836763223312e-07,0.00983328718098917,0.0405806720037669,"Leung_DFCFC1_Pin_3",180,5,2,10,0
10,50,10,2,1,2,2,4,10,2,50,10,8,1,10,10,50,10,2,1,2,4,3,2,2,2,7,0.6955646,0.06472983,7.440999,13,30,400.7874,107.5516,371.4879,917.2363,16.00038,487.0548,35.2008,325.0885,420.6233,16526140,4815490000,376929500,148958200,16154560,43960460,1004055000,424729800,4886543000,0.01232434,3.02398e-05,0.0002941326,2.872578e-05,1.205375e-06,0.002415352,5.740499e-06,0.0001333089,4.292752e-05,78.3647752255582,23.5077797280675,15.8038077243084,26233.4240293599,29.8546515539691,3569639.6876118,241.983389170145,0.0545144664308841,-76.3846667922459,75.9413879293939,2399797,0.000337442869164975,0.000978306904309888,23.55693,2.32496203788075e-07,0.00036524728792951,0.0425561869719231,"Leung_DFCFC1_Pin_3",180,5,2,10,0
4,50,10,10,2,6,2,4,8,8,47,2,8,1,2,3,50,10,2,1,2,2,2,10,2,2,10,0.9889226,0.0677901,5.490241,13,34,73.34338,540.1172,363.9307,1068.158,16.0012,176.6262,19.22591,320.6369,321.2382,17236000,19224180,414881200,64350180,16430150,80483310,595683600,1023632000,2909200000,0.008428027,2.537129e-05,0.0003387002,1.272546e-05,1.128622e-06,0.02185111,7.774195e-06,0.000299115,7.177628e-05,57.0557516605082,15.1820509628344,15.0911318970922,291154.944558824,37.0192530285399,1293113.92804529,160.731951180529,0.0434034912717308,-81.3835063180284,103.70455687528,1285370,0.000189275251005404,0.0010326738296747,65.22439,4.7077462519804e-07,0.00987935270461453,0.032806703520001,"Leung_DFCFC1_Pin_3",180,5,2,10,0
2,50,10,2,1,2,2,6,8,7,50,10,8,50,2,2,50,10,2,1,2,2,2,2,2,1,8,0.9440061,0.103804,3.068857,15,50,73.68965,219.2459,390.8529,1066.184,16.00238,212.2123,70.40286,177.9112,270.0853,17254430,1276525000,369854300,80762690,16774650,193894800,114545100,1477873000,5015591000,0.0084014,4.020051e-05,0.0004104692,1.639301e-05,1.227617e-06,3.435139e-05,4.152725e-06,0.0001621143,5.531577e-05,46.2431093015029,20.6940363257589,27.1869750382074,168174.486639393,35.8114156098676,1693176.69153227,203.433195911828,0.2042800254563,-58.479939767349,73.032672817376,2224426,0.000181821217032861,0.000600180525229785,40.68351,3.42009064203059e-07,0.00226479809167467,0.0593805965199821,"Leung_DFCFC1_Pin_3",180,5,2,10,0
10,50,10,2,1,3,2,4,9,6,50,10,8,50,10,6,1,2,2,1,2,2,2,8,2,2,8,0.4005026,0.06556475,3.631529,11,13,238.0422,221.5184,576.0212,1056.96,16.00024,248.2604,45.63458,309.2181,367.6671,16306020,981975300,220426600,37642920,16075630,42467930,1311317000,549083700,2905505000,0.008196529,3.68946e-05,0.0001443112,0.04345183,0.01844848,4.159595e-06,8.842862e-06,0.0001666007,5.97639e-05,73.8124222924429,21.071633823798,23.2904442183262,194730.247755554,33.2062816620344,1013263.88300906,299.51552104048,0.0389539593292104,-92.8051696875483,105.928308922309,1119959,0.00010685918029075,0.00149896008484696,59.06696,5.98452265855585e-07,0.00986147511728931,0.035178244913453,"Leung_DFCFC1_Pin_3",180,5,2,10,0
10,50,10,2,1,3,2,10,9,6,50,10,9,9,3,6,1,2,2,1,2,2,2,8,2,2,10,0.8627894,0.06556475,3.631529,17,5,437.2422,197.5718,248.5731,1047.97,16.00051,245.071,16.01109,129.1667,338.0455,16306020,654572000,266916900,57293250,16144890,69540590,593544700,1370991000,1589161000,0.004228911,2.63322e-05,0.0003502585,0.02227605,0.009445798,4.149322e-06,7.671708e-06,0.0002269241,5.690711e-05,92.5161816160532,14.793671816397,24.5715383900225,638.756376792178,40.718590023789,1435146.78287688,253.057261641214,0.0433836244819232,-3.09918400000001,114.016748253028,2383706,0.000215579682491325,0.000721418351950064,43.59128,3.55987844039366e-07,0.000359748622344525,0.0130072532308489,"Leung_DFCFC1_Pin_3",180,5,2,10,0
8,50,10,2,1,7,2,10,8,8,50,10,6,1,2,6,50,10,2,1,2,4,5,8,2,1,2,0.7162344,0.06894332,8.099029,15,8,391.7513,406.9749,648.5707,1107.602,168.0011,535.7984,260.0133,497.3652,117.5951,17363950,9538084000,268914500,42359490,16966550,37184260,1408363000,349691700,9250258000,0.004163078,5.158532e-05,0.0003741459,0.004128942,1.151678e-06,0.01409599,8.615897e-06,0.0001831049,2.610619e-05,73.9999665450707,23.7866131936258,16.789715106114,21937.0782966281,34.2841746009972,2200004.37390955,259.393636269435,0.0778492418772695,-31.6582957652393,104.901764316325,1552867,0.00020553151341436,0.00101666968940085,55.42302,1.4830001411081e-07,0.00111662633638372,0.033193708252254,"Leung_DFCFC1_Pin_3",180,5,2,10,0
10,50,10,2,1,5,2,13,10,2,1,7,5,1,2,5,50,5,2,1,2,3,1,9,2,2,5,1.014399,0.03147352,5.723498,35,58,33.98163,317.7657,485.4103,501.1775,16.00064,299.3245,16.00853,308.193,288.8888,16405150,421357100,278492000,582327600,16597720,125047300,170868600,1003568000,1600431000,0.006749512,4.474306e-05,0.0005261047,0.003908973,0.001567634,0.01905416,6.493679e-06,0.0001591503,4.285794e-05,90.5494052369114,25.1867148224021,23.9613728946438,592.935269980787,41.2166563666599,3129902.79646386,210.114147963149,0.0452812676477514,506,108.511729809275,2977632,0.00027615112160285,0.000762604145400029,47.60055,1.95286488146976e-07,0.000262543281023739,0.012140204385289,"Leung_DFCFC1_Pin_3",180,5,2,10,0
8,50,10,2,1,7,2,8,10,10,50,10,6,50,2,6,50,10,2,1,2,4,4,9,2,1,2,0.6327651,0.04221188,5.000317,14,36,393.3317,552.0041,396.4619,1179.152,210.4007,614.8845,324.8156,583.883,93.0289,19708640,10733960000,232807700,34414020,19801620,44899690,1104323000,275165200,3192111000,0.01293841,6.101356e-05,0.0003059129,0.03273751,1.102883e-06,1.523416e-05,8.196846e-06,0.0001316741,5.060385e-05,76.6999238105538,54.0936842411723,18.8962356030314,24970.949709947,34.8471963498528,3097345.8162485,279.758913944167,0.044201840435305,-62.3697661759412,104.389286781336,1081978,0.000127242039423441,0.00109132527398881,62.99213,1.73100521514477e-07,0.00176688187939263,0.032964715045517,"Leung_DFCFC1_Pin_3",180,5,2,10,0
