Element,X,Y,Factor
CAPACITOR_0,1924,179,1
CAPACITOR_1,1540,279,1
CURRENT_0,126,382,1
MOSFET_0,133,129,1
MOSFET_0,316,128,1
MOSFET_0,515,130,1
MOSFET_0,661,130,1
MOSFET_0,1291,127,1
MOSFET_0,1479,126,1
MOSFET_0,2047,117,1
MOSFET_0,991,116,2
MOSFET_10,1659,216,1
MOSFET_11,1802,221,1
MOSFET_12,2177,222,1
MOSFET_18,694,299,1
MOSFET_18,330,284,4
MOSFET_18,467,287,4
MOSFET_18,330,360,4
MOSFET_18,462,361,4
MOSFET_18,1659,394,4
MOSFET_18,1274,407,8
MOSFET_18,1425,412,8
MOSFET_18,1276,313,4
MOSFET_18,1426,315,4
MOSFET_23,1858,403,1
MOSFET_23,1997,410,1
MOSFET_25,2187,408,1
MOSFET_8,903,209,1
MOSFET_8,1048,211,1
