MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_10_1_L_gm4_PMOS,MOSFET_10_1_M_gm4_PMOS,MOSFET_10_1_W_gm4_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_23_2_L_LOAD2_NMOS,MOSFET_23_2_M_LOAD2_NMOS,MOSFET_23_2_W_LOAD2_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS12,VDS18,VDS23,VDS25,VDS8,ft0,ft10,ft11,ft12,ft18,ft23,ft25,ft8,gm0,gm10,gm11,gm12,gm18,gm23,gm25,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset12,gmid_offset18,gmid_offset23,gmid_offset25,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,22,0.963,0.5,13,0.919,0.5,11,0.999,0.5,13,0.968,0.5,1,0.974,1,8,0.953,0.5,18,0.935,0.5,22,0.941,3.85,0.5,5,100,0,0.426578336824687,0.378294376732366,0.378294376732366,0.378294376732366,0.426578336824687,0.404421287524429,0.328753787186536,0.426578336824687,1004001113.68563,463397792.947473,455945240.683252,453365872.681045,981714499.300777,315844185.077285,477105112.962171,981714499.300777,0.000145744922832793,8.53763972645358e-05,7.72089602762295e-05,8.81317148822288e-05,7.13868567637378e-05,7.9387540482589e-05,0.000114126260491381,7.13868567637378e-05,6.37799708377099,1.33110740849964,0.568250442943402,2.36006722054737,5.10447717399868,6.89494506723251,5.70453265318265,5.85396838875088,95.7830395976167,670.708038265489,1981.44938671941,48.1492200972817,76.4434425463453,769001.724861444,69.9101423257027,0.00231044128132528,441.200000000001,107.936400258882,2271835,7.07748223774945e-05,0.000213646513994975,59.91271,1.68736616623522e-06,2.01609850298684e-06,0.000425667554314002,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.963,0.5,13,1,0.5,11,0.999,0.5,13,0.98,0.5,1,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.947,3.85,0.5,5,100,1,0.426578336823812,0.378295880852449,0.378295880852449,0.378295880852449,0.426578336823812,0.404422733165456,0.328661722463896,0.426578336823812,1004008980.64892,447796924.297237,455949513.572899,452813298.601584,981714499.299844,315847903.769266,472997419.309906,981714499.299844,0.000145745969967807,9.0022411995348e-05,7.72100155282003e-05,8.9088155062548e-05,7.13868567635078e-05,7.93887345714003e-05,0.000115475758355954,7.13868567635078e-05,3.27433790803367,0.606328605807361,0.568174890856723,0.569056723189242,3.01342941024319,2.24326945056813,5.73557149106895,2.95743728377835,95.7871563991251,667.534304329284,1921.97483465943,46.7039884822241,76.4544076880845,768959.226520058,69.9166968613363,0.00235918256659571,432.800000000001,107.965923507107,2213999,7.11073852132349e-05,0.000213924778931224,61.6858,1.62242886922609e-06,2.01388818954457e-06,0.000424906174296524,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,21,0.96,0.5,13,1,0.5,11,0.883,0.5,13,0.98,0.5,24,0.99,1,8,0.989,0.5,18,0.955,0.5,25,0.955,3.85,0.5,5,100,2,0.236618155431546,0.385784572174677,0.385784572174677,0.385784572174677,0.236618155431546,0.402283591863265,0.334388880582133,0.236618155431546,100359731.116356,457170344.745441,483394463.984002,474173835.500841,98364451.7827228,308770306.854778,507758886.585956,98364451.7827228,0.000226049983139178,9.44320244573973e-05,7.41151232563527e-05,9.52697439180403e-05,0.000110864316418843,7.99998735658506e-05,0.000125873755945304,0.000110864316418843,6.29795429248952,0.278323876689202,0.082173423846271,0.195633086150581,7.56468557709665,2.38546489360916,5.6635392502099,6.25718378418893,92.0889294005816,668.153529242493,2147.81533044794,52.191912529885,76.0783560416199,790737.16573241,70.4767372967847,0.00227690656237464,430.200000000001,107.631689968024,2541867,7.30534735207642e-05,0.000221884794945582,59.27632,1.50188042481127e-06,2.10327704558033e-06,0.000492838813510699,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.956,0.5,13,1,0.5,11,0.999,0.5,13,0.98,0.5,1,0.974,1,8,0.946,0.5,6,0.955,0.5,22,0.947,3.85,0.5,5,100,3,0.426561167574021,0.377201436776883,0.377201436776883,0.377201436776883,0.426561167574021,0.403750534999532,0.397602669246472,0.426561167574021,1003839257.74541,447463677.935766,452822460.552701,449673970.15645,981588986.535366,314438659.585213,1002166071.65548,981588986.535366,0.00014571664677781,8.95606326081398e-05,7.64412930825087e-05,8.8196129091652e-05,7.13751877977837e-05,7.83644951884434e-05,9.73254314545668e-05,7.13751877977837e-05,6.07582523622689,0.649100844608611,0.623297221184393,0.624262046948891,4.81181728584255,2.25992807493915,8.13633901819041,5.95828735572781,97.079424859569,666.446054358325,1829.19430635346,44.449421644389,76.6270452021947,765049.078418041,69.8704980660651,0.00253874930096247,427.400000000001,107.503798360827,2099830,7.08613269526669e-05,0.000207666496977343,67.30618,1.65526512015423e-06,1.91675676352698e-06,0.000410745696489412,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.976,0.5,13,0.984,0.5,11,1.06,0.5,13,0.972,0.5,1,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.947,3.85,0.5,5,100,4,0.426609633163122,0.374720051746342,0.374720051746342,0.374720051746342,0.426609633163122,0.404505497807196,0.325500900052779,0.426609633163122,1004145751.40754,448771597.243355,443104764.888148,442910684.763529,981946116.738496,316060830.715869,454559749.770638,981946116.738496,0.00014577644860385,8.75122292451528e-05,7.86934727698966e-05,8.55710519923859e-05,7.14083175027816e-05,7.94571127131253e-05,0.00011004301208635,7.14083175027816e-05,6.0257977470933,0.722890798955122,0.803678898101472,1.14825856328651,4.70757436846918,2.2398617327777,5.82508705880696,5.85255098437495,99.6467311168399,634.550741440896,1955.38928615487,47.5159596535634,76.5589220727164,725403.469619536,69.926161055788,0.00203459849342359,425.700000000001,108.041102607538,2235355,7.05664480828504e-05,0.000210657431496508,60.84455,1.7051390035784e-06,1.83818638172906e-06,0.000387866537666315,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.976,0.5,13,1,0.5,11,1.07,0.5,13,0.98,0.5,1,0.974,1,8,0.953,0.5,18,0.955,0.5,20,0.947,3.85,0.5,5,100,5,0.426609633163122,0.374144104866583,0.374144104866583,0.374144104866583,0.426609633163122,0.404506479555852,0.325438687854801,0.426609633163122,1003967854.56498,445595706.256845,441055406.608062,440883964.75637,981946116.738496,316063356.765102,454201914.79779,981946116.738496,0.000145752767432508,8.81510919162484e-05,7.89197534905148e-05,8.57209270296667e-05,7.14083175027816e-05,7.94579239888648e-05,0.000109938182073255,7.14083175027816e-05,6.0723503989467,0.771234359903621,0.841641022598001,0.779221309753462,4.70757436846918,2.23982130926292,5.82682992212852,5.90965604876703,100.837986489949,651.103308171689,1896.55476205377,46.0862807179066,76.4296691712586,744479.516524415,69.9141258974179,0.00204969206062287,425.700000000001,107.86350272798,2168544,7.05810047877466e-05,0.000211364295806744,61.97257,1.68033126266471e-06,1.83190716910558e-06,0.000390508270078305,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.976,0.5,13,1,0.5,11,1.06,0.5,13,0.98,0.5,1,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.947,3.85,0.5,5,100,6,0.426609633163122,0.374713888199603,0.374713888199603,0.374713888199603,0.426609633163122,0.40449947118808,0.325882916510959,0.426609633163122,1004145556.11079,446094850.153219,443087186.266146,442524371.827673,981946116.738496,316045324.330266,456760706.65358,981946116.738496,0.000145776422606807,8.84351824326522e-05,7.86889479798503e-05,8.61803319667241e-05,7.14083175027816e-05,7.9452132660753e-05,0.000110688383381798,7.14083175027816e-05,3.27316027369805,0.747906696701321,0.803993330998022,0.750262619935022,3.01201200579828,2.24010987819044,5.81436954746581,2.89860773181147,99.6539896951603,636.781786631156,1902.18345816984,46.223058033527,76.5597403661171,728901.881324625,69.9272765092421,0.00214634812618696,421.000000000001,108.039932387048,2177363,7.06583389102261e-05,0.000210889720347042,61.31154,1.64150807422098e-06,1.83773024768408e-06,0.000387807649677108,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,21,0.97,0.5,15,1,0.5,11,0.94,0.5,13,0.98,0.5,20,0.99,1,8,0.96,0.5,18,0.97,0.5,22,0.97,3.85,0.5,5,100,7,0.246201230804165,0.3819566254585,0.3819566254585,0.3819566254585,0.246201230804165,0.403917389787382,0.330963135440039,0.246201230804165,117092028.827354,417799350.015576,469278422.069539,463278634.166823,114785917.029571,314234349.578365,484145613.553187,114785917.029571,0.000223486866502811,0.000100811403651374,7.56647275664182e-05,9.20928636115754e-05,0.000109633561700413,7.94425764703352e-05,0.000120748359034523,0.000109633561700413,6.10528149047931,0.559966668712592,0.328932708323091,0.385543728674431,7.36707250208324,2.2749235101268,10.4949255063549,6.05957070917552,95.065942447083,673.683724237474,1983.40795408386,48.1968132842378,76.0948513530588,797748.855968162,70.3732903877601,0.00222917242484288,419.700000000001,107.563744625858,2348671,7.30962538793444e-05,0.000202636050563833,60.64314,1.25274015619851e-06,1.94683857533767e-06,0.000457962511419108,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.96,0.5,13,1,0.5,11,0.883,0.5,13,0.98,0.5,23,0.99,1,8,0.989,0.5,18,0.955,0.5,25,0.955,3.85,0.5,5,100,8,0.238919029441796,0.385895437419882,0.385895437419882,0.385895437419882,0.238919029441796,0.402385019883073,0.334473690617997,0.238919029441796,104189904.586365,457349140.98377,483706996.22553,474491199.972052,102114705.481897,309030065.80147,508280753.78352,102114705.481897,0.000225770209574474,9.45049698979489e-05,7.41858159321283e-05,9.53626789929033e-05,0.000110724708383628,8.00857952693374e-05,0.000126032128677254,0.000110724708383628,6.25270536800419,0.231760441298951,0.0768071772758621,0.190154078150421,7.51809178560647,2.38129757049829,5.6610205239603,6.21058999269875,90.0716757336756,660.023775459754,2144.07050826787,52.1009133509093,75.9130954369064,782056.585767857,70.4793976989021,0.00245887879582432,417.800000000001,107.573265646958,2540491,7.31414529018711e-05,0.000220819997062565,59.00238,1.52106423279344e-06,2.28715565177895e-06,0.000529728794415874,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
0.5,22,0.978,0.5,13,1,0.5,11,0.984,0.5,13,0.98,0.5,9,0.974,1,8,0.953,0.5,18,0.955,0.5,22,0.955,3.85,0.5,5,100,9,0.289823489091968,0.379263344476573,0.379263344476573,0.379263344476573,0.289823489091968,0.404449042131435,0.329407913070409,0.289823489091968,226465783.318413,454491961.666912,459406511.103392,455584453.156216,221873486.438034,315915582.467785,477426919.282675,221873486.438034,0.000210318328248975,9.14555436015052e-05,7.68666520761783e-05,8.9879137404556e-05,0.00010314288935377,7.94104671713844e-05,0.000116789614002052,0.00010314288935377,5.08044495100829,0.539786849879402,0.505640723368122,0.520383354759502,6.31362148651366,2.24218624109989,5.71415760681663,5.00611969360594,94.5578279211797,653.38465926459,1993.66197888371,48.4459860868741,76.0970124420159,762076.623267182,70.1215373476652,0.00232046409892075,416.600000000001,107.602092727784,2325312,7.19970482950914e-05,0.000199985861646022,60.9168,1.58674025085222e-06,2.05457339025744e-06,0.000456446134579624,Leung_DFCFC2_Pin_3,180,1.8,0.4,100,2
