Element,X,Y,Factor
CAPACITOR_0,2116,250,1
CAPACITOR_1,2110,315,1
CURRENT_0,122,389,1
MOSFET_0,152,147,1
MOSFET_0,361,150,1
MOSFET_0,567,144,1
MOSFET_0,781,145,1
MOSFET_0,1078,120,4
MOSFET_0,1425,144,1
MOSFET_0,1634,147,1
MOSFET_0,2043,147,4
MOSFET_10,1833,238,1
MOSFET_11,2280,227,1
MOSFET_17,784,329,1
MOSFET_17,378,314,4
MOSFET_17,498,317,4
MOSFET_17,379,419,4
MOSFET_17,498,427,4
MOSFET_17,1433,317,4
MOSFET_17,1550,311,4
MOSFET_17,1433,416,8
MOSFET_17,1550,417,8
MOSFET_21,1832,466,1
MOSFET_21,2002,469,1
MOSFET_23,2202,470,1
MOSFET_8,1003,229,1
MOSFET_8,1140,229,1
