MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,28,0.98,0.5,1000,1,0.5,21,1,0.5,90,0.99,0.5,203,1,1.5,9,0.97,2,5,0.86,7.14,11.3,1,10,52,0.240876137769205,0.229260455567777,0.229260455567777,0.240876137769205,0.374948463275912,0.442377229363211,0.240876137769205,22901950.1099479,82259536.7027059,80454057.6192411,20702849.7867902,67146439.6727848,1444675076.10821,20702849.7867902,4.90804553324299e-05,2.45737677785272e-05,0.000877633395228955,2.25050492602591e-05,1.76548407414506e-05,0.000564651376636727,2.25050492602591e-05,10.348097549004,13.6940336477385,12.242904902557,10.7429813792918,7.37854178377717,1.93904191052849,10.0443090846751,77.3232842467653,90.3751859699384,569.75377113038,13.8450166384682,87.712129848213,83881.4175356402,147.021580048645,0.00285183371210994,-46.647315,128.92481028829,528815,5.72929972359903e-05,4.47699769570293e-05,47.78302,4.22295906962363e-06,5.38454521520043e-06,0.000186226570604908,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,39,0.99,0.5,914,1,1.5,54,0.99,0.5,39,0.99,0.5,39,0.99,0.5,32,0.97,1,7,0.92,7.14,11.3,1,10,57,0.144850236051847,0.21045883403981,0.21045883403981,0.144850236051847,0.310884516447418,0.401127114553422,0.144850236051847,21076947.8567539,59353843.7357595,57682137.1700793,18930721.8849498,123270336.292681,144821066.337031,18930721.8849498,5.67562877420285e-05,2.45271882254361e-05,0.000566237319691171,2.55884439575996e-05,2.03036966095859e-05,0.000374809282180689,2.55884439575996e-05,12.8239139580476,12.7224999683727,12.7558184633997,13.4749370750144,9.95645647949816,6.64152605065599,12.7762647803977,96.262115834288,203.828918727213,772.830153176482,18.7797727221885,96.1152751496224,135498.822570793,144.748834192197,0.00204488048283045,-48.1385223,126.855651248383,513752.3,4.10350253647901e-05,4.598274723377e-05,47.02904,4.06275732558305e-06,4.79011562182496e-07,7.18774439191772e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,39,0.99,0.5,1520,1,1.5,65,1,0.5,39,0.99,0.5,71,0.99,0.5,32,0.97,1,7,0.92,7.14,11.3,1,10,62,0.145381231869811,0.210701998936912,0.210701998936912,0.145381231869811,0.311174162668414,0.426134048562224,0.145381231869811,21289143.3102367,59614207.0786175,57938808.1839509,19127978.6338065,123703600.535067,174643875.793362,19127978.6338065,5.73394482411861e-05,2.46389078040603e-05,0.000946005529947684,2.5859839386498e-05,2.03930612069128e-05,0.000579240365421365,2.5859839386498e-05,12.817963831007,12.7162353888198,12.7495757219101,13.4686141951211,9.94872803704835,1.98810441409589,12.7699419005044,88.3556409334089,130.533437179539,521.544415710705,12.6735293017701,92.6224673494878,127036.71149326,146.284842003538,0.00176974614288743,-48.7502433,126.181651806067,507573.3,6.00748167200481e-05,4.38041142975426e-05,55.63004,3.52983871913352e-06,9.4030654405497e-07,0.000126864048067887,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,39,0.99,0.5,1180,1,1.5,138,1,0.5,39,0.99,0.5,71,0.99,0.5,32,0.97,1,7,0.92,7.14,11.3,1,7,25,0.145381231869811,0.211519625553962,0.211519625553962,0.145381231869811,0.312148406092856,0.354236984450307,0.145381231869811,21289049.1623284,60496701.18998,58806276.3924879,19127978.6338066,125168987.875242,94727657.97057,19127978.6338066,5.73392180559198e-05,2.50179133272894e-05,0.000745806665138994,2.5859839386498e-05,2.06960044817483e-05,0.000560876300913453,2.5859839386498e-05,12.8179627790752,12.6950980437581,15,13.4686141951211,9.92260608368552,4.78735929194498,12.7699419005044,87.9999819031042,162.206112709754,620.0123031763,15.0662989671841,92.4714848682697,131674.164071038,146.077907296073,0.000854376448676484,-49.1725278,127.334458222859,503307.8,5.01093003427307e-05,4.51203486412509e-05,51.09687,3.97178064186574e-06,9.50475923651717e-07,0.000128373058907727,"Leung_NMCF_Pin_3",180,1.8,0.4,100,0
0.5,39,0.99,0.5,1000,1,1,142,1,0.5,39,0.99,0.5,71,1,0.5,32,0.97,1,7,0.92,7.14,11.3,1,7,37,0.145391743748415,0.21191464619827,0.21191464619827,0.145391743748415,0.312619275459609,0.321681231642892,0.145391743748415,21293219.3212259,60926966.4162335,59229286.9131981,19131898.6795365,125881703.087793,140131701.931487,19131898.6795365,5.73506965513145e-05,2.52028880236305e-05,0.00063675844871503,2.58652341847786e-05,2.08437313824737e-05,0.000519957858595057,2.58652341847786e-05,12.8178442000463,12.6848454561649,12.7183378593485,13.4684886927434,9.90991057196731,9.72719247290528,12.7698163981267,87.6313602034768,186.342702177468,692.282713775087,16.8224699447346,92.422776236436,134791.074099839,145.556157547525,0.00107672652412459,-49.424463,126.696736865808,500763,4.465126122785e-05,4.62896958861387e-05,47.72548,4.25325724204195e-06,9.63280460122562e-07,0.000129381508554294,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
0.5,30,1,0.5,1340,1,1,666,1,0.5,63,1,0.5,139,1,0.5,51,1,1.5,4,0.86,7.14,11.3,2,11,27,0.155720432268997,0.262256572248845,0.262256572248845,0.155720432268997,0.425045520690816,0.305014260763041,0.155720432268997,25569451.5914864,137969410.726412,136680283.022414,23016516.5719507,174998250.886596,114788389.445333,23016516.5719507,0.000113564070205077,4.71357258779737e-05,0.00208897112660032,5.13165589017401e-05,3.09118864189961e-05,0.00189728359230303,5.13165589017402e-05,12.6955719456641,11.158724202837,11.1712241094523,13.3380321035065,5.47085831976678,10.1660724280759,12.6393598088898,77.2797385220316,122.674702008883,413.737408864991,10.0538190354193,87.616873916305,274662.058083905,149.13074800322,0.00149100528119772,-7.2927558,128.108140744756,926335.8,0.000138206555648637,4.51915086506065e-05,50.65875,2.16991884522023e-06,1.42252874569954e-06,0.000231620804716726,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
0.5,61,1,0.5,2300,1,1,164,1,0.5,63,1,0.5,139,1,0.5,51,1,1.5,5,0.88,7.14,11.3,2,10,22,0.155720432238132,0.224250164521491,0.224250164521491,0.155720432238132,0.404792899928825,0.382235276775546,0.155720432238132,25574498.7522087,74718191.5549443,73771681.0218925,23016516.5582518,150271163.26658,262324417.573388,23016516.5582518,0.000113584412914591,4.93848089491597e-05,0.00184209168676767,5.13165588704862e-05,3.25338074154448e-05,0.00133674985548055,5.13165588704862e-05,12.6956269539271,12.3753321367697,12.3859056820448,13.3380321038962,6.32745103059394,7.65760786111753,12.6393598092795,83.7860502304618,142.926515563729,461.449412837391,11.2132207319486,91.4163668734544,275644.473357803,149.118610508548,0.00102354567372084,-10.8959697,127.551664594214,889939.7,0.000119047825946794,4.54575903679662e-05,48.36946,2.30208071547588e-06,1.08011251498868e-06,0.00015493865878502,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
0.5,62,0.99,0.5,2130,1,1,287,1,0.5,64,0.99,0.5,140,1,0.5,51,1,1.5,5,0.86,7.14,11.3,2,11,38,0.155726449912667,0.224179899976262,0.224179899976262,0.155726449912667,0.40667404643021,0.340080741663831,0.155726449912667,25577578.4563916,74824611.0308583,73681277.3317599,23019178.7714184,152946852.08025,172385018.462628,23019178.7714184,0.00011359833446559,4.97753421237317e-05,0.00170373824983387,5.13226335447951e-05,3.25318985870796e-05,0.00136686399023657,5.13226335447951e-05,12.6955580730477,12.3617439199849,12.3878771251904,13.3379559259777,6.21562122316456,9.22382158868085,12.639283631361,83.7155410102366,154.633105244836,490.555966557282,11.920509987342,91.3466812370269,280294.4774439,149.260209031074,0.0011883152293559,-10.9689624,127.970680497491,889202.4,0.000111891487983008,4.60717794417133e-05,46.73728,2.293417817184e-06,1.08836175169796e-06,0.000155230730675693,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
0.5,60,1,0.5,2220,1,1,207,1,0.5,62,1,0.5,137,1,0.5,50,1,1.5,4,0.85,7.14,11.3,2,11,40,0.156676206054836,0.22542754022853,0.22542754022853,0.156676206054836,0.424710043616795,0.365531322437341,0.156676206054836,26046298.780574,76063838.9044537,75300065.8339882,23444074.1057977,174805993.712342,224193039.38472,23444074.1057977,0.000113459523732829,4.95230551661545e-05,0.00181681374666088,5.12671866532758e-05,3.05166106392296e-05,0.00137927667498582,5.12671866532758e-05,12.6844237097521,12.344235992406,12.3527323509389,13.3259190504473,5.46661252169067,8.29517148690883,12.6272467558306,83.6398657798345,136.100676049413,465.1671227353,11.3035610824678,91.3569184626769,259869.342262627,149.075014673821,0.00105660138795082,-11.0696157,127.776702545311,888185.7,0.000117863613093259,4.55242165326584e-05,48.24131,2.29395766937706e-06,1.07908266774759e-06,0.000156046637663276,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
0.5,61,0.99,0.5,2260,1,1,256,1,0.5,63,1,0.5,57,0.99,0.5,51,1,1.5,4,0.88,7.14,11.3,2,10,60,0.154881054612088,0.224195506866183,0.224195506866183,0.154881054612088,0.42158552053855,0.351165079869896,0.154881054612088,25178369.1937686,74697285.150545,73699902.5520933,22648249.511902,170344331.881119,193958969.483853,22648249.511902,0.000111779621225508,4.8904402604617e-05,0.0018082104291062,5.04765712520975e-05,3.05488447381273e-05,0.00141711787127634,5.04765712520975e-05,12.7055382141571,12.3629568641407,12.3874554281686,13.348633928838,5.64519096539883,8.85631266068402,12.6499616342213,95.8305816487294,140.779658445995,407.067887058743,9.89174965552745,96.1722980491765,266485.791432143,148.240126146735,0.000643356241338502,-22.7155203,128.237245799511,770550.3,0.000116847422372253,4.37943289208977e-05,50.72603,2.36107992014377e-06,4.46242711271694e-07,7.05942982904273e-05,"Leung_NMCF_Pin_3",180,1.8,0.4,100,1
