MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,1,3,6,45,10,2,19,7,2,46,10,6,50,10,10,31,9,4,50,10,1.947064,0.3935915,4.703653,17,41,112.0465,189.7299,739.1615,16.0004,170.8549,20.13406,535.5726,8700314,672571500,45902870,8083302,141028500,1889091000,32060630,0.005421909,6.944427e-05,0.001365151,0.00600798,0.009082855,0.0004236028,0.0002858368,62.9839028919031,1.964256996076,4.48136244165651,167551.140162729,43.5822760397244,493387.061155822,234.288228128304,0.058542683962251,318.5,101.384556193995,1125640,0.00111636684369479,0.000375006312139395,47.43436,1.45304326318437e-06,0.00897077812614378,0.014664054821329,"Leung_NMCF_Pin_3",180,5,2,20,0
4,2,6,4,50,10,2,9,9,2,4,8,6,50,10,10,1,4,2,1,10,1.11359,0.1860264,4.230113,18,54,16.74882,287.8095,631.1179,19.20058,265.1278,264.4351,424.4747,8647845,371833000,47728980,8130913,553693900,627684200,893484400,0.002693155,0.0001064303,0.001186378,1.098201e-06,2.984606e-05,0.0002713516,8.70272e-05,76.2616639739834,5.02597521950718,5.64053177239556,25768.5037727937,41.9832882757387,915684.667459677,167.550834851993,0.0798726113750761,391,103.311538191634,1027651,0.000809735316115063,0.000508097367896811,53.34239,6.89988758577773e-07,0.00149231488371043,0.0186202125025701,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,8,4,50,10,2,3,10,10,22,10,4,50,10,10,50,10,7,2,10,1.11359,0.05909742,4.217807,15,60,277.2021,185.9152,577.3446,74.40054,405.3103,53.70951,866.9318,8997583,619295400,67252290,8103281,108420600,1921659000,9534881,0.001653358,9.35929e-05,0.00160124,0.00638864,0.005438887,0.0005660473,0.0001378134,53.4788976470455,4.73220819474247,6.64505477817498,572467.045699333,39.463371846059,626334.815965087,242.967192436304,0.151359273206517,-11.928411,103.067340253947,879511,0.000588247638020426,0.000599971557683272,55.72051,1.15204481420571e-06,0.00979790614788434,0.0293834239279169,"Leung_NMCF_Pin_3",180,5,2,20,0
6,1,10,6,32,10,2,3,10,2,50,6,10,7,10,10,1,9,5,50,2,1.947064,0.07342978,4.914246,28,56,247.3646,512.6321,839.6751,16.00025,149.5949,280.3891,517.8686,9022241,34644580,861465100,8056651,628001500,690863700,16723900,9.156056e-06,5.821393e-05,0.001066638,0.0002384195,0.002974476,0.0003717922,0.0002161394,84.6717281846439,3.92287060317563,7.24539138679317,358.476380693548,42.2712571979428,645678.284026207,112.562505864164,0.0346871463408225,512.5,125.408878392601,1192543,0.000731525852526372,0.000610651703119057,68.94942,1.008970437432e-06,7.43607145937053e-05,0.00949761365429902,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,8,4,50,10,2,3,8,3,22,10,8,50,10,10,50,10,6,50,10,1.11359,0.05909742,4.217807,15,37,255.5055,190.7395,441.8841,40.0003,423.8284,73.95115,630.5331,8452345,659136000,60584000,8062936,33929480,1420840000,15591160,0.01277319,8.737047e-05,0.001444634,0.02585422,0.01779304,0.0004250629,0.0001738724,70.3426997607359,4.42163658509863,9.15663631707544,54442.5861678758,44.2276401225553,574752.046701243,278.67733420639,0.0600691476858288,-3.840298,115.793611295899,1190237,0.000577716755262788,0.000499591999617186,43.25441,8.12453089849067e-07,0.00833031573939644,0.012823847876323,"Leung_NMCF_Pin_3",180,5,2,20,0
2,2,2,7,28,8,3,1,10,2,49,10,6,5,10,10,1,9,6,19,10,2.125963,0.3935915,4.521407,27,29,123.363,164.1667,710.5339,16.00028,147.0644,83.4938,489.0026,16245450,495506700,289884700,8061041,83361200,1364406000,45695780,0.002574452,5.806598e-05,0.0008085372,0.0008188787,5.283298e-05,0.0003975499,0.0001725576,78.7434735273725,4.9203540325592,12.2569719608041,173.100942517413,45.5716695528492,504638.316158156,107.79515225881,0.0375151398422447,562.5,127.575288650737,1257092,0.000455828370450888,0.000423883259424737,64.09657,1.29732211085727e-06,9.99891571492695e-05,0.00842159914723295,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,10,2,15,10,6,2,7,6,18,6,4,50,10,10,1,4,6,1,10,1.11359,0.01237179,3.734038,16,37,25.95065,253.2962,278.281,68.80076,246.8028,239.7755,723.8118,9220143,545992600,926040600,8164260,169123200,597427000,13836270,1.617074e-05,8.764401e-05,0.001161001,1.121932e-06,3.450188e-05,0.0001745948,0.0001433667,57.169374120621,10.5629427513757,13.3122306697832,77184.3318912608,43.5877356028105,772597.158472469,139.018604471884,0.131135436500418,-2.6050662,86.4574050667429,973686.2,0.000325076565270537,0.000349323014730498,58.43798,9.18980532209545e-07,0.00593980158641244,0.0209639797746159,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,8,6,50,10,2,2,9,6,24,10,6,50,10,10,50,10,4,50,10,1.11359,0.04587722,3.747559,10,19,382.2502,154.7194,964.0567,154.4004,236.0838,137.013,570.0222,8591307,793579300,27174320,8073066,146901500,749721400,10228500,0.01211066,9.132628e-05,0.001240972,0.01247707,0.01001119,0.0002542747,0.000118309,62.5682961257952,6.77303152895202,12.3413386342713,157580.100489425,42.2087111746383,549420.969076157,264.942748160013,0.0567405498456491,-88.85744175,113.537291979692,1001116,0.000360528511233674,0.000868492909992748,27.81267,8.01950262904799e-07,0.00986175281763293,0.01836256992237,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,6,8,50,10,4,20,10,2,50,10,6,50,10,10,1,4,10,50,10,2.428553,0.04587722,3.424157,10,21,306.185,208.5546,521.9589,175.2005,236.5088,103.321,750.1548,8551523,680733500,41344400,8119744,16221050,157291400,14524940,0.0265897,8.438369e-05,0.001305441,1.090301e-06,0.006998698,0.0002406722,0.000159037,63.7053551400251,5.76712653516241,11.9086032356729,12987.915746162,49.5163111715559,442277.988506644,209.252609325619,0.0387505763893851,-128.60980165,125.457821446004,913264.7,0.000340842174509885,0.000534500857123967,7.725224,1.30147724367725e-06,0.00487763567826866,0.00875045489288806,"Leung_NMCF_Pin_3",180,5,2,20,0
2,1,9,2,15,10,4,1,7,8,29,9,3,50,10,10,1,4,6,1,2,1.11359,0.01237179,3.734038,15,25,25.82057,205.8736,139.6425,111.201,318.8503,186.3835,826.6709,9431737,556398900,1240328000,8211643,191364300,322850700,10912620,0.001734053,0.0001148192,0.001389872,1.155604e-06,2.602899e-05,0.0001947368,0.0001275657,51.7660910319976,9.15516375651279,17.4422540128933,105039.692151238,45.2998933785135,785066.166879094,134.358372978054,0.148072859689005,264.5,87.911769352112,1495694,0.000381116390345825,0.000331779788146934,53.75855,1.05139921975443e-06,0.00813519693165221,0.02122942980725,"Leung_NMCF_Pin_3",180,5,2,20,0
