MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.76,1,0.6524802,0.36,3,0.75,0.76,3,0.88,0.32,1,0.4531826,0.36,30,1,0.85,30,1,0.85,30,1,3.15301,0.09721239,3.271019,0,46,121.4006,27.09307,55.22488,411.7782,842.0567,41.9311,118.2818,113418400,1676525000,7969951000,27293180,68054140,1952158000,5517019000,0.08298669,0.0001037347,0.000244046,0.06043729,0.05107982,0.0002424562,4.10815e-05,12.8665210935165,0.139790470297497,152.627009813506,2431282.4785741,8.36919849265486,1000,62.1208040978159,0.5,1.86357013095955,27.3784503358391,1091827,0.000176631196476727,0.000549583775172056,76.8999,1e-06,4.6595884337933e-05,0.0195268049693306,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.8,4,0.85,0.2,8,0.94,0.52,3,0.7961124,0.24,2,0.74,0.85,30,1,0.85,30,1,0.85,30,1,2.805582,0.09004613,2.355173,12,13,612.934,162.5524,65.68649,353.3719,511.4208,34.40035,89.80601,74027870,1373802000,10553870000,32671410,148383100,7186364000,8326200000,0.02531402,4.257927e-05,0.000900555,0.06022437,0.0696332,0.0003437697,4.501391e-05,48.8409100137297,12.5136530441994,391.34691128299,0.5662192575507,50.1214749797481,95991.9716925132,59.9417664814276,0.110929454276762,548.5,87.0549154277579,3002014,0.000189406892790156,0.000293838728515258,71.51673,2.3310887609612e-07,7.559123970384e-06,0.000423620020271798,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.68,1,0.7017403,0.36,13,0.95,0.28,2,0.8655044,0.32,3,1,0.85,30,1,0.72,30,1,0.8,30,1,2.69862,0.01903455,1,12,23,846.4922,113.6189,130.0256,153.3469,221.5314,30.46829,163.7575,78593380,2010533000,3465787000,18365930,164480500,12147920000,2241010000,0.02618208,3.825077e-05,0.0008085461,0.03627641,0.04366175,0.0005222059,5.983007e-05,63.3265670552601,26.1348583757907,226.067097325733,1.81251322544039,49.6332489148765,192508.876750916,58.0521633603607,0.088459450261158,524,90.2567019561572,1665206,0.000181876080231265,0.000394382708212384,73.75736,5.21748516710111e-07,1.61279126897179e-05,0.000650848284419081,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.85,1,0.65,0.2902949,9,0.98,0.1673713,3,0.7573035,0.1733947,5,0.9331005,0.85,30,1,0.6572072,30,1,0.85,30,1,2.414303,0.0113814,1,18,62,325.5307,284.3481,120.386,145.3141,222.0779,27.82401,103.5826,53809910,1469421000,7031353000,12163890,117851200,14778320000,2213813000,0.02095281,4.016642e-05,0.0008885012,0.07402049,0.02806883,0.0006498238,6.141646e-05,80.1155404135988,34.422411858896,204.627197937106,1.49875396119717,50.1055848708404,353765.735504158,55.1334283719464,0.0902160307617744,461,102.33713561983,2102993,0.000253757826964818,0.000566878231624216,73.06262,4.22912025672053e-07,1.56940743939346e-05,0.000649885180995069,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.76,4,0.9,0.36,4,0.81,0.56,2,0.99,0.24,1,0.621211,0.85,30,1,0.48,30,1,0.72,1,0.1,3.310921,0.1144472,3.232032,10,53,334.4946,61.61896,61.32844,97.35097,329.7733,34.29648,118.9805,112452300,1194011000,7206657000,53971910,2009652000,3719487000,8083560000,0.04913877,0.0001062375,0.0003485782,0.02528764,9.039661e-06,0.0002751218,5.508277e-05,27.2128405025986,100.275844492897,227.168684533805,1129.76117713311,26.0221461392532,732684.882930928,63.5647650123872,0.170953746698607,-32.1535981817517,48.7841582989384,1659852,0.000180412190545133,0.00108070985325788,54.61326,2.61659446762409e-07,1.23470276790566e-05,0.00288626043764978,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.72,1,0.9878182,0.85,14,0.98,0.85,4,0.76,0.28,2,0.53,0.85,11,0.93,0.85,30,1,0.85,30,1,3.152263,0.1265263,3.551584,10,12,473.2493,45.95996,115.6438,241.3838,189.6991,42.87191,115.6675,146261000,1651220000,638074800,33640400,138242900,1629683000,3836861000,2.644821e-05,0.000135458,0.0003475934,0.03047443,0.003437201,0.0003008251,2.463168e-05,35.8318716404573,90.7275356257803,266.22163171084,8.00134797933974,36.6631124833562,775771.906604211,62.331503886911,0.140022337427787,491.5,69.568155087053,2276346,0.000211125120497808,0.000294084452775452,66.81739,2.49727229166093e-07,6.58009127193715e-06,0.000987226979842604,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.8,2,0.76,0.3600214,7,0.8521577,0.44,2,0.91,0.04,2,0.1,0.85,30,1,0.85,30,1,0.85,30,1,2.69862,0.2983124,5.63864,13,56,215.384,57.27328,103.3271,381.3494,406.545,21.81425,119.9163,77620830,1804302000,3973288000,44539630,237731900,8971124000,38717330000,0.01901115,8.115427e-05,0.000623841,0.03632726,0.02050465,0.0003657327,7.037302e-05,35.0650565938233,93.7191799296859,274.319633089982,24.6070108530113,35.8123809530749,1195861.34184581,60.8386369723815,0.124573844335399,339,61.7306133406476,3500332,0.000315062941881866,0.000448487214861872,59.15404,1.90547447517016e-07,6.92954974324728e-06,0.00113015426265761,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.76,2,0.52,0.24,4,0.88,0.44,2,0.99,0.44,5,0.9,0.85,30,1,0.85,30,1,0.85,30,1,2.69862,0.0113814,2.191874,10,6,423.1323,87.73115,83.19588,238.1698,456.5331,29.93318,208.7942,30315790,1448032000,10144360000,33181410,187179600,9840021000,1228499000,0.07698777,4.439448e-05,0.0004393231,0.05281321,0.03585947,0.0003670602,6.869288e-05,49.2934845398797,87.3577925308937,446.546857377531,1.40236299020848,50.881855996724,643975.543171275,58.2336494185278,0.110939867295993,545.5,82.7909703893702,3291810,0.000182017313337718,0.000456285405797009,61.78533,2.53976997213359e-07,9.14781818542765e-06,0.000577619551139108,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.76,2,0.68,0.36,11,0.98,0.32,6,0.86,0.32,3,0.75,0.85,30,1,0.85,30,1,0.85,30,1,2.341449,0.04538699,1.381824,10,24,547.0189,127.6883,40.72453,378.9276,226.3262,43.25606,131.2355,54403310,1402488000,8891179000,24309550,305876200,8010677000,2197436000,0.03710599,4.956387e-05,0.0012399,0.01722734,0.0564745,0.0008202352,3.899841e-05,53.955979787892,89.9162417381763,402.432175467812,0.831261484976557,52.0416862487228,533234.86199426,55.1431772126888,0.0496770191045468,-1.58703599999999,111.237344390179,2386564,0.000146428416426541,0.000492757052750775,76.2023,2.6620565096194e-07,1.2403036140915e-05,0.000559991042400287,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.72,1,0.6418644,0.44,4,0.97,0.28,1,0.79,0.32,3,0.85,0.85,30,1,0.85,30,1,0.8,30,1,2.69862,0.02223054,1,13,14,404.7294,159.3281,122.6223,190.9242,257.7585,34.80031,124.0255,84250030,1469971000,2305884000,22593010,39907470,10756410000,2344260000,0.05964153,3.659821e-05,0.0003324351,0.07060076,0.02868187,0.0002267272,5.697254e-05,59.9586668079046,54.9367807105796,678.059908397007,0.716437331746316,48.8714410887327,141739.360201686,58.2883245635693,0.10312245850644,568,104.901963515857,1749425,6.37048120341816e-05,0.000485018131917503,74.94085,4.83243838250429e-07,1.70418126330713e-05,0.000680176032594015,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.64,7,1,0.24,9,0.9,0.85,5,0.94,0.36,1,0.8332421,0.85,30,1,0.85,30,1,0.52,1,0.1,2.025333,0.07187397,4.398051,14,16,567.8723,16.04029,91.39888,417.389,431.0265,42.58239,208.571,137745200,1093235000,10687170000,70373120,5028268000,2794452000,4329857000,0.01980574,0.0001086806,0.001338129,0.004480899,3.099813e-05,0.0006449919,2.514961e-05,31.3528984951752,167.750778482956,221.358604560209,83.6581536551275,33.1890951972598,1847460.30603676,51.7443844744722,0.0452369087858163,617,63.9620298896259,2437850,0.000271929014370531,0.000677929261697108,63.04267,9.88181104889879e-08,7.51376544982196e-06,0.00167095551813551,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.72,1,0.7271975,0.72,7,0.87,0.28,2,0.72,0.4,2,0.64,0.85,30,1,0.72,30,1,0.85,30,1,2.684634,0.0995906,2.933215,10,45,503.8819,26.65005,77.0322,190.1694,283.6184,43.87811,134.279,54276080,1560340000,1687439000,34160230,133899600,11774910000,1763336000,0.07220801,0.0001000697,0.0002760445,0.0912929,0.05592322,0.0002960778,2.18721e-05,23.3105177420841,166.833691428958,425.512533478358,4576.59054589438,11.5526359102051,987674.195250506,58.6903413825478,0.0780422000906857,-24.9580513455387,58.9637782754311,2519082,0.000146175613317672,0.000625382581629149,76.5998,1.33105728363046e-07,1.23364757931321e-05,0.00649602977954961,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.6848221,13,0.4710759,0.36,16,0.9235263,0.04,6,0.968331,0.2797699,3,0.7205027,0.85,30,1,0.7719847,30,1,0.85,1,0.4502604,2.450801,0.036992,2.426789,20,16,487.849,172.9782,99.52795,195.7313,357.1908,21.8251,142.613,102223700,512484300,8622237000,26342470,998651300,20730710000,2237371000,0.02079457,9.238159e-05,0.001616698,0.008017303,0.01997175,0.000990224,7.819458e-05,52.1762149222727,220.682891285191,791.86965650912,0.299221617170696,51.4700350275952,955320.980264721,55.5611735733708,0.0370982099198168,618,80.9409000148563,3427949,0.000106887181941676,0.000424642760382888,72.76735,1.91197240907122e-07,7.1201612941546e-06,0.000323982145073676,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.44,2,0.7,0.44,11,0.94,0.28,2,0.86,0.32,3,1,0.85,30,1,0.72,30,1,0.85,30,1,2.69862,0.02223054,1,11,38,404.7315,135.9534,136.9875,190.9193,77.37753,45.16756,124.5724,84251420,1619991000,349373400,11861500,231944900,9604999000,2318417000,0.0398177,4.283836e-05,0.000321336,0.04533376,0.02868233,0.0002886972,5.721918e-05,67.8372273448304,128.218738191012,730.042540747909,0.131798615384013,52.3617858271894,242381.467707595,58.1100115131635,0.0911086889192615,-2.5295952,109.142748089511,1380054,4.66759202450012e-05,0.000366687664131632,76.91636,3.5673888557389e-07,1.26585839668886e-05,0.000429634759653297,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
0.72,1,0.7271975,0.72,7,0.87,0.28,2,0.72,0.28,3,0.71,0.85,30,1,0.85,30,1,0.85,30,1,2.69862,0.02223054,2.191874,10,54,503.1323,37.47165,87.83172,370.9697,282.2157,46.91492,118.1325,50509670,1678460000,1649026000,25364470,125042800,11543860000,3008479000,0.06386647,3.441586e-05,0.0001975992,0.08851017,0.0559104,0.0002165236,5.965984e-05,45.041933685772,160.216841376504,784.585420644165,4.90064824599098,34.8065459187158,710209.775482177,58.3353290918976,0.0502292085647876,-32.609993625,99.3690334686735,3477913,0.000109451938313133,0.000813310006901772,74.03061,2.0440925746157e-07,1.028620294344e-05,0.000968938601511204,"Leung_NMCF_Pin_3",22,0.9,0.3,20,0
