Element,X,Y,Factor
CAPACITOR_0,1935,233,1
CAPACITOR_1,2117,375,1
CURRENT_0,170,448,1
MOSFET_0,202,158,1
MOSFET_0,395,163,1
MOSFET_0,602,161,1
MOSFET_0,808,163,1
MOSFET_0,1439,160,1
MOSFET_0,1641,161,1
MOSFET_0,2065,154,2
MOSFET_0,1111,164,2
MOSFET_0,2269,249,16
MOSFET_10,1806,275,1
MOSFET_17,765,378,1
MOSFET_17,403,337,4
MOSFET_17,412,481,4
MOSFET_17,605,484,4
MOSFET_17,604,366,4
MOSFET_17,1451,369,4
MOSFET_17,1604,369,4
MOSFET_17,1451,494,8
MOSFET_17,1603,497,8
MOSFET_21,1854,496,1
MOSFET_21,2026,498,1
MOSFET_23,2233,495,1
MOSFET_8,1014,253,1
MOSFET_8,1173,256,1
RESISTOR_0,2137,286,1
