RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.43,0.85,30,1,0.85,30,1,0.85,3,0.84,0.85,26,0.97,0.85,1,0.324,0.85,1,0.334,8,2,11,0,18,0.0962,0.0627,0.13,0.746,0.301,0.13,827000000,191000000,1080000000,3230000000,1080000000,1080000000,0.000178,0.000256,0.00011,7.24e-05,0.00169,0.00011,4,0,15,10,-3,11,34.7967111776256,10.7289766557935,35.0485206490408,4.25839525885845,33.9640830044498,195310.483928391,105.481873324283,0.0368017052259588,1.94271192244488,114.966236142779,638023.9,0.000224740962692259,0.000269667761400517,89.71534,8.57644266523649e-07,8.2569194869031e-06,0.000583608731120733,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.44,7,0.91,0.85,30,1,0.85,4,0.76,0.85,30,1,0.85,19,0.99,0.85,7,0.87,8,2,6,0,38,0.0335,0.328,0.0406,0.482,0.3,0.0406,102000000,1190000000,116000000,534000000,783000000,116000000,0.000337,0.000151,0.000186,0.000132,0.00111,0.000186,-6,15,3,10,-15,5,64.5350400878771,22.0648537939932,72.6987472334061,8.83289778885884,64.4370616332552,224473.844507384,106.09850752956,0.0378816364034302,1.91097471384072,126.97306330988,739591,0.000125597117335525,0.000187618293177421,85.96667,7.78991984618185e-07,2.36060520490466e-06,0.00022638104679451,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,30,0.98,0.85,30,1,0.85,2,0.86,0.85,10,0.94,0.85,13,0.95,0.85,10,0.95,8,2,11,0,48,0.034,0.319,0.0474,0.491,0.303,0.0474,145000000,253000000,187000000,583000000,1080000000,187000000,0.000489,0.000281,0.000295,0.000232,0.00169,0.000295,-11,-14,-4,5,3,-6,27.3487284993832,7.83342183916258,23.5335319566154,2.85932413272877,27.1604495817785,142730.986608623,105.376071762047,0.413533469778728,1.5313451796742,120.503012303922,428799.1,0.000224947791905694,0.000347498638856618,90.86046,0.413533469778728,6.94078966173017e-06,0.0026296083012719,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,11,0.92,0.85,28,0.98,0.85,1,0.429,0.85,30,0.99,0.85,11,0.99,0.85,2,0.51,8,2,5,0,57,0.0295,0.249,0.0427,0.56,0.298,0.0427,106000000,289000000,138000000,1250000000,745000000,138000000,0.00024,0.000118,0.000147,7e-05,0.000947,0.000147,-10,10,-9,13,11,12,31.6140394121731,4.01229701312826,13.2631325042532,1.61147059926677,31.3534441500665,32983.4866890156,105.821995823175,0.39757100099916,1.22941129286054,111.01446691805,109030.9,0.000101488882313097,0.00047433210380014,88.47089,0.39757100099916,7.3122144688223e-06,0.00208799987901437,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,2,0.83,0.85,12,0.99,0.85,4,0.92,0.85,30,0.97,0.85,4,0.96,0.85,3,0.95,8,2,6,0,16,0.0453,0.289,0.053,0.521,0.298,0.053,216000000,730000000,244000000,798000000,1280000000,244000000,0.000267,6.75e-05,0.000145,0.000108,0.000829,0.000145,3,14,13,-15,-14,-5,33.4075277373362,26.0734127674648,92.2409622784969,11.2072769168374,32.9594771209298,263861.484794187,105.548510174232,0.0299577481156612,1.16625644625214,123.665886848691,933473.4,0.000124937583892157,0.000202260506867814,73.92424,7.15711904910065e-07,4.12308576794057e-06,0.00125406908873937,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,30,0.99,0.85,30,1,0.85,7,0.93,0.85,4,0.87,0.85,8,0.93,0.85,12,0.95,8,2,15,0,36,0.044,0.313,0.0562,0.497,0.302,0.0562,226000000,291000000,275000000,621000000,1270000000,275000000,0.000599,0.00035,0.000345,0.000305,0.00208,0.000345,-11,-15,-9,12,-2,9,27.5206116987183,20.1226692126146,56.5605138921823,6.87210243790015,23.7723879563598,502495.414181691,105.101255939213,0.0681485382553652,1.05993014767955,123.387619868059,1412407,0.000308291460894952,0.000223471304634944,93.74692,3.43835990583966e-07,5.22271028397109e-06,0.00211771675578609,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.44,7,0.91,0.85,30,1,0.85,2,0.62,0.85,24,0.97,0.85,2,0.69,0.85,4,0.97,8,2,11,0,56,0.0591,0.271,0.083,0.539,0.3,0.083,400000000,1570000000,539000000,937000000,1080000000,539000000,0.000284,0.00023,0.000177,0.000182,0.00169,0.000177,9,13,-11,-10,6,-12,46.3390231942618,5.4505962102141,17.9727591529896,2.18369023708823,46.5845103885682,98608.3476645499,105.359725701997,0.024786236353617,0.916136666187633,116.466714753322,325150.5,0.000223349329367494,0.000406114319142024,90.21589,1.98290289815284e-06,3.13356831538158e-06,0.000219120431247499,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,30,0.98,0.85,30,1,0.85,2,0.79,0.85,30,1,0.85,8,0.9,0.85,2,0.58,8,2,13,0,32,0.0389,0.18,0.0548,0.63,0.301,0.0548,197000000,273000000,261000000,1920000000,1180000000,261000000,0.0005,0.000317,0.000306,0.000134,0.00189,0.000306,9,0,0,-6,7,-13,36.3901995008243,6.24124619225263,19.2469071446344,2.33849921807308,36.3207736737348,134069.14583404,105.825979797023,0.0231695739650935,0.907374462326893,118.131977973108,413445.7,0.00026519938309452,0.000369285951126668,90.9452,1.26954873739738e-06,3.00800267499068e-06,0.000808147586630503,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.43,0.85,7,0.93,0.85,30,1,0.85,4,0.9,0.85,20,0.98,0.85,5,0.83,0.85,3,0.94,8,2,10,0,59,0.0459,0.258,0.0588,0.552,0.299,0.0588,244000000,496000000,299000000,1060000000,1030000000,299000000,0.000383,0.000161,0.000221,0.000154,0.00158,0.000221,-10,-13,-3,13,4,15,43.4448627404275,14.7229639396219,55.0078991258014,6.68345974378487,42.8194448513504,247186.861116831,105.342631446153,0.401327852137396,0.438257666602984,124.988909075977,923538.9,0.000207274136915126,0.000198258526411415,86.42493,0.401327852137396,1.50555011321218e-06,0.000623059250424884,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.305,0.837,28,0.99,0.701,30,1,0.06,30,0.999,0.85,5,0.996,0.85,1,0.86,0.713,12,1,8,2,5.46,24,4,0.175954354652589,0.709048241256023,0.104941937622149,0.280934235204386,0.299972621990434,0.104958809562175,508389892.98176,153577844.326925,360941305.719118,349124657.609555,741353474.122075,360988308.582362,0.000167471683024589,0.000114059547623171,6.88497619685507e-05,0.00010657772990463,0.000796890426407818,6.88558685385801e-05,-10,-2,7,-9,6,-11,99.9032587812334,39.6179929626501,295.541293347587,35.9082671417318,102.020481446202,361131.291931346,104.859172417104,0.00739318911295146,348.900000000001,146.558399141466,2693958,0.000112535004377967,0.000195340542614162,61.09756,5.42248441927915e-07,1.72251050332972e-07,6.63517286308979e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.326,0.79,30,0.983,0.604,30,1,0.06,30,0.983,0.85,5,0.904,0.85,1,0.583,0.85,1,0.864,8,2,5,22,13,0.194011587588779,0.516825500653907,0.115132641137431,0.472991509504171,0.299985220419641,0.11514594511251,593742902.372033,155395974.635841,418362549.889584,1021550004.38215,876952000.55021,418402136.346824,0.000141353228447197,0.000109385937458972,5.81344975451207e-05,4.86250510251965e-05,0.000776456671130475,5.81382423011212e-05,-11,-12,13,-5,-11,-6,97.3356747794161,37.8938789961516,287.989985598286,34.9907832501918,98.9296571313279,316107.651724634,104.748553927966,0.00853182802934942,322.1,146.660110343084,2402389,0.000102986648633544,0.000166942659341326,65.98691,7.27566554193163e-07,2.32619454942351e-07,9.9761459014247e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.978,0.843,30,0.987,0.551,30,1,0.06,30,1,0.85,8,0.982,0.85,1,0.91,0.693,9,0.982,8,2,5.17,20,17,0.169874554326104,0.697595572591265,0.101483833321702,0.292384061960468,0.299954237706656,0.101500268856893,480217819.819894,142840785.902685,341908693.590867,416630712.023136,1017251676.50822,341953303.4433,0.000163748111892161,0.00011046725125307,6.73194976816506e-05,9.74427825171177e-05,0.000816576898036487,6.73254857873475e-05,11,-10,0,-11,10,-15,96.7796513988334,39.9837239449825,298.585044554248,36.2780829133412,102.715822990347,345904.388845141,104.933626631314,0.00877300202775985,317.9,145.964963622935,2583098,0.000106804072565122,0.000160134777294099,77.48567,6.07876877517771e-07,6.57867553813252e-08,2.61620226149617e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.22,0.822,30,0.983,0.604,30,1,0.06,30,0.992,0.85,6,0.923,0.85,1,0.716,0.85,1,0.979,8,2,5,20,21,0.18142198943582,0.525984080233175,0.108041142409848,0.463855117103101,0.299973147820868,0.108055876150026,533953776.191849,146265921.716556,378148897.902744,958590998.637228,877382042.830079,378190812.687377,0.000149653349600117,0.000108551410258912,6.15237967181316e-05,5.0699225705084e-05,0.000777009632243596,6.1528440449059e-05,-13,-3,1,4,-14,14,101.313445402772,39.0892240968562,293.6748686737,35.6814965438546,104.846311246255,326571.895661029,104.812284012896,0.00979172845615986,316.7,146.49371945893,2453514,0.000103142282596716,0.000148127252838627,81.45498,6.25009106111889e-07,1.55250194898982e-07,4.876683020405e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.843,0.85,28,1,0.85,30,1,0.06,30,0.999,0.85,7,1,0.85,1,1,0.685,1,1,8,2,5.88,22,21,0.171681969448806,0.533847840580405,0.102548455855539,0.455982855831048,0.299948528258943,0.102566094175074,489097703.778299,155337670.861405,347948788.524314,1414253728.0795,581913327.489359,347997127.238467,0.000184202889612006,0.000122073417728857,7.57281325849339e-05,6.12637597880416e-05,0.000797151589430149,7.57353014410987e-05,-4,9,-4,-12,-15,12,101.133384820306,39.4781047987599,304.358682875388,36.9795799693596,107.42169523439,388077.831249544,104.890568689468,0.00910399078562147,315.2,147.017485123719,2991908,0.000121360545569164,0.000173958096278825,74.36999,5.03918726838318e-07,4.72471474288749e-08,1.81652957048639e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
