Element,X,Y,Factor
CAPACITOR_0,2168,231,1
CAPACITOR_1,1894,230,1
CURRENT_0,147,382,1
MOSFET_0,170,128,1
MOSFET_0,346,128,1
MOSFET_0,527,133,1
MOSFET_0,710,135,1
MOSFET_0,1285,129,1
MOSFET_0,1471,127,1
MOSFET_0,1848,125,1
MOSFET_0,2032,122,1
MOSFET_0,983,122,2
MOSFET_11,1630,216,1
MOSFET_12,2295,187,1
MOSFET_17,1282,291,4
MOSFET_17,1395,293,4
MOSFET_18,329,300,4
MOSFET_18,469,308,4
MOSFET_18,335,409,4
MOSFET_18,472,411,4
MOSFET_18,672,315,1
MOSFET_18,1279,413,8
MOSFET_18,1394,425,8
MOSFET_22,1648,419,1
MOSFET_22,1795,417,1
MOSFET_24,1981,418,1
MOSFET_25,2260,417,1
MOSFET_59,2159,122,1
MOSFET_9,908,207,1
MOSFET_9,1032,207,1
RESISTOR_0,2139,483,1
