MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS2,VDS3,VDS5,VDS7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,gmid_offset0,gmid_offset2,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,1,5,10,20,2,2,18,4,2,1,3,2,6,7,50,30,62,1.49762788186263,1.95733357294089,0.611430097034379,1.01971428555176,1.02423786172942,595482417.621542,30125817.9727228,196787360.057923,1596486608.04021,1713154711.66937,7.54560899531075e-05,0.000139485822650537,0.000325544940207035,0.000132717204842431,0.000324206130570958,12,5,15,4,-13,87.1908085475073,475.63328882878,1.03367575379995,697.731133814966,54.3015093303072,94309613728.8027,34.554305086342,0.0101651141374851,278.2,54.4909894173117,204959500,0.000440627105628815,0.000437211658959607,46.63732,3.96697150307809e-09,2.63592197014884e-06,0.00349273497445513,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
3,1,2,10,20,2,2,13,6,2,1,2,2,12,6,50,15,54,2.95055345125282,2.11878689763909,0.565538853335549,1.15891192243118,1.16343903762889,452758799.978847,32344612.7872642,187457156.470529,1816948506.5731,1945305355.73288,3.35199250699629e-05,0.000150190141653232,0.000337543588027394,0.000102688866072335,0.000318096956278498,10,-13,11,4,-6,75.6531115769449,343.800141312279,0.931597559639824,628.828352756881,57.0455462454971,79038294790.5137,35.6370593624109,0.0162379842056387,-3.36556,55.4107075307399,214170600,0.0005108801131367,0.000416959119869104,43.4702,4.74818359674097e-09,2.8436841158852e-06,0.00271592676082921,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,2,10,20,2,2,9,7,2,1,2,2,8,6,50,15,61,2.43897255265008,2.12892375378421,0.591196360334919,1.16372477831351,1.16822485622773,842660460.547293,32480798.806382,209739692.112985,1824338430.43238,1953072886.35641,4.27382394029617e-05,0.000150849369008552,0.000306903138550443,0.000103123122396333,0.000319433609497074,13,-15,15,7,-15,81.8076600532101,345.402424319123,1.00722527065522,679.877057692273,56.1514946617066,80357030691.2695,34.0587727318528,0.0165032068243067,-3.51755799999999,54.5011706570736,234328500,0.000516994574273593,0.000474434078074599,43.40111,3.982528585653e-09,5.71575392880552e-06,0.00297800061526488,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,3,10,20,2,2,9,7,2,1,2,2,8,6,50,14,43,1.95447028682238,2.13828695664441,0.59272177206336,1.16817138747046,1.17264696003802,723691773.16652,32606301.8027326,210660722.675688,1831148095.42521,1960222864.7481,5.49315923112373e-05,0.000151457015254733,0.000308344636816569,0.000103523278800754,0.000320664556579921,10,-15,15,7,-15,81.6319588915437,341.664347010415,1.00092582139054,675.624929438614,55.8714166969442,80004980165.2715,34.0881210981186,0.01679465849425,-3.679104,54.463644041838,234379300,0.000520361127426313,0.00047938646250189,43.32768,3.9693980266621e-09,7.98058619504993e-06,0.00297118679229813,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,3,10,20,2,2,7,4,2,1,2,3,8,6,50,10,19,1.95447028682238,1.72840842150443,0.796398818534552,1.16650811062824,1.17091403243187,723691773.16652,26817874.5891153,304321447.622325,1828602914.66742,856470607.540633,5.49315923112373e-05,0.000123620689987284,0.000199820674815766,0.000103373716539855,0.000206469764022181,10,-15,15,7,-15,78.6016824518141,2.68320013196893,1.19971286239213,809.80618211469,51.8200475417182,479716910.493578,32.7108544675922,0.0130264856905342,-6.443822,54.6326615737869,214491100,0.000397300807410277,0.000643538562060489,42.07099,3.101349202455e-09,5.3166370805946e-06,0.00435696188733603,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,3,10,20,2,2,7,4,2,1,2,3,8,6,50,12,47,1.95447028682238,1.72840842150443,0.796398818534552,1.16650811062824,1.17091403243187,723691773.16652,26817874.5891153,304321447.622325,1828602914.66742,856470607.540633,5.49315923112373e-05,0.000123620689987284,0.000199820674815766,0.000103373716539855,0.000206469764022181,10,-15,15,7,-15,78.6016824518141,2.68320079482667,1.19971286239213,809.80618211469,51.8200475417182,479717029.00284,32.7108544675922,0.0128127311838362,-6.443822,54.6326615737869,214491100,0.000397300807410277,0.000643538562060489,42.07099,3.10134907821708e-09,5.3166370805946e-06,0.00435696188733603,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,4,9,20,2,2,6,6,2,1,2,3,12,6,50,10,24,1.26322458388689,1.28980160832428,0.393319744484503,1.20757851567358,1.22005613391355,647285407.800908,31468196.0465795,286489129.939514,1481273825.63818,667535569.967395,6.93620540951576e-05,0.000136888651483142,0.000249047303928079,8.70326605967877e-05,0.000167283550121419,10,-15,15,4,-6,78.4241234523048,3.40951495736137,1.14007993712007,769.55395755605,52.0270013223236,613165148.615031,33.1058907144937,0.013070948644597,-8.002962,55.5858389102719,205031300,0.000399643127009194,0.000578504902517586,41.36229,3.37868533194598e-09,5.59411806707377e-06,0.00421222264701493,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,4,9,20,2,2,6,6,2,1,2,3,12,6,50,12,60,1.26322458388689,1.28980160832428,0.393319744484503,1.20757851567358,1.22005613391355,647285407.800908,31468196.0465795,286489129.939514,1481273825.63818,667535569.967395,6.93620540951576e-05,0.000136888651483142,0.000249047303928079,8.70326605967877e-05,0.000167283550121419,10,-15,15,4,-6,78.4241234523048,3.40951457360481,1.14007993712007,769.55395755605,52.0270013223236,613165079.60048,33.1058907144937,0.014428924238362,-8.002962,55.5858389102719,205031300,0.000399643127009194,0.000578504902517586,41.36229,3.37868618741114e-09,5.59411806707377e-06,0.00421222264701493,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,4,9,20,2,2,7,4,2,1,2,3,7,6,50,10,26,1.6773375905499,1.65308187584037,0.797731145161153,1.16903918314994,1.17393479288806,649173284.75274,31810304.8780444,305027349.200032,1832475062.4096,858877486.527256,6.5793749058982e-05,0.000131842320346235,0.0002003127894808,0.00010360125515765,0.000207076176371537,10,-15,15,4,-15,77.4123901564928,2.73324252671014,1.19340306910983,805.547071649133,50.879758488184,491171167.828422,31.2089730686545,0.0112221480086225,-8.428926,54.3546413057889,214457800,0.000399339419534399,0.000656775316284303,41.16867,3.19400818858712e-09,6.22930717988579e-06,0.0048173594756169,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
2,1,4,9,20,2,2,7,4,2,1,2,3,7,6,50,12,63,1.6773375905499,1.65308187584037,0.797731145161153,1.16903918314994,1.17393479288806,649173284.75274,31810304.8780444,305027349.200032,1832475062.4096,858877486.527256,6.5793749058982e-05,0.000131842320346235,0.0002003127894808,0.00010360125515765,0.000207076176371537,10,-15,15,4,-15,77.4123901564928,2.73324252257922,1.19340306910983,805.547071649133,50.879758488184,491171167.086084,31.2089730686545,0.0112220537241741,-8.428926,54.3546413057889,214457800,0.000399339419534399,0.000656775316284303,41.16867,3.19400819251714e-09,6.22930717988579e-06,0.0048173594756169,"PseudoTwoSt_Null_Pin_1",180,5,2,0.01,0
