MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS2,VDS3,VDS5,VDS7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,gmid_offset0,gmid_offset2,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.04,9,0.14,0.093,13,0.993,0.06,6,0.742,0.13,1,0.58,0.131,29,0.13,18,3,12,0.202817123915835,0.665126155496075,0.143158443545381,0.403007984510506,0.320686195268667,54613711849.3613,50768465357.9551,24635057625.4534,38274003972.2682,50741808077.939,0.000295037347193222,0.00447951070245121,0.000469810962742755,0.000233021952883004,0.00260284065271548,-10,-2,-1,3,-13,20.936359605634,150.108413083707,454.648250955291,5523.97624910679,23.7606352077674,902424281.848484,1.90535665952598,0.317977083628476,-84.2211973991746,19.6583804934007,2733262000,0.000742199606789211,0.00166460363180333,37.99131,1.00756806980991e-10,8.76868801031819e-05,0.0153905312387233,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.04,9,0.14,0.093,13,0.993,0.06,6,0.742,0.13,1,0.58,0.131,30,0.13,18,5,26,0.202817123917786,0.665399164997279,0.142767106570841,0.40328499933311,0.320391844081375,54613711850.8644,51534553164.7958,24672044590.2189,38323625671.0831,50700608018.1247,0.000295037347202116,0.00456816368250027,0.000470754857409323,0.000233384258150961,0.00269045078260853,-10,-2,-1,2,-13,21.0186630114911,143.421824522076,447.047412301766,5431.62605946645,23.8197878409653,889291681.265275,1.90982041040513,0.31576817652625,-84.9293609863749,19.6787650748676,2771932000,0.000765497837015759,0.00170783972707779,37.23395,1.02539326450951e-10,8.67363940746149e-05,0.0151803181983849,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.04,9,0.14,0.093,13,0.993,0.06,6,0.742,0.13,1,0.58,0.131,30,0.13,18,6,39,0.202817123917786,0.665399164997279,0.142767106570841,0.40328499933311,0.320391844081375,54613711850.8644,51534553164.7958,24672044590.2189,38323625671.0831,50700608018.1247,0.000295037347202116,0.00456816368250027,0.000470754857409323,0.000233384258150961,0.00269045078260853,-10,-2,-1,2,-13,21.0186630114911,143.383749656362,447.047412301766,5431.62605946645,23.8197878409653,889055596.823748,1.90982041040513,0.315767881449519,-84.9293609863749,19.6787650748676,2771932000,0.000765497837015759,0.00170783972707779,37.23395,1.02539284927702e-10,8.67363940746149e-05,0.0151803181983849,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.04,15,0.1,0.093,12,0.993,0.06,6,0.897,0.04,1,0.437,0.04,29,0.489,18,6,40,0.180501013767259,0.670293482504971,0.26858893426622,0.257366547714607,0.314376545659544,46309067650.4121,81364169955.1778,25643092281.1386,154344114642.608,181011078230.2,0.000312929864832578,0.00768979404404503,0.000562894923883765,0.000297702820796358,0.0113592587627957,-10,-3,-15,3,-13,34.7593358675144,3.71849446851279,268.192749054175,3258.54190100822,23.9215485629926,58454192.0999297,1.87734280300642,0.138746538403479,-87.4262170246846,18.4305874579965,4215951000,0.0019407227809602,0.00169842581169507,38.84994,4.67769296108859e-11,2.24552870370473e-05,0.0156440176629291,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.04,1,0.1,0.093,12,0.993,0.06,6,0.897,0.04,1,0.437,0.04,30,0.489,18,7,57,0.381414931443301,0.664940066338711,0.291015375294713,0.208773072084891,0.321487849811284,223677738121.366,71719802329.5047,15938112900.7702,107422071850.157,148897100328.238,0.000124211344459638,0.00650308443750152,0.000326907194420868,0.000197208540271555,0.00925021170759989,-10,-3,-15,3,-13,40.4532389001544,21.6832029090165,384.539672191216,4672.15701712328,22.3568435461521,250676680.99022,1.86761237948349,0.173545571657708,-94.1376199583885,18.1252135465287,4445613000,0.0014272678498519,0.0017837205183695,41.41798,5.60214055896904e-11,4.21175641133478e-05,0.0190642645299401,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.38,11,0.487,0.04,18,0.13,0.04,5,0.452,0.33,21,0.1,0.213,24,0.582,30,8,49,0.398269432836485,0.64302792405032,0.229242885202159,0.314207218161231,0.344887764735406,2740869402.14114,154990611641.959,42858742815.5983,5043116888.01662,9594839246.28499,0.000334101525079585,0.00162664457706097,0.000362237891880207,0.000274870232145913,0.00187634088060283,15,-4,-6,-4,-15,36.3364828992975,36.70812224953,553.290646812533,6722.48135877228,19.8348117001745,112777511.173929,2.60093137164363,0.536665826247995,-139.606781804878,18.1975042927182,1699862000,0.000379293428113822,0.00146259356031317,39.33087,0.536665826247995,7.56105263882978e-05,0.0383327483636658,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,1
0.04,9,0.14,0.093,13,0.993,0.06,6,0.706,0.13,1,0.58,0.04,29,0.446,18,6,30,0.202817134115863,0.682066816983556,0.117959099943811,0.421766454110343,0.295714824930975,54613719708.3768,94740273392.2509,27620495591.4009,41593504791.7876,234110944737.154,0.00029503739369727,0.0104383612072501,0.000525319387120029,0.000257454151726615,0.0151072798138247,4,-2,-6,3,-13,34.7240604751864,4.40296186160832,129.770213770932,1576.70809731682,20.5198856187341,202140436.624132,1.90471887689496,0.178845128637881,-52.6140036595591,14.0563625274063,5957764000,0.00566791406425073,0.00153397249048667,45.81693,2.98073908407175e-11,1.38248732363969e-05,0.00693130730540398,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,2
0.24,12,0.55,0.4,1,0.28,0.31,28,0.598,0.51,30,0.95,0.566,20,0.757,6,6,57,0.245366449497809,0.688062049179424,0.292782760840778,0.229479638767658,0.301526379186506,2070192350.80334,3658529777.67948,885419349.511094,349744862.105976,323208195.810115,0.000126417739789716,2.8437622769532e-05,0.000142809021809806,0.000139988201080485,7.87946374168024e-05,-6,-5,9,-2,-3,69.7995076499001,178.765810859448,436.377186681436,5301.98281817945,43.7468924814574,36543124.9619132,7.0589319305402,0.322879598470742,-10.6882578,42.194270095859,89203780,2.52369112817957e-05,0.00048870021682141,54.58976,0.322879598470742,4.79636868496947e-06,0.00103258670769912,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.06,28,0.448,0.85,1,1,0.413,13,0.523,0.218,19,0.527,0.61,30,0.516,9,2,23,0.124306162520916,0.688647944084828,0.385548968912414,0.243365949817095,0.301190263092041,4190184032.85638,736968562.763198,1475992757.83953,2673822740.76034,377573990.363236,0.000196218160394977,4.18278163979118e-05,0.000204268332447753,0.00027080453034878,0.000121000920216287,-12,-3,4,-3,-10,54.641601039187,88.7204428127481,223.547478250774,2716.1018607469,45.3892154242566,27623146.6388926,4.67729430333393,0.283136316525296,-30.094416,42.0497717870312,69601600,3.84383227701521e-05,0.0005568453700446,62.22837,0.283136316525296,1.95100733804854e-06,0.000999141779978396,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.0993,24,0.145,0.809,1,0.667,0.271,30,0.205,0.391,6,0.18,0.591,17,0.235,2,49,1,0.145212989643898,0.689172069446853,0.236799487526543,0.27475521689812,0.30059394318779,2738377547.75137,887937702.552361,1097723238.42018,1993499853.18751,775069117.939216,4.66046422561928e-05,3.2931814706753e-05,6.15041313735202e-05,4.52299067262875e-05,8.83775554079285e-05,15,-5,-5,-4,-4,66.689806058253,336.650726169936,1063.69793457669,12923.9299051068,48.922921780919,40109177.7339476,2.8219984053858,0.255948461375865,392.100000000001,45.521143867582,126730900,1.47088657549036e-05,0.000757431906920481,46.23506,0.255948461375865,1.27039826282843e-06,0.000490693697176192,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
