MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,av0,av2,av3,av5,av7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.2,50,10,0.8,50,10,0.8,1,7,3.2,1,2,1.6,50,10,9.85,0,63,494,145,313,165,211,24100000,1430000000,682000000,232000000,993000000,0.000196,0.0139,7.91e-05,3.58e-05,0.0188,88.0052852771585,0.043852911498351,0.200648873623914,32.502209643887,48.8464640745555,14108512.6328611,47.1593044902064,0.266019027704699,0.620097958408648,46.9134722741443,64553460,0.0100538597031006,0.000506892101586082,66.8352,2.80693355192931e-07,3.13194394211957e-06,0.00266163957520882,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
0.4,29,10,0.4,19,10,0.4,1,10,0.8,1,10,0.4,18,10,138,15,59,85.5472748523658,38.2073671342585,59.013230256791,72.4803008397797,41.5460082422744,965024428.313744,7419855141.70213,5349405234.95722,3163391756.75904,14555201925.0516,0.00229908677331041,0.0146429474458748,0.000532214884971338,0.000627623830438802,0.0266652599308693,58.6149283852044,0.971349699274405,2.06179816273447,8766.71916567848,28.591499788296,436675079.643052,19.0787840283389,0.0468713402814138,-35.7680393561303,26.4347019355876,926891600,0.014048592642834,0.000709159525401483,50.07388,6.43929449268018e-10,8.87932992782004e-06,0.0236861127823489,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,1
0.4,30,10,0.4,9,10,0.4,1,10,0.8,1,10,0.4,16,10,138,14,18,85.7364714276722,24.3433431673988,57.7800724547112,71.8216845531,41.5001517427251,940804554.456298,8638968031.45633,5398475343.81904,3204906316.41755,14422083331.2118,0.00231397561450128,0.00842526774619278,0.000538575595040512,0.000636846674502242,0.0234783446563358,48.5466796307975,1.18383653718565,2.37145427541442,35102.6720696846,28.2689290019424,469478836.91527,16.7332005306815,0.049088053982212,-25.0105367864895,26.1041459476485,940457200,0.0123929387147319,0.000742052911908274,51.17127,5.95835899712121e-10,5.65165471869e-05,0.0106326529854579,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,1
0.8,50,10,0.8,50,10,0.8,1,7,0.4,2,7,1.6,50,10,6.32,0,3,447,594,475,56.3,348,35000000,344000000,668000000,1160000000,157000000,0.000177,0.00205,6.85e-05,0.000127,0.0019,73.6920139389626,1.42322723235245,4.13425923514023,40.1358071114506,40.3084006890972,10071121.3720581,44.9711018321766,0.0546271211189209,0.888011886724315,40.9181893407002,29255080,0.000221133024806315,0.000592987654661367,27.29447,4.571184750395e-08,8.78660325700942e-06,0.0111336396831989,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.64,2,9,1.6,50,10,0.8,3,4,6.75,1,2,2.33,50,10,5.04,13,0,581.889345378956,244.478504263978,431.707609609618,285.542582435232,276.375175002641,107467760.632613,407193580.037356,397741638.761969,54212851.6199503,471543502.649812,5.67889846567223e-05,0.00785420836058301,6.79131945809207e-05,1.74892436295575e-05,0.0130733424143899,104.868540499244,0.170676439589229,0.213784162210508,0.710880052388973,57.8206532466224,40346851.7379573,53.298405229425,0.0164435025499661,486.5,55.9922138619048,50537250,0.00738730617914021,0.000515277862285811,52.59066,2.07238547429389e-08,1.00204133005932e-06,0.000610886626423834,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
0.8,50,10,0.8,50,10,0.8,1,7,1.6,1,2,2,50,10,6.21,0,0,400,304,434,158,422,27700000,885000000,606000000,632000000,426000000,0.000149,0.00771,6.43e-05,4.5e-05,0.0091,85.62812295028,0.1011422081219,0.611916611155931,24.0194494826478,49.1830536889787,8460764.7942339,47.0914004888366,0.29071566021078,0.710840841028187,48.7591313216263,51188150,0.00261413019084128,0.000633772874629062,50.10675,3.79659803722305e-07,4.83169878386591e-06,0.00362095220630487,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
0.8,17,9,0.8,50,10,0.4,3,5,5.82,1,4,1.6,50,10,8.27,12,0,329.857193851052,167.729232425534,112.229360910779,277.450645710719,237.961372447893,84689123.4828901,1298047642.62611,1199510737.70246,63073994.9593759,899004745.331154,0.000160061166582371,0.0125505992133797,0.000137886546816844,3.45991888381519e-05,0.0168412945507242,95.2271367752186,0.11780222159834,0.425951342275766,4.59590995143977,55.3672445897166,29622761.1095072,42.201421776997,0.020401460147046,489.5,52.9699129165559,107110500,0.00785818189259979,0.000538684666065921,50.29435,2.5661876503034e-08,2.3936275799552e-06,0.00146460343186394,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.69,1,10,1.19,20,10,0.466,2,8,4.52,1,2,1.44,50,10,3.22,20,0,571.246451433727,147.297098410847,179.060907611446,257.651587894266,271.452262691748,109008334.647371,815127607.315352,461140335.549207,81782905.5960053,872177622.481289,3.37272524647967e-05,0.00476897486162015,5.94977329611422e-05,1.69569582943253e-05,0.0141490199904598,101.626196127148,0.191303262111893,0.341787926617363,1.00971325363168,56.7037264545343,30171655.456047,35.2971953560053,0.0173233044165137,524.5,55.1372388699081,53905550,0.00492863646229926,0.000476244643124841,69.05268,3.57068160955621e-08,2.21363974028499e-06,0.000576149947641991,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.6,2,9,0.8,50,10,0.8,2,7,3.6,1,2,1.6,50,10,8.26,1,0,488.424497660308,151.507270326088,411.759505127672,183.347857999209,219.181059273223,137136840.528127,1387744390.757,470808856.846376,177776393.677123,964958738.478816,7.58141800208073e-05,0.0135233572771579,9.75089596615036e-05,3.06831607880358e-05,0.018236453887523,93.9597487933878,0.195921627826609,0.262832620886438,8.7676438500889,52.3207141463501,58697640.2273163,40.8117630101911,0.0205494126932726,514.5,50.4229186465714,78744010,0.00936242352338455,0.000502303445657913,63.68281,1.22342806871401e-08,2.19419670365983e-06,0.00185314173751983,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
1.58,1,8,1.6,24,10,0.8,3,5,3.6,1,3,1.9,50,10,6.4,16,0,392.66673153603,220.690551654397,470.097628471242,216.618938390122,335.072996858657,170920242.844568,430585718.95689,402594576.284479,132638522.574932,503462342.776506,4.4837139685155e-05,0.00400328739165563,8.55455843281483e-05,3.30298921704986e-05,0.0108514385952514,100.094677863252,0.422991879536258,0.520913861757141,0.78352695991583,55.8898498771473,54612531.3506134,42.1454623892063,0.0193541910062322,491.5,54.7816796619327,67255250,0.00403469117794347,0.000515801359705681,51.68082,1.2749366907228e-08,1.7789422215353e-06,0.000652050082127875,"PseudoTwoSt_Null_Pin_1",65,3.3,1.6,0.1,0
