Element,X,Y,Factor
CAPACITOR_0,2398,493,1
CAPACITOR_1,2026,717,1
CAPACITOR_2,2235,726,1
CURRENT_0,126,645,1
MOSFET_0,254,251,1
MOSFET_0,373,260,1
MOSFET_0,1210,262,1
MOSFET_0,1355,263,1
MOSFET_0,689,255,2
MOSFET_0,988,262,6
MOSFET_0,2635,254,2
MOSFET_11,1813,357,1
MOSFET_12,2021,354,1
MOSFET_13,2852,358,1
MOSFET_14,1207,451,1
MOSFET_14,1350,450,1
MOSFET_14,1023,574,1
MOSFET_14,1542,579,1
MOSFET_18,2852,567,1
MOSFET_19,384,682,2
MOSFET_19,1210,680,7
MOSFET_19,1360,681,7
MOSFET_24,1782,708,4
MOSFET_24,2433,675,3
MOSFET_24,2640,682,1
MOSFET_6,2043,240,1
MOSFET_6,2232,245,2
MOSFET_9,577,352,1
MOSFET_9,736,357,1
RESISTOR_0,988,375,1
RESISTOR_1,1560,379,1
RESISTOR_2,2031,587,1
RESISTOR_3,2234,587,1
