Element,X,Y,Factor
CAPACITOR_0,2530,410,1
CAPACITOR_0,2530,500,1
CURRENT_0,120,729,1
MOSFET_0,166,201,4
MOSFET_0,166,287,4
MOSFET_0,316,197,4
MOSFET_0,320,290,4
MOSFET_0,479,202,4
MOSFET_0,481,290,4
MOSFET_0,634,195,4
MOSFET_0,637,292,4
MOSFET_0,1153,196,4
MOSFET_0,768,290,1
MOSFET_0,1375,198,8
MOSFET_0,1679,279,8
MOSFET_0,1950,275,8
MOSFET_0,942,197,12
MOSFET_0,1680,197,16
MOSFET_0,1950,200,16
MOSFET_0,2202,201,2
MOSFET_15,1151,648,1
MOSFET_16,945,291,1
MOSFET_17,620,648,1
MOSFET_17,237,654,4
MOSFET_17,239,736,4
MOSFET_17,374,657,4
MOSFET_17,375,737,4
MOSFET_17,763,650,4
MOSFET_17,763,741,4
MOSFET_17,940,743,4
MOSFET_17,1350,747,8
MOSFET_17,1684,654,8
MOSFET_17,1950,656,8
MOSFET_17,2400,725,2
MOSFET_17,1158,745,12
MOSFET_17,1685,744,16
MOSFET_17,1950,744,16
MOSFET_19,1250,651,1
MOSFET_19,1430,651,1
MOSFET_28,2599,337,1
MOSFET_28,2357,403,1
MOSFET_28,2345,204,1
MOSFET_28,1850,415,1
MOSFET_28,1587,420,2
MOSFET_29,1768,495,2
MOSFET_29,2025,493,1
MOSFET_29,2226,492,1
MOSFET_29,2230,708,1
MOSFET_29,2600,594,1
MOSFET_4,1250,269,1
MOSFET_4,1430,269,1
