MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,20,4.99,1.5,20,5,3,20,5,9,20,5,1,20,4.99,0.5,20,4.99,0.5,3,3.53,3,11,4.63,11.91079,11.78646,0,21,437.7333,278.8295,245.1149,375.304,81.01937,280.6777,535.1047,628.3873,15700220,2998723000,6229746000,11624940,2609072000,2407710000,3968686000,4968469000,0.05952064,0.1341259,0.2496306,0.2294466,0.1617209,0.02924046,0.0008512015,0.0001172488,106.594544709041,0.128783977216568,138.63389093,3060.75869514021,85.3112671243602,1000,150.921617731745,0.567940808136179,1.26257186095506,89.6745696465493,1076484,0.000228380621111137,9.52722271900813e-05,28.80463,2.7208779711477e-07,1.40804765200403,0.000275721922401995,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
1,20,4.99,0.5,20,4.99,7,20,5,10,1,3.071196,10,1,0.5614691,0.5,20,5,1,3,4.57,2.5,20,4.89,12.44041,23.18597,5,58,185.4985,337.9436,492.8161,18.27272,416.684,296.4658,121.3295,366.294,8529923,763613100,1827243000,17114870,8000181,560125600,2114031000,5143778000,0.05703382,0.03547384,0.04634526,4.040454e-05,2.513285e-06,0.1008853,0.001029498,0.0002369715,34.8139053846254,10.8058892042698,54.0882799391005,4681839353.05054,34.9245680282828,367083.474285147,140.924813453841,0.0909169077710419,-156.378601949919,58.4044289811757,1837416,0.000999137837617882,6.08906457720063e-05,32.37226,1.2917678855846e-06,131.142562586691,0.0160442615917603,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
1,20,5,0.5,20,4.99,7.5,20,5,10,1,1.24819,0.5,1,0.22,0.5,20,5,0.5,3,3.86,3,18,4.97,12.47721,22.09022,3,52,285.5326,404.4546,658.0378,17.27713,248.6081,361.9957,63.14776,438.1825,8466691,1054672000,2854985000,17408680,1114157000,688968500,3109100000,8009081000,0.08898443,0.05503928,0.07241439,1.922474e-05,2.513274e-06,0.1575448,0.00124209,0.0002134703,21.9507604476101,22.6967559779166,25.9226367034399,2624299840712.46,9.2389365329498,752161.054291361,141.950325783353,0.107656743062047,-227.973750400322,48.2266689722899,859065.4,0.000974693650990057,3.87488651069625e-05,24.12343,8.90559753059321e-07,245.462942805245,0.100390158164624,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,5,3,20,5,4.5,20,5,10,1,0.7338112,0.5,1,0.22,0.5,20,5,0.5,2,3.99,3,16,4.89,9.126029,16.45742,2,29,354.7603,475.7053,773.82,16.46992,364.1205,423.4878,42.86129,501.48,8893491,1250671000,4636651000,15945810,1392696000,600081000,3590238000,6414883000,0.1111701,0.06860738,0.09051792,1.086089e-05,2.513274e-06,0.196883,0.0008502841,0.0001598778,19.9972209599371,24.4996807932362,56.8541656973887,3161287067910.16,10.3116113629767,372179.937858612,119.285759271591,0.145839126764932,-205.238024227807,47.9149824387,863683.9,0.000446800464582766,4.21880910897934e-05,39.32241,9.13239621316355e-07,379.904386835601,0.160198545526661,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,20,4.99,3,20,5,3.5,20,5,10,1,0.4616639,0.5,1,0.22,1,20,5,0.5,2,3.08,3,20,4.77,8.788183,11.36654,1,16,441.7571,108.2237,827.7243,16.35549,442.6139,499.5296,43.78581,842.7321,9166084,9514434,3136273000,11954970,1740870000,471606600,4200037000,8007122000,0.1389041,0.008908694,0.1131474,6.170571e-06,2.513274e-06,0.2460678,0.000707979,0.0001372657,54.215536584991,22.4444915866719,86.2754480024427,70278372983.3754,8.25707745475744,225114.77932227,118.704244911461,0.221759534595277,-190.056613059678,53.5957871073857,865329.4,0.000294995451141115,5.51268647531255e-05,43.84091,0.00458039540181073,70.7704950980717,0.130798606664872,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,20,4.99,0.5,20,4.99,4,20,5,10,1,0.8326097,10,1,0.6569673,0.5,20,5,0.5,2,4.7,3,16,4.8,12.1325,19.24517,3,54,354.7525,161.3485,702.8568,16.40344,493.7305,423.5243,61.61633,834.156,11044870,9956826,2509020000,13616820,8000000,599804900,3597726000,6415667000,0.01504019,0.007199223,0.09051792,1.151018e-05,2.513274e-06,0.1968879,0.001163185,0.0002159755,22.1107433230547,55.0687479563734,32.318311266078,8699775527051.63,7.12135780494138,1391479.52751199,133.602256305797,0.205951409554728,-232.393943650281,48.2939864388775,816620.5,0.000743177754625134,4.18303957093465e-05,29.53229,7.71350741520838e-07,345.855434249675,0.169128699955346,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,3,20,5,7,20,5,10,1,0.7223199,0.5,20,5,0.5,20,5,0.5,4,4.46,3,13,4.82,11.26434,12.89718,3,36,171.6922,385.3236,744.7452,397.4131,441.463,387.1077,344.343,421.3959,8409279,5744083000,3054533000,12723870,2703664000,585506400,2847094000,3537308000,0.1215523,1.358454e-05,0.09968896,8.717034e-06,0.1030383,0.06183832,0.0009003236,0.0001401489,23.3410125911612,43.6981867561448,48.0012308949843,4675510683.59309,22.842885055677,475153.431596473,137.1657342524,0.126799040033346,-203.054881591401,47.3308871184587,521942.7,0.000319809629797577,4.36905997894571e-05,68.33429,9.85581885300582e-07,6.05133826779085,0.101765382325641,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.99,0.5,20,5,4,20,5,10,1,0.6997538,3.5,20,5,0.5,20,4.99,0.5,3,3.55,3,14,4.76,10.72576,16.48526,2,61,381.1027,227.7479,223.0384,16.38351,273.7797,504.5332,540.5552,765.3832,9065081,2302124000,2085451000,15520450,104179700,2765487000,3319906000,5002978000,0.05347258,0.1256231,0.2235453,1.00678e-05,0.1166142,0.142521,0.001053317,0.0001587746,22.1797717137093,44.9751107717083,37.2790170508401,2274987218441.5,6.50397088846254,945868.046782769,133.170493751431,0.122199024787616,-262.270477251556,48.4681945547062,784012.1,0.00061855652954361,4.65523250222232e-05,32.5686,7.9212713445429e-07,77.2310411505519,0.177122070139484,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,20,5,0.5,20,5,7.5,20,5,10,1,3.618895,9.5,1,0.8945528,0.5,20,5,0.5,6,4.57,3,20,4.94,9.754622,19.30351,6,42,165.4628,265.4229,457.1732,17.86789,580.0005,275.1006,73.29034,679.8024,8439639,9811444,1284666000,15334750,8064870,645952300,2197649000,5648373000,0.007811568,0.04172576,0.04634522,4.297236e-05,2.520752e-06,0.1008991,0.001509962,0.0002905336,41.2656646420249,38.2257593805846,73.0934924318952,656315380.294451,41.3424716692813,984014.462804507,135.446313235909,0.0917895988174752,-120.278318642634,57.1491105821732,1881586,0.000757123005956325,6.78289602750639e-05,45.06341,1.2648594305293e-06,39.8652287012026,0.0167204615792544,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,0.5,20,4.99,7.5,20,5,10,1,2.96,0.18,1,0.4290823,0.5,20,5,0.5,10,4.673548,0.5,1,2.402475,9.480349,12.85501,12,57,61.30439,83.07631,435.7672,120.9204,213.7083,212.0087,272.2637,182.156,11420040,7289101000,2060491000,12292580,6974331000,403708700,1222977000,2108784000,0.03994224,1.556391e-05,0.03270096,4.892675e-05,2.04821e-05,0.05799793,0.001604358,0.0001054072,39.3088746256318,32.3084831641988,73.423487683979,1987560.55972371,55.6495315239014,463522.865262156,129.05975237152,0.131189674515139,-54.2135378503314,75.9445334531248,1053391,0.000421964268009764,0.000398348268266413,34.22754,9.89546930831205e-07,1.15644285749959,0.0011585363338471,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
