MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,50,10,2,50,10,4,50,10,10,50,10,2,50,10,8,50,10,2,2,10,2,4,8,9.684918,16.49696,4,49,37.79456,465.8404,396.8,593.6008,651.9441,71.20977,638.5152,280.8417,10734980,979106700,1195409000,8188996,6295040000,3414327000,3983342000,4949804000,0.03705216,0.1314729,0.1080255,0.1884321,0.06525875,0.06835046,0.0008091109,0.0001425548,34.5201701628045,0.209009546539541,1.79625234071027,310371533.929007,57.7540680653296,89564.2178255407,273.223124391037,0.0925048271385859,-99.0715598165428,71.4153173473903,769725.3,0.00476130393235925,6.56494712303184e-05,43.0046,8.0286535627784e-06,2.10446040001153,0.033566465763105,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,4,1,6,8,50,10,2,50,10,4,50,10,10,50,10,4,6,10,8.298894,11.65948,1,53,183.6574,351.3325,645.1027,148.8005,766.7182,922.7335,660.1261,956.9601,20287510,2686475000,1698113000,12998120,1629526000,1350024000,23082110,6577807000,1.261204e-05,0.03336655,0.1280087,0.03177099,0.06193123,0.1077725,0.0005428701,6.856665e-05,17.38895061683,0.327404337018618,1.82168665133451,157464649359.476,41.2750046373484,74577.25883094,231.234719637861,0.133165070121114,-217.970471594283,23.4412529164137,414949.9,0.00253092618374675,6.28258067614854e-05,59.30229,4.5018748479177e-06,2.279103118067,0.316914431699568,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,4,50,10,10,50,10,2,50,10,2,50,10,2,2,10,2,3,8,7.677093,13.64108,3,17,415.3767,534.1735,405.6,257.6007,436.7219,566.5591,152.0952,247.0621,11865010,5132304000,3858069000,8165740,3113943000,3681051000,5257431000,3792855000,0.007968254,0.2010619,0.07831258,0.05616776,0.124438,0.1521537,0.0006088617,0.0001161212,33.9325360769303,0.405054259561368,1.79809474592667,406512727.341328,56.5021229479294,184568.498986435,263.530556628638,0.0879954060315351,-85.1824880841883,68.4359600003951,819326.4,0.00506292935190966,7.25075926909068e-05,48.43331,5.00219918333444e-06,2.20162030566619,0.031352035008184,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,4,50,10,10,50,10,2,50,10,8,50,10,2,2,7,2,3,8,8.938136,13.51986,3,51,108.1759,574.9827,146.4,16.00072,201.5455,86.97303,640.1102,295.07,10859100,2366953000,279709600,8164750,1409479000,2925890000,2513755000,5208829000,0.160968,0.1870438,0.0982268,0.08954773,0.1262124,0.149317,0.0005007459,9.763756e-05,34.1403993931574,0.216686123790068,1.95320857388424,293886359.379675,58.3955539142994,74534.8069898525,271.679278017297,0.0993370085683023,-110.386262748382,71.3926273317838,671856.7,0.00382195457477388,6.80136998236426e-05,42.7922,8.13493363912348e-06,2.28180992363064,0.0329093913087219,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,4,50,10,8,50,10,2,50,10,6,50,10,2,2,10,2,2,6,12.08276,22.75655,2,17,523.4267,656.1412,162.4,570.4009,632.7102,642.1024,501.7099,47.74688,12960370,2038462000,8000000000,11150650,5967644000,126967700,4535981000,1467270000,0.1047077,0.09933241,0.1135083,0.1767912,0.1303819,0.1507737,0.0008545405,0.0001437588,34.3966762624204,0.326007102480037,1.89319046967848,500175585.338822,58.2284904174411,152357.806519582,263.10097992976,0.10353196286366,-94.8330546934734,70.4662391037122,884773.2,0.00519272280881643,6.71792516874258e-05,48.067,5.89870124648137e-06,3.26875107819227,0.0328739972588732,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,6,50,10,10,50,10,2,50,10,4,50,10,2,1,10,2,4,8,9.704638,22.74386,1,5,345.8755,557.9135,91.2,369.601,579.531,833.4608,238.506,507.2163,8612991,2776837000,4421460000,8222425,1931429000,3414948000,1655194000,2438398000,0.003385855,0.1703434,0.1145519,0.04412661,0.09184835,0.1330061,0.0008487446,0.0001515282,38.2911913570864,0.38189060143681,2.24394751134207,106427874.598984,62.6173494853139,171483.272314962,283.993575247751,0.0852528182287622,-86.7306391821752,73.4099081609689,1007617,0.00498930763213282,6.99537423972207e-05,33.17636,4.65752633675364e-06,2.06889153773212,0.018334566434874,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,50,10,6,50,10,10,50,10,2,50,10,2,50,10,2,2,9,2,1,8,8.161742,15.84227,1,16,214.6475,948.1845,482.4,392.0007,605.9205,499.4705,16.09678,48.72695,8493614,8000135,4804674000,8165828,5768367000,2292052000,4029138000,985317100,0.08004441,0.1866829,0.1653133,0.05516468,0.07106813,0.1746675,0.0007873807,9.122306e-05,36.7201444486943,0.447686848305363,1.83020551528098,482629489.734271,61.6896184149771,190453.733001987,286.251876916117,0.0869033231831666,-117.04661257714,65.6210311448411,778601.1,0.00472685895715115,7.40501655506333e-05,41.45753,4.31914519380537e-06,6.78935946592071,0.0158388228834729,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,50,10,4,2,8,8,50,10,2,50,10,2,50,10,2,50,10,4,5,9,9.163784,18.39416,2,45,147.635,620.8381,539.8047,119.2007,686.8963,772.2961,528.1124,875.521,22000870,8000030,1358490000,10628700,1637917000,104624500,295349100,7433837000,3.026775e-05,0.02669324,0.102407,0.02541712,0.04963649,0.08623918,0.0008032369,0.0001101099,23.1278207572395,0.494492365778921,1.98200719140488,26337020293.7814,58.363767918005,238816.292322348,231.670802597134,0.199048406590748,-157.846938620575,26.9560033020526,957215.2,0.00536613817072263,5.42383296491255e-05,68.98419,4.3262840953676e-06,4.07432926860004,0.115073206015192,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,4,50,10,8,50,10,2,50,10,2,50,10,2,2,7,2,1,2,11.09802,21.10549,1,13,359.4201,894.9302,173.2121,16.00081,558.3121,471.948,223.2937,538.6404,12799480,6111623000,5104088000,13478540,7663170000,4933959000,4691081000,3289940000,0.0627875,0.08868553,0.1423182,0.2477912,0.03519701,0.2096191,0.0007408816,0.0001013371,33.4420778934184,0.642600118789131,2.33529171903144,2209022762.77807,58.5489732824672,256308.101120309,257.133707980887,0.0800986294373102,-104.394943457704,60.5871072995847,931456.7,0.00443178845903729,7.25084396811126e-05,52.10632,4.20684657781213e-06,11.7784520188665,0.0317081738110829,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,50,10,4,50,10,10,50,10,2,50,10,2,50,10,8,45,10,2,3,8,8.966102,16.15138,3,19,96.9926,1138.283,378.4,184.8008,449.326,413.1921,180.8844,703.1514,11762750,8000472,3155326000,8186188,2690305000,3921805000,33427950,4529562000,0.1160678,0.1330152,0.02589039,0.1366465,0.1366731,0.1211439,0.0006884544,0.0001199877,31.7336693623142,0.844951933835054,3.88269574254281,507314350.748318,72.200632762877,196907.072925542,280.021579664854,0.073358199017429,-85.905727582188,38.6117070920332,904821,0.00258932641991734,6.9200935769084e-05,48.13844,4.82945641664764e-06,3.51734348056207,0.0239698613814379,"R2R_Miller_PNin_2",180,5,2,50,0
