RESISTOR_0,MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.005,0.4,50,10,0.4,1,2,2.419001,1,2,3.686603,1,2,0.4,50,4,0.4,50,10,7.511324,50,10,0.4,1,8,0.1507084,118.1496,21,41,21.70195,16.00033,41.82343,16.64056,28.82271,552.1108,455.3076,172.6379,148285700,284694500000,161089500000,707300400,60638040000,36828500000,71186320000,150144300000,0.02102342,0.09301479,0.0001023525,7.097153e-05,0.00979554,0.1585846,0.07386639,0.0005580962,35.6066255599609,5.45612474953758,7.16412978362666,13189869024.8129,37.4995404812943,80749259.5930885,70.5274762457866,0.069392359941405,-156.742461405042,66.9203274303348,106027300,0.00924984115327598,0.000112139074207267,53.59769,1.43479746672481e-07,16.934883778065,0.246925251787455,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.05073013,0.8,50,10,0.4,1,2,1.6,1,2,3.6,1,2,0.8,50,10,0.4,50,10,4.497978,50,10,0.4,1,6,0.3587784,87.35741,15,39,52.21464,144.8017,141.4489,18.67429,276.0513,560.4204,545.3902,23.2832,236303800,322111900000,160791000000,914932500,115118300000,88929570000,138888000000,483478900000,0.07965519,0.1813541,9.123041e-05,0.0001437045,0.01535549,0.08909108,0.0433828,0.0005074089,44.9045808909523,5.36596133695547,9.01404123150498,1691472167.06661,48.9865314064275,58773902.182851,78.2250108868641,0.0867018862021145,-198.771531417396,81.1423627319048,98731680,0.00684568645906863,0.000107743689390697,23.38017,1.53684089079564e-07,15.2578577111405,0.190318355310603,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.008006999,0.8,18,10,0.4,1,2,1.6,1,2,3.6,1,2,0.4,50,3,0.4,50,10,4.8,50,10,0.4,1,7,0.1507084,92.24965,18,9,17.40971,16.00501,84.61456,36.73171,190.3405,582.4158,514.6149,295.5094,497432100,322127700000,160849200000,1448626000,115829700000,71913320000,138893600000,181468600000,7.423582e-05,0.1813888,9.218718e-05,9.410461e-05,0.01527075,0.2695489,0.04818946,0.0006582568,38.0647881999172,6.57392719525874,9.93017127084097,3852969228.52103,42.8816251846854,74160232.9696967,58.3760351736481,0.0686785914073639,-158.858649126671,71.7878428202134,112021900,0.00705060220920748,0.000108669341398279,39.41007,1.32851745836257e-07,12.9200781814837,0.226255801783013,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,5.6,2,8,0.4,1,10,0.4,2,6,8.296528,2,6,0.4,10,6,0.4,5,10,11.88924,50,10,0.4,5,10,0.8626105,136.4011,30,29,16.68152,1049.672,79.94455,43.23568,157.0857,727.8834,1055.568,202.8321,1787113000,88264310,80000000,109028500,11182970000,20020090000,81411050,4264015000,0.001180176,0.008140252,1.00531e-05,0.0004734355,0.001293266,0.0005926876,0.007175827,0.001036812,55.8390776166714,14.8517433800061,21.3920414068546,3185804.26330346,81.9898609111747,77646030.4388225,88.999641496469,0.256978840857283,-13.1832932829956,85.49645284752,111839200,0.0032675469662097,0.000165691578684282,42.23214,2.20776321643649e-07,1.1801418337782,0.032315627287237,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.02685408,0.7006155,34,8,0.4,1,5,0.4,2,6,5.201823,4,6,0.4,10,6,0.4,9,10,5.06327,29,10,0.4,7,10,0.8626105,136.4011,36,35,16.69325,647.8685,350.028,24.83765,110.6627,692.5041,976.1854,159.4751,2072469000,80027390,80000000,121193400,7708996000,1797776000,87482330,7517237000,0.0008652662,0.00416005,0.007570502,0.0005604858,0.00499673,0.0006290451,0.008032834,0.001394771,110.204794780187,15.4944265038024,21.7767026170327,1972.68992899112,91.1077074255886,96629563.6857866,61.1942733015108,0.3417385498874,496,110.04837851478,135808400,0.00389775493070336,0.000173390646571522,45.48323,1.76605592337363e-07,0.472320149765006,0.000351709402688027,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,16.69542,1,7,0.4,1,10,0.4,1,7,6.25171,2,6,1.448244,10,9,0.4,5,10,12.6918,50,10,0.4,3,10,0.997996,180.361,32,23,16.98588,1122.417,162.9611,38.39167,208.9595,649.3305,1048.517,122.0435,3069948000,81631380,80000080,207889700,19788860000,12815400000,81604360,3190730000,0.0007275465,0.005220407,0.009463128,0.0005153993,0.001253964,0.0001856809,0.01655905,0.001073226,65.3014763899189,17.6762236956927,18.1832787881272,784876.449172397,94.3818796704122,95674275.133955,95.1080855868732,0.0526222152671625,-1.5654276,86.2992423275314,98418760,0.00338287311748001,0.000150346013616539,48.80986,9.0896351414071e-09,2.41741572021182,0.00716652262557155,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,0.4,2,8,0.4,1,10,0.4,2,4,3.056076,7,6,0.4,10,6,0.4,5,10,2.606945,30,10,0.4,7,10,0.8626105,136.4011,41,1,16.8508,508.8994,818.0081,18.60564,62.62002,563.9558,738.585,141.173,3966104000,80000200,80000000,131257000,9819708000,7982862000,97991840,4276431000,0.0003476526,1.005311e-05,0.003004606,0.000492621,0.002110763,0.06084523,0.0118641,0.001569611,108.203442149915,19.8163427772875,22.2005596435922,945.323222092136,90.763279063893,114830044.47721,53.5908357697471,0.0470686833244509,618.5,109.316338579497,128645900,0.00362169642526138,0.000160326466875419,48.57656,8.00981380490713e-09,0.467226616350105,0.000182207443067905,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,5.6,2,10,2.097932,50,10,0.4,2,6,3.056076,2,2,0.4,10,5,0.4,5,10,12.51801,50,10,0.4,3,10,0.3426356,55.85809,26,24,48.52103,609.3717,770.6361,32.92074,28.35196,724.5455,1049.022,233.5299,1415502000,18158850000,80000000,124608900,12440090000,42865490000,80892140,1332583000,0.0002179286,0.01015538,0.01848267,0.000365501,0.0003590201,0.0002814654,0.04494576,0.0008786439,83.1782065294857,17.9539071028831,36.056117027761,168442.74129947,82.5996278924893,43263666.7797816,89.9394034692248,0.0476187471018061,-29.156501,90.7175991795909,86884700,0.00150606726337697,0.000216388136634678,37.64893,1.54725643624631e-08,0.876557130495177,0.00854051941578354,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005555497,0.4,2,8,0.4,1,10,0.4,2,3,3.285445,10,4,0.4,10,8,0.4,5,10,1.568161,18,10,0.4,8,10,0.8626105,139.0677,49,22,16.99386,480.8683,502.7301,21.0621,239.3402,621.7433,773.1082,239.1078,3590414000,80000280,80000000,192441600,5744737000,5845145000,669373800,2307094000,0.0002783712,0.001896725,0.002047841,0.0008831209,0.001535624,0.02084617,0.01715048,0.001323948,105.63473397515,22.1811702566453,25.1804016722957,533.068480328274,98.6866134446937,132307072.476244,49.4692246956125,0.0438682248322774,516.5,106.773113311905,150197000,0.00372802333424579,0.00015653535029988,49.36168,6.69550162186296e-09,0.528576380211079,0.000104961157263217,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,13.82255,1,8,0.4,1,10,0.4,1,5,3.255507,2,6,1.188588,10,10,0.4,5,10,12.6918,17,10,0.4,6,10,0.997996,146.4583,34,32,17.0769,1040.396,62.9298,31.30671,376.0565,848.7039,1035.733,153.3706,2925587000,220295900,80000000,122781200,15992720000,8325820000,81948470,4007159000,0.0004558123,0.008800158,0.007072058,0.0005477423,0.001955347,0.0004850816,0.01268833,0.001814067,90.1863098534878,23.6518096999015,24.0873920450807,5596.86153343527,88.3218393286385,99579499.2388914,67.2644276865566,0.0537609462743018,466.5,91.1956914945809,101413400,0.00263139217734219,0.000159510068174702,51.89713,7.29073644840715e-09,1.12928242791108,0.000250981702421993,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
