Element,X,Y,Factor
CAPACITOR_0,2212,357,1
CAPACITOR_1,1942,224,1
CURRENT_0,152,448,1
MOSFET_0,158,154,1
MOSFET_0,321,157,1
MOSFET_0,533,161,1
MOSFET_0,753,160,1
MOSFET_0,1451,160,1
MOSFET_0,1596,164,1
MOSFET_0,2077,151,1
MOSFET_0,1105,131,4
MOSFET_10,1801,248,1
MOSFET_11,2283,247,1
MOSFET_17,788,345,1
MOSFET_17,384,342,4
MOSFET_17,511,343,4
MOSFET_17,379,460,4
MOSFET_17,508,460,4
MOSFET_17,1433,333,4
MOSFET_17,1585,339,4
MOSFET_17,1432,427,8
MOSFET_17,1587,423,8
MOSFET_21,1858,424,1
MOSFET_21,2014,422,1
MOSFET_23,2226,421,1
MOSFET_8,1013,236,1
MOSFET_8,1164,240,1
