MOSFET_11_1_L_gmf1_PMOS,MOSFET_11_1_M_gmf1_PMOS,MOSFET_11_1_W_gmf1_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,149,1.78,0.5,20,1.17,0.5,149,1.12,0.5,58,0.983,0.5,9,0.908,0.5,1,0.985,1.07,3,0.874,20,5,6,100,13,0.437098203580997,0.338795899016849,0.338795899016849,0.437098203580997,0.516738281426552,0.335934460923258,0.437098203580997,1276911737.56802,329948181.381424,309249277.712778,1064706865.79054,561163779.433516,491746629.203676,1064706865.79054,0.000188034414653271,0.000105738832016578,0.00110705635545598,7.99129804834577e-05,6.22353935120732e-05,0.0011839861680962,7.99129804834577e-05,10.0697926564523,6.41429597087508,6.97429909995805,6.48075524066581,2.83492117466425,11.9716553809535,0.519813925968549,85.2383005586591,92.4457628925811,1046.85626724419,25.4386072940338,103.629630947008,206849.257950788,165.986477099793,0.000677589468199762,291.900000000001,128.985560860998,2342362,0.000138118528242859,8.45004577282217e-05,47.6514,1.36196451961704e-06,1.35407876084848e-07,2.86102281167877e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,152,1.3,0.5,14,1.02,0.828,63,1.01,0.5,64,1.04,0.5,1,0.979,0.5,11,0.949,1.32,1,0.888,20,5,6,100,15,0.284253882668217,0.367945048274174,0.367945048274174,0.284253882668217,0.691962470482838,0.4389169982662,0.284253882668217,234444360.505567,413029564.062646,411149170.507491,207673147.776947,675679232.722264,570763106.918326,207673147.776947,0.000253779701382038,8.86911354630777e-05,0.00120782895286167,0.000113475925449818,3.43101886710175e-05,0.00106806561119612,0.000113475925449818,15,1.17525691885945,4.45582678221951,11.290431845914,-0.726481753699509,6.85029340905911,15,76.6939261506328,92.9624475260903,825.555627913954,20.0610017583091,88.9426277257437,230273.242305844,165.810079488552,0.00108541448001971,287.500000000001,130.660366020387,2044948,0.000152904727139536,6.47300240701766e-05,46.25004,1.33052451805049e-06,5.59515113222053e-07,0.000128552831607398,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,152,1.3,0.5,14,1.02,0.828,63,1.01,0.5,64,1.03,0.5,1,0.979,0.5,11,0.949,1.32,1,0.773,20,5,6,100,18,0.284253882668217,0.368295890725874,0.368295890725874,0.284253882668217,0.71769535465714,0.439313752799871,0.284253882668217,234443031.667862,412880956.209878,412176053.80847,207673147.776947,718409494.334651,572342917.933394,207673147.776947,0.000253778450556119,8.88066861107442e-05,0.00121209080018709,0.000113475925449818,3.20226455690615e-05,0.00107183494892822,0.000113475925449818,5.52323526699145,1.16240311037372,1.37810636538637,6.44141851736171,-1.09157997660941,2.08725508458797,5.13391672445399,76.6879919496518,92.6902537328864,819.097666719777,19.9040733012906,88.9290439611973,229995.377370389,165.807234040014,0.000693388859067606,286.100000000001,129.972978684843,2032454,0.000153168698379056,6.42016181339706e-05,46.59669,1.45855105582702e-06,5.57513172125268e-07,0.000128623516513326,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,122,1.09,0.5,8,1.32,0.296,95,1.21,0.5,90,0.981,0.5,1,0.955,1.33,1,0.886,1.06,1,1.17,20,5,6,100,20,0.505561204113611,0.39530279687944,0.39530279687944,0.505561204113611,0.616768578477273,0.347221157417558,0.505561204113611,340263627.762334,484146605.697537,496478461.117956,277888033.545349,835094605.829806,1318687668.66194,277888033.545349,0.000125254012322567,8.22643904139793e-05,0.00106612600829397,5.30643822067405e-05,4.38730252190664e-05,0.00149632004142056,5.30643822067405e-05,5.21187262344244,-0.0044969812306892,3.38212358774057,2.53568504086293,-5.63556308646071,9.23010899726539,3.33716008892811,80.6044899812896,51.8119434067504,855.891496512507,20.7981633652539,95.8439019409077,127428.803027519,165.631018411407,0.00114047105747938,285.200000000001,130.442648760699,2105021,0.000151817804512252,6.42999816952781e-05,52.60675,2.06859733946958e-06,1.71467279016513e-07,3.95952613291284e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,152,1.3,0.5,13,1.02,0.828,71,1.04,0.5,72,1.04,0.5,1,0.979,0.5,11,0.94,1.32,2,0.888,20,5,6,100,28,0.284507394261262,0.372100738429375,0.372100738429375,0.284507394261262,0.579569119310829,0.432111629890857,0.284507394261262,236317540.166,429855901.112575,423289521.689393,209309746.492746,484287622.51028,542260194.549477,209309746.492746,0.000253575775600439,8.65274367713124e-05,0.00125867197731483,0.000113374561332535,4.6823551586758e-05,0.00116062928338437,0.000113374561332535,5.50978037610044,0.937744924046752,1.17809234184465,6.42595196496879,-4.04577603353206,1.4232960083502,5.11845017206107,77.0878064964624,88.5658227372347,799.652220639568,19.4315489615415,89.5497648501601,227441.14152731,165.865138470988,0.00079285485860772,273.200000000001,132.411075388441,2053544,0.000158521382216955,6.3700964277395e-05,49.14395,1.41935298096258e-06,5.2969434291783e-07,0.000120305149140409,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,144,1.36,0.5,15,0.968,1,76,1.12,0.5,58,1.01,0.5,1,0.97,0.869,1,0.924,1.52,1,0.944,20,5,6,100,30,0.469897487008604,0.366180914927889,0.366180914927889,0.469897487008604,0.709146576525406,0.424708529624307,0.469897487008604,609671549.043217,409479292.431545,403807811.727406,501339641.08168,530582790.798156,366421309.220761,501339641.08168,0.000148506699670549,8.9112098279001e-05,0.00116734841049764,6.28897257671723e-05,3.29494125647563e-05,0.00106406028357109,6.28897257671723e-05,8.61675135691963,1.21807013699209,1.4686705174584,-1.0866672452786,-5.74505080187692,4.21762733644941,6.90763669644808,77.8460344736204,62.7741131659793,833.328159366307,20.2498742726013,92.1768813061007,152141.515651908,165.78977788754,0.000470680040124486,270.800000000001,133.395914992174,2019683,0.000149607077022648,6.42429968196168e-05,45.71957,1.78688098931454e-06,3.90120352791179e-07,7.6148339028359e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,109,0.859,0.5,5,1.21,0.5,98,1.16,0.5,90,1.02,0.5,1,0.92,1.42,1,0.85,0.778,1,1.04,20,5,7,100,37,0.532874919035213,0.457343609130333,0.457343609130333,0.532874919035213,0.614520379962099,0.396937342472474,0.532874919035213,339146836.675892,658274397.217924,679995371.867334,277953740.526791,1481260323.03593,961217267.559834,277953740.526791,0.000131178733007273,7.41476619058521e-05,0.00118915652425428,5.57904982571149e-05,5.1805456078399e-05,0.00184009245566235,5.57904982571149e-05,-4.60359236039851,-2.99406447031432,3.90369375580891,-0.681949847719069,-3.78954491667185,3.63527646618995,-0.440360301515455,83.1782566235087,41.6954738637119,678.164955459436,16.4794084176643,98.6333557499539,135609.455327456,165.641865903521,0.00164955227156101,257.8,132.023955327256,2205649,0.000200764093961871,6.78395451525209e-05,54.27372,1.86043540930776e-06,5.42585093157855e-08,1.11087440574087e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1,0.5,14,0.905,1.1,85,1,0.5,96,1.01,0.5,1,0.964,0.5,1,0.952,0.5,14,0.96,20,5,6,100,46,0.434643777751087,0.369933105782993,0.369933105782993,0.434643777751087,0.340024196720558,0.439272074925619,0.434643777751087,1261384991.65153,438876012.250176,427806140.471957,1052291352.35604,524225941.445169,346569370.71603,1052291352.35604,0.000178760419189302,8.3793684208673e-05,0.00128938126387788,7.60154799269213e-05,0.000104062973680005,0.00113928941291795,7.60154799269213e-05,10.6748371331422,5.44061396276287,0.884644997274457,7.64240799595136,12.3675573867121,0.753142616158099,9.49170027424115,78.044237266445,72.6796515430606,794.457723412005,19.3053226789117,92.3338931214732,189440.329967328,165.959100383197,0.000526445730684159,245.600000000001,130.12457715162,2070763,0.000160895756660572,7.63313239862513e-05,49.60349,1.56180130643757e-06,4.63885189739277e-07,9.12156584352841e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1.09,0.5,11,1.24,1.11,122,1.07,0.5,117,1.05,0.5,1,0.963,0.5,24,0.99,1,1,0.97,20,5,10,26,45,0.267695914066707,0.414438434890554,0.414438434890554,0.267695914066707,0.722465413427089,0.457923897723594,0.267695914066707,179841383.183042,533795426.562376,549712963.931751,160084568.350701,1239858243.97735,382130577.49473,160084568.350701,0.000426755504025724,0.00012374119495482,0.00203282585971667,0.000191556637838502,5.3227073392575e-05,0.00200573319754009,0.000191556637838501,5.89523456892945,1.37869236906328,1.73444896320562,6.88886095303918,-7.70000693793271,1.08868449627096,5.58135916013146,76.3348879142794,77.4770465134471,659.435879527625,16.0242918725213,86.4686662487018,360728.375503787,166.42572337232,0.000681358855681528,226.600000000001,129.803918095376,3070293,0.000287403620493052,6.24997270020502e-05,45.54056,8.70059851036001e-07,5.70845084080229e-07,0.000135225145267537,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
0.5,200,1.14,0.5,8,0.92,0.637,75,1.19,0.5,93,0.952,0.5,1,1.01,1.07,61,0.965,0.863,1,0.975,20,5,9,25,52,0.232692386090034,0.458070670531289,0.458070670531289,0.232692386090034,0.676042049986962,0.501379991250668,0.232692386090034,36801721.167373,668254435.312502,668951159.935961,33165046.3329911,1460540644.81237,1331856326.42036,33165046.3329911,0.000378264476684686,9.21897704466075e-05,0.00283968216968367,0.000172438200110958,5.4193112372194e-05,0.00300943926374543,0.000172438200110958,5.748208916217,-0.905837676785586,-0.523527344499247,13.5383648874627,0.38737349250589,-1.64712207306497,5.48153400443657,79.0335726938966,40.5767537697744,376.424856723529,9.14712401838176,90.9824162679381,256016.264745096,167.136740275739,0.000909552690539446,199.4,128.195366199215,2375027,0.000389471105108101,6.36723286847204e-05,57.79308,1.08338236804233e-06,2.55537674768158e-07,5.75564119077443e-05,"Ramos_PFC_Pin_3",180,1.8,0.4,100,4
