Element,X,Y,Factor
CAPACITOR_0,2153,289,1
CURRENT_0,118,439,1
MOSFET_0,189,172,1
MOSFET_0,339,178,1
MOSFET_0,554,179,1
MOSFET_0,762,181,1
MOSFET_0,1124,173,2
MOSFET_0,1402,178,8
MOSFET_0,1612,179,8
MOSFET_10,1869,265,1
MOSFET_11,2301,262,1
MOSFET_15,1404,324,1
MOSFET_15,1612,332,1
MOSFET_17,760,339,1
MOSFET_17,340,351,4
MOSFET_17,338,442,4
MOSFET_17,538,354,4
MOSFET_17,541,451,4
MOSFET_17,1444,497,8
MOSFET_17,1608,501,8
MOSFET_21,1870,499,1
MOSFET_21,2035,503,3
MOSFET_23,2246,500,1
MOSFET_7,2082,146,1
MOSFET_8,1019,252,1
MOSFET_8,1173,253,1
