MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_15_2_L_gmc_NMOS,MOSFET_15_2_M_gmc_NMOS,MOSFET_15_2_W_gmc_NMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_7_1_L_gmf1_PMOS,MOSFET_7_1_M_gmf1_PMOS,MOSFET_7_1_W_gmf1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS23,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft23,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm23,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
4.28,26,0.935,0.872,18,0.701,0.562,95,0.857,0.213,53,1.15,7.28,1,1.01,2.84,1,1.22,1.34,8,1.21,2.2,133,1.07,3.99,100,0.983,1.15,0.345,80,1,0.377912214719044,0.307813959428412,0.307813959428412,0.164313308903782,0.377912214719044,0.544564625773236,0.477154580005603,0.377912214719044,0.377912214719044,5722514.67973724,93822906.3870927,196319450.58363,25053300.7299515,4625531.0181421,93580896.5788449,304022982.254568,4625531.0181421,4625531.0181421,1.04657904470568e-05,2.46986700633216e-05,0.00022582841284882,9.48516940383814e-06,4.5082722291619e-06,1.27369825009476e-05,0.000144755237070537,4.5082722291619e-06,4.5082722291619e-06,3.24660464813385,6.9663214211633,7.96611472708469,15,5.33112804595771,0.905297343237262,3.92242452948081,2.23330204192939,2.23330204192939,110.784688381438,10311.8770633993,15883.3254751026,48.245601130624,105.508535580725,449931.09399569,57.7610043714615,0.000608292983025686,1061,135.310790668617,693026.3,2.15468234541315e-05,0.000353236367824936,49.75012,8.32601961856014e-06,3.59059268760786e-07,4.62721944507472e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.28,30,0.935,0.872,19,0.769,0.632,95,0.857,0.213,53,1.15,4.06,1,1.01,2.84,1,1.22,1.34,8,1.21,2.2,163,1.02,4.47,100,0.983,1.15,0.345,71,13,0.343837164039082,0.303069078499864,0.303069078499864,0.153895905265935,0.343837164039082,0.549442118039629,0.46027437062727,0.343837164039082,0.343837164039082,12545329.6198815,87883550.475969,150980776.496446,25168607.3202369,10394574.7572853,95391726.866982,275667028.590384,10394574.7572853,10394574.7572853,1.16415971522111e-05,2.62371447980849e-05,0.000189441741108951,9.55467703971519e-06,5.07918641517586e-06,1.30344186903488e-05,0.000127894557805804,5.07918641517586e-06,5.07918641517586e-06,4.683832393122,7.90785984219544,5.94026635636737,15,6.89947216262223,0.672854847411498,4.11574920448253,5.49961940993668,5.49961940993669,110.898837089001,10633.0189398248,15497.8827589671,47.0748188803625,107.188721693483,427255.332387939,59.9676643867343,0.000873441563408914,1041.6,135.704151257033,622735,1.98429334879431e-05,0.000241732817522623,46.12161,8.28392202575171e-06,1.92241710452734e-07,4.85400546721415e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
8.4,13,1.01,0.763,48,0.896,0.373,43,1.28,0.396,4,5.3,16.6,1,0.697,3.28,2,0.449,2.66,21,1.01,1.48,77,0.998,7.07,19,1.02,1.15,0.1,77,11,0.356318964821672,0.227410928134053,0.227410928134053,0.18948424184735,0.356318964821672,0.560195473505467,0.33852308807761,0.356318964821672,0.356318964821672,1054509.42898044,39638622.3283656,109104196.739521,14847149.4510412,858957.319373568,78080440.305005,27103525.8003837,858957.319373568,858957.319373568,2.96166038425789e-06,2.56652477358777e-05,5.45295125519511e-05,2.59053560985936e-06,1.28657358185025e-06,9.34593037677562e-06,4.18930086493779e-05,1.28657358185025e-06,1.28657358185025e-06,3.19319698447218,8.90150930744905,9.63486289695734,14.0901430999962,5.31309996229564,-0.24213521213819,8.10195895035165,2.21527395826732,2.21527395826733,109.915069576874,10761.6780270203,13098.3111233824,39.786120037274,101.099662374409,174643.967601346,52.3057127281524,0.00134008627307206,985.4,134.531311622566,212563.6,8.01398577446825e-06,0.000233656673846143,50.74851,2.27351874443821e-05,6.31940185001345e-07,5.22676991114857e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
6.79,15,0.897,1.29,30,0.896,0.622,64,0.891,0.306,14,2.3,17.6,10,0.989,2.86,1,0.81,1.8,12,1.01,3.01,90,1.03,3.26,1,1.02,1.15,0.162,77,23,0.229861353856914,0.261075702681245,0.261075702681245,0.146505836668912,0.229861353856914,0.528995805053899,0.376385836144291,0.229861353856914,0.229861353856914,209228.34714934,25223191.3485671,90671543.4687602,17325900.9953489,189094.837247643,87588075.5728238,83440704.4118976,189094.837247643,189094.837247643,5.941474658857e-06,1.71466642599558e-05,7.07115953431851e-05,4.1094542895297e-06,2.76434528589808e-06,7.92365148935061e-06,5.49595736075501e-05,2.76434528589808e-06,2.76434528589808e-06,6.5544994941567,7.60251351809722,8.63156946057418,14.2628546627249,9.33293132199033,0.948683205818437,6.5992678450221,6.23510531796201,6.23510531796201,99.6577463775932,9412.61778274785,10814.2843608381,32.8483887460457,94.6327002407752,164388.08267743,60.0304150243858,0.000520823983351305,956.999999999999,134.321825181179,188867.7,8.62451891294376e-06,0.000232378537632705,57.24114,7.80098317464833e-06,6.63005403117589e-07,7.76946641549703e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
5.3,15,0.825,0.293,19,0.814,0.485,95,0.603,0.192,53,0.22,8.99,6,1.06,4.92,1,2.06,0.565,2,1.22,1.65,45,0.982,5.87,24,0.994,1.15,0.331,100,21,0.267015272151357,0.236584208366366,0.236584208366366,0.103563846563154,0.267015272151357,0.528206434350775,0.42395469803317,0.267015272151357,0.267015272151357,1158889.06622845,227053129.737922,106836761.225688,130744441.886381,1017906.00452839,30195731.6668001,1033619075.56926,1017906.00452839,1017906.00452839,1.20230874704954e-05,2.77157874505916e-05,6.78866306965742e-05,9.61479495837216e-06,5.49221863534065e-06,1.18808500249343e-05,4.95342908661583e-05,5.49221863534065e-06,5.49221863534065e-06,6.21343182594888,14.4937137318318,10.2177112185663,15,8.84624296312801,1.05323479786266,3.60140319121916,5.74841695909969,5.74841695909969,101.529058204086,23375.8914467383,24276.4785673392,73.7398036482928,92.6656401192762,576758.034263602,50.8793567471131,0.00155717358099704,955.6,134.020444648578,598978.4,1.21842960727873e-05,0.000194678751991125,50.96548,3.91234275137004e-06,1.27411732838922e-06,0.000122148324158133,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.69,30,0.969,0.872,29,0.769,0.641,109,0.857,0.18,33,0.412,5.27,1,1.05,2.84,1,1.22,1.03,6,1.21,2.19,141,0.958,5.6,100,0.978,1.15,0.345,81,27,0.356410754335211,0.270716615319835,0.270716615319835,0.151963121658724,0.356410754335211,0.534746775312454,0.429249169994054,0.356410754335211,0.356410754335211,8632720.26954955,61132935.4145344,99363761.0485079,120601102.695559,7076222.63286064,89927119.3325167,368364112.079932,7076222.63286064,7076222.63286064,1.12139612091505e-05,2.52474615162539e-05,0.00013299845524016,9.8073032575172e-06,4.8675631973411e-06,1.21382590640667e-05,9.37157234657931e-05,4.8675631973411e-06,4.8675631973411e-06,4.74478266039763,8.54956112265295,7.001443079348,14.4613970083157,6.34974614964435,1.03942928355766,4.25858016854655,1.64757673130939,0.367182177171202,116.981372973607,14268.6025611808,19398.1583753792,58.9219060652144,104.068055111486,445056.279738896,62.222165544121,0.00113027890508799,953,136.119603882057,605053.8,1.540311168813e-05,0.000218274140557792,43.95653,1.0099581546418e-05,2.17826747123118e-07,1.49888532317011e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.28,26,0.935,0.872,18,0.701,0.562,95,0.913,0.213,1,1.15,7.28,1,1.01,2.84,1,1.22,1.34,8,1.21,2.55,133,1.07,3.99,100,0.983,1.15,0.1,100,38,0.295553113910012,0.227478874615871,0.227478874615871,0.238138877925435,0.295553113910012,0.411085084095052,0.366203865700232,0.295553113910012,0.295553113910012,2422261.7115461,34383662.0993299,62805761.8621868,339015952.034635,2116526.83480016,44193201.2132082,132353852.580088,2116526.83480016,2116526.83480016,3.57164853677099e-06,7.33145320136892e-06,6.53875897587911e-05,2.51297251972781e-06,1.61876961463647e-06,5.01993068119268e-06,4.99965236211116e-05,1.61876961463647e-06,1.61876961463647e-06,5.71262134129271,10.1093554027261,15,13.7240748072042,8.19266779906216,5.48871404018664,6.36851076535704,5.09484179503384,5.09484179503384,106.654060947814,16726.7553965078,18389.223814877,55.8572673376889,94.5740901503181,190383.251855138,57.9970444591791,0.00112864666576132,935.2,135.491349982018,209305.4,5.62072072201358e-06,0.000255841952026015,43.96556,1.83727866778503e-05,8.57359003547664e-08,4.37131530129919e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
5.02,30,0.974,0.872,19,0.864,0.55,54,0.91,0.206,28,1.54,3.71,1,1.2,2.84,1,1.22,1.28,10,1.25,1.93,184,1.02,4.47,100,0.984,1.15,0.345,78,32,0.331135112303583,0.321936952235122,0.321936952235122,0.160431643037944,0.331135112303583,0.599921020638303,0.426744470079876,0.331135112303583,0.331135112303583,12492856.5869983,102154807.01197,233601939.596493,35618983.3117986,10491156.1399981,113967179.155351,242281947.804949,10491156.1399981,10491156.1399981,1.2029191076483e-05,3.63260638222281e-05,0.000165383522348269,9.44199933703636e-06,5.29583090326488e-06,1.61006425993148e-05,0.000130799972342231,5.29583090326488e-06,5.29583090326488e-06,5.27022928595306,8.72024838076224,6.63515492682799,15,7.57550775035597,-0.535144074774307,4.13182665677476,4.47768174632765,2.86761723979689,110.637279179556,10237.9250300333,13549.558644701,41.1567843832794,109.048640198704,445067.600325046,61.4893843846237,0.000990719622440296,929.6,135.683434025841,589032.4,2.14678725084984e-05,0.000222957577101713,47.00348,4.58943414055636e-06,2.61210589087568e-07,5.25833925131281e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.37,15,0.876,2.4,57,0.702,0.632,60,1,0.18,1,0.957,10.4,1,1.05,5.68,1,1.02,2.54,8,1.06,3.01,156,0.987,6.18,1,0.978,1.15,0.1,68,9,0.313011137666582,0.247535563380109,0.247535563380109,0.218971578803245,0.313011137666582,0.539995462363813,0.407748050375318,0.313011137666582,0.313011137666582,1501086.45753542,7055941.52297202,70142711.5600446,457582002.469207,1278221.53691879,23960010.8659272,55298730.3019992,1278221.53691879,1278221.53691879,3.4721635327964e-06,1.23411738310782e-05,5.6602489076369e-05,2.62982263573412e-06,1.55151056274904e-06,5.41515704006109e-06,3.87113097516423e-05,1.55151056274904e-06,1.55151056274904e-06,2.02253453555639,10.8542461991331,10.5787600403977,10.5120296226826,7.67202487911404,0.715163300458029,5.34191132490627,-1.47515758548557,4.51926818813504,112.620432305682,6887.85645171152,8686.936316311,26.3865690607947,105.3087073198,85631.8990607851,49.3065180275387,0.000663081268191861,1026.4,131.842440756031,107998.6,6.13940750033689e-06,0.000238731771653894,52.23287,1.04809568669019e-05,1.17636682157585e-07,2.43046705467043e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
4.37,15,0.876,2.4,57,0.702,0.632,101,1.03,0.18,1,1.06,10.4,1,1.05,6.17,1,1.02,2.38,8,1.01,2.87,164,0.987,6.18,1,0.978,1.15,0.1,69,32,0.313011137666582,0.25280777020969,0.25280777020969,0.217205650724818,0.313011137666582,0.562217510329729,0.459803701974983,0.313011137666582,0.313011137666582,1501537.1089338,7549284.68985628,75527774.1160828,415560168.023227,1278221.53691879,22127610.2145831,89672802.3893833,1278221.53691879,1278221.53691879,3.47259573912797e-06,1.3419281187621e-05,0.000106553323036639,2.63895012636343e-06,1.55151056274904e-06,5.51632793620725e-06,6.16093802202813e-05,1.55151056274904e-06,1.55151056274904e-06,5.26653561908191,7.62079320692661,11.9904176383826,14.9907087080552,7.61709419216336,-0.110732907727641,3.36084133204071,4.51926818813504,4.51926818813504,103.029936271065,4908.29618091916,6765.51015457397,20.5502370945184,97.8494903886091,87183.7022375514,49.5862178432677,0.000600684782171545,967.8,131.119489582519,120172.5,8.7716141264415e-06,0.000281716302000947,60.81604,9.31145409774452e-06,9.86526941848531e-08,2.60092004382706e-05,Sau_CFCC_Pin_3,180,1.8,0.9,800,10
