MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6,1,2,10,1,9,2,1,9,2.5,10,20,7,14.292,5,10,30,1.06502236721684,0.667015148983715,0.602428242826184,0.590100126111278,58328040.3969768,14486324.4432214,25021495.0530619,777207278.037923,8.76313103033256e-06,1.53204755424651e-05,2.23689142228923e-05,0.000184519943746531,-1,6,4,-15,97.0555660005212,105.783956206564,36.6130385613989,24.7138010289442,118.933128957204,2658397.16567535,76.1837252961549,0.000267820818157247,349.600000000001,91.8793827236927,920101.7,5.5845418047333e-05,0.000110352408335398,75.27898,7.3887487593322e-07,7.37332658889978e-07,0.000130895331487135,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
10,5,2,10,4,2,3,1,7,2.5,7,20,2,7.98,5,13,35,0.619213464641141,0.694948290528822,0.830329985922091,0.794255808448488,12695460.7439318,15124116.8083174,77187847.352156,439803796.392567,1.54857971925845e-05,1.42911023674312e-05,1.45907602521591e-05,0.000124991377583239,-5,-15,-4,-15,89.800232372111,97.1972277043992,32.0737538485082,21.6497838477431,122.160279679661,2434367.10034337,60.0283266466757,0.000333503315773153,340.150000000001,93.4778841956442,803307.8,5.56569852370889e-05,0.00010793007495001,63.34704,9.69144272137749e-07,1.35223723640943e-06,0.000142883561714102,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
5,1,2,10,1,8,2,1,9,2.5,10,20,10,11.1,5,7,36,0.958060631781827,0.708479739059254,0.529537975253939,0.591610021279042,77651998.1554227,15301926.8362446,21496727.5787996,779420709.926166,9.7665097985804e-06,1.4422698880476e-05,2.65914157439899e-05,0.0001851428892984,-1,6,1,-15,88.2061451083061,108.847262604899,34.0964707525724,23.0151177579863,118.432821418061,2750561.65591481,83.4625664594613,0.000386901152953798,318.850000000001,92.4445923250529,861615.1,5.61553785468477e-05,0.000118094197356104,72.95581,7.46978866060943e-07,1.60601674700001e-06,0.000363378762555211,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
4,1,4,4,1,6,3,1,7,2.5,8,10,3,5.77,5,10,13,0.592085748899951,0.487260628167451,0.766717528256295,0.802308397717211,80864033.0566564,74508467.8549462,52541771.5345923,444516719.306948,1.61831352135149e-05,2.10641294607606e-05,1.67716060861588e-05,0.000126445970528624,-3,-8,0,15,85.5869754976845,111.898970680281,44.6182331369718,30.117307367456,123.111462950405,2864064.99594796,57.5877591159788,0.000385530933809351,391.300000000001,91.303847177327,1142008,5.6877993078858e-05,0.000109754097641428,53.03104,1.06252315009992e-06,1.03806448985333e-06,0.000187345977515019,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
4,1,4,4,1,6,3,1,7,2.5,8,7,3,5.77,5,12,58,0.592085748899951,0.487260628167451,0.766717528256295,0.802308397717211,80864033.0566564,74508467.8549462,52541771.5345923,444516719.306948,1.61831352135149e-05,2.10641294607606e-05,1.67716060861588e-05,0.000126445970528624,-3,-8,0,15,85.5869754976845,111.898970680267,44.6182331369718,30.117307367456,123.111462950405,2864064.9959476,56.3236184917127,0.000385530933830399,303,91.303847177327,1142008,5.6877993078858e-05,0.000109754097641428,53.03104,1.06252315010068e-06,1.03806448985333e-06,0.000187345977515019,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
5,1,3,7,9,2,3,13,8,2.5,8,4,4,7.98,5,10,21,0.7763625706643,0.378242704599669,0.681913878583568,0.756297136943186,65314948.282029,17997913.678211,45898221.6604837,417621225.092389,1.21961766021303e-05,2.60342099351179e-05,1.9251453762488e-05,0.000134933217635322,-5,-15,-6,-8,88.4716525222981,113.46670733747,53.8732112590855,36.3644175998827,126.529776403935,2875928.40140328,59.978329419883,0.000378074081827092,379.000000000001,97.5026042276483,1365471,5.63244686752967e-05,9.99454859868893e-05,52.12219,9.58473890684539e-07,1.44450046776878e-06,0.000192578340434846,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
5,1,2,7,9,2,3,10,8,2.5,8,4,4,7.98,5,12,43,0.958060631781827,0.377484061214416,0.680892415757112,0.755091932705678,77651998.1554227,17962604.1701129,45817686.0053982,416904248.868258,9.7665097985804e-06,2.59796581322264e-05,1.92138120124025e-05,0.000134679395956803,-5,-15,-7,-15,88.4797878491415,113.549354475604,53.9550956890819,36.4196895901303,122.688232754657,2870216.59367165,59.332958800316,0.000376558802181456,331.300000000001,97.7141667711756,1363837,5.61716896278654e-05,9.83908467724048e-05,52.13154,9.59093160608252e-07,1.24922090531054e-06,0.000192171827015919,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
9,3,3,10,17,5,3,1,10,2.5,8,4,4,12.4,11,22,45,0.927052612952634,0.318829150709567,0.93305640189187,0.951054598683419,22683582.5099729,7059801.64280389,65369230.8670998,529203390.758337,2.25713154295959e-05,6.74238964389595e-05,2.82284077352732e-05,0.000217613774889851,-5,-15,2,-15,98.833150034884,103.45816477618,57.2949710703054,38.6741054724561,135.930095270858,5689786.62226559,69.6527099257452,0.000280006900622783,323.050000000001,101.934656070513,3150995,0.000122213363237741,8.05742924784309e-05,58.98919,4.12979737925962e-07,5.47808247989279e-07,4.98309061298663e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
10,3,3,10,17,4,3,1,10,2.5,8,8,4,13.4,12,51,63,1.02817814311525,0.371030969759373,0.967038893696536,0.986518510041122,19984042.2035218,8274215.3268469,67934646.8724935,548459338.804664,2.21033851504541e-05,6.40308331010129e-05,2.94027954126071e-05,0.00022605953242301,15,-15,-3,-15,96.3388759261207,101.827622676397,52.6132325382475,35.5139319633171,132.913604588676,6097925.06128983,69.1483911598817,0.000197740791215317,315.450000000001,101.396838926296,3150732,0.000133077294986138,8.14298840889158e-05,64.18609,3.48306270727203e-07,7.32416363921074e-07,5.71193492509003e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
5,3,2,10,17,5,3,1,8,2.5,8,4,4,12.4,5,17,56,0.546529062144329,0.210938407696589,0.684374158620018,0.758889510565721,46655175.2482532,4778210.45266565,46092186.9502503,419161950.963804,1.73885600273442e-05,4.33342602110194e-05,1.93420806221935e-05,0.000135478611243349,-5,-15,-3,-15,97.501051551777,112.401831366646,75.7934697689883,51.1605920940671,123.608094813121,2864473.80250563,69.2423280948872,0.000304572911692622,309.500000000001,101.63774363774,1931538,5.66316158865563e-05,9.20492023462894e-05,46.69397,8.44355206409096e-07,9.45811988984913e-07,0.000111198134585155,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
8,20,2,10,15,10,2,14,9,2.5,6,12,4,14.292,5,12,37,0.268761697169398,0.156809594360579,0.607717120348016,0.597158205304215,8320493.16696429,3722876.40179933,73077842.4389341,787528422.632651,3.17166591518892e-05,5.58107728654466e-05,2.27204572475818e-05,0.000187423907639678,-7,12,-1,15,107.243403459758,109.785494167766,100.729760224781,67.9925881517268,137.366920894317,2791480.21499682,83.3184253331759,0.000328230136230132,343.100000000001,98.599020127928,2561223,5.65037249564154e-05,7.99627262882064e-05,56.41492,5.75840302816115e-07,3.41307477100816e-07,2.2619452749062e-05,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,10,0
