MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.6,1,0.3,0.36,1,0.3,0.48,2,0.78,0.25,1,1,0.3,5.85,5,10,11,0.833086963910433,0.867276502980488,0.617387708060855,0.800180183567494,2680939148.89904,5694630987.18852,2455742664.87426,8778040306.14281,1.79337301021544e-05,2.28245286251233e-05,2.66893125090183e-05,0.00024233807645123,-4,-7,11,9,39.2995746136974,89.8267393752564,106.874876272087,272.530934493821,38.7515946253624,8383905.95303413,17.4139254621122,0.111956947337316,411.150000000002,51.8964442389626,9975080,5.490246466072e-05,0.00046961897246259,74.1441,0.111956947337316,9.22883478425729e-06,0.00387225398770863,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.521,2,0.85,0.364,1,0.3,0.351,4,0.842,0.25,1,1,0.695,6.94,5,13,30,0.52740383861466,0.962980737212143,0.535473645017522,0.797213293995358,1691917345.44083,5831690836.7661,1711971410.94362,9573410396.30475,4.40692135823408e-05,2.36810816838167e-05,3.87822134600016e-05,0.00039517807840909,-9,-12,-11,-11,38.3214235623926,95.8643392515523,121.520906723146,309.878312144022,37.9603869888137,9303220.75785965,17.6245927045138,0.00375053674536357,363.350000000001,50.8576284241032,11793080,5.70856988267653e-05,0.00047880612576746,82.7076,7.86529221466979e-08,1.38618527453582e-05,0.0017118531968654,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.392,2,0.641,0.49,2,0.3,0.429,3,0.822,0.25,1,1,0.392,7.25,5,15,40,0.522816708838967,0.834809134380962,0.597237765807838,0.797673197493652,2851209267.19568,2845027269.46309,2268475455.1448,8591176398.83196,4.45372659377624e-05,2.90815196064998e-05,3.11992250020816e-05,0.000324064318867699,-13,9,-11,-11,40.0419061149851,123.064818492666,156.808465171655,399.861586187721,40.1867419899369,12115234.2851044,17.6474490507835,0.00275313853425972,338.600000000001,53.0903459125514,15437160,5.79093886481238e-05,0.000408413263200642,78.20717,5.19868450511101e-08,1.12736041877559e-05,0.00130315231358746,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,2,1.33,0.779,3,0.978,0.492,4,1.24,0.25,0.781,1,0.668,5.26,5,19,47,0.558673757780705,0.794238817590426,0.516539301008508,0.798668446329908,531069378.015077,755825197.685625,2501510050.67562,5065527688.70912,3.99964097906566e-05,4.67278400821296e-05,4.26124131661576e-05,0.000398508785623263,-6,-5,11,8,54.8318043767256,243.472058214639,265.606954522927,677.297734033465,55.2918553693415,23217569.5530179,17.5859292617706,0.0016920319727172,329.000000000001,58.7098732484052,25328360,5.60942966304429e-05,0.000313430535135313,71.90454,2.88435317726021e-08,6.48028695851899e-06,0.000787784186943363,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
0.672,1,0.3,0.415,1,1.06,0.565,7,1.07,0.25,1,3,0.3,3.34,5,20,51,0.865386829220908,0.867010323422765,0.479385391161672,0.798686736548868,2253591980.46346,2949361476.07776,1488145108.68506,3417008191.08453,1.6850283431643e-05,3.95477460994205e-05,4.41578519201607e-05,0.000440580175997395,-9,9,-3,-7,44.1248765913243,170.077137889695,221.567730306458,564.997712281468,44.1992252832794,15954261.7469335,17.2064886016874,0.00178856865796256,324.500000000001,56.965482390141,20784390,5.51800198873524e-05,0.00033600269548011,72.59706,3.65050716332131e-08,8.39224804925931e-06,0.000940416508088071,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,3,1.6,0.859,12,0.584,1,4,1.09,0.25,1,1,0.457,3.34,5,37,23,0.495711900573457,0.653884572997458,0.583093932535854,0.799643654270275,418166136.531569,442377558.837246,2126793143.86081,2003657827.12823,5.14999904157424e-05,6.32453713633671e-05,3.34589304085145e-05,0.000287562427231733,-8,-14,-13,1,70.3812438341255,256.202591270115,310.61680037714,792.072840961706,74.720938113531,24582100.8536245,17.6369992912627,0.000441524881773171,372.300000000001,65.0863684553331,29803030,5.64399417428849e-05,0.000292014676890924,50.26254,4.4481663025136e-08,1.57955940633447e-06,0.000218471475054938,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,3,1.33,0.68,12,0.402,1,4,1.09,0.25,1,1,0.457,5.17,5,27,34,0.51259621209708,0.655162340633539,0.582892475497225,0.799623815135421,449646327.144674,731632883.988235,2125417190.23677,2001945238.26363,4.76790544788388e-05,6.11749662108666e-05,3.34334469236194e-05,0.00028726979842442,-1,-10,7,-6,67.2919739307296,253.414572358587,305.743685965398,779.646399211764,70.4832071104294,24277385.3113334,17.7179186136521,0.00059985953082063,349.500000000001,64.2254017604531,29290570,5.63535662377456e-05,0.000284982990920891,56.64949,4.07233033673929e-08,1.84818229087558e-06,0.000249436382404822,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,3,1.6,0.68,12,0.402,1,4,1.09,0.25,1,1,0.457,3.34,5,30,51,0.495711900573457,0.655081036282195,0.583082949623286,0.799625161658455,418166136.531569,732033221.565641,2126718133.88711,2003656963.05151,5.14999904157424e-05,6.12251532427847e-05,3.34575411332188e-05,0.000287562438798232,6,14,4,-14,68.7903418195779,254.933503389147,303.180317309916,773.109809140285,72.9770660424369,24460145.2911018,17.4809793775978,0.000691273551748097,323.500000000001,64.1605995878015,29089290,5.64395050795202e-05,0.0002926675894252,51.93034,4.4548985192432e-08,1.86035752233249e-06,0.000248029414472439,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,4,1.7,1,18,1.06,1,5,1.54,0.25,1,1,0.959,3.9,5,100,15,0.4648138225285,0.679939267781713,0.506097511287698,0.799886482268913,361870287.430739,235958950.013117,1485370235.98528,1535091273.03376,5.89896449191586e-05,8.35466796666887e-05,4.47692674455663e-05,0.00036552196296712,13,-8,14,-8,77.2544373030971,256.599018510132,395.340921136819,1008.11934889889,86.0549073547139,24717189.7893534,18.6098898438438,0.000216934440145827,366.550000000002,66.9445310614501,38081660,5.66624279777902e-05,0.000269184670084002,48.50573,3.6981304312405e-08,3.80784315472393e-07,2.64817274744367e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
1,4,1.7,1,18,1.06,1,5,1.54,0.25,1,1,0.959,3.9,5,100,18,0.4648138225285,0.679939267781713,0.506097511287698,0.799886482268913,361870287.430739,235958950.013117,1485370235.98528,1535091273.03376,5.89896449191586e-05,8.35466796666887e-05,4.47692674455663e-05,0.00036552196296712,-7,-6,10,-10,77.2544373030971,256.599018509514,395.340921136819,1008.11934889889,86.0549073547139,24717189.7892939,18.6098898438438,0.000216934440171853,364.250000000002,66.9445310614501,38081660,5.66624279777902e-05,0.000269184670084002,48.50573,3.69813038764611e-08,3.80784315472393e-07,2.64817274744367e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,1,0
