MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av3,av5,av7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.32,4,2.14,0.06,1,1.43,0.06,14,8.64,0.151,1.09,2,1.4,0.507,41.6,29,50,57.3311352452063,3.70546487450724,57.2789567730194,7.30012917980408,263579003.860755,30466923976.5296,1024243380.47481,10511816893.7204,0.000185795255883892,0.000266124259740228,0.000205079288814255,0.00587036223122715,16.2508265132876,35.3560746501668,424.84485672044,739895.047793468,21.5430213683539,8860180.61916726,13.8494187603668,0.165194916357026,-54.9236828435924,28.9445874772254,106465500,0.000455633705578819,0.000307172581292046,62.25328,3.301754435948e-09,0.000358767443502294,0.0624485135114627,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
1.55,14,0.992,1.11,4,1.64,0.06,20,0.515,0.151,0.44,4,2.14,0.05,52.7,37,56,61.5475325659014,43.6473954186228,43.6730572793597,6.23042971695328,187579754.903242,370025953.081066,2093485231.8812,60131858670.5462,0.000254707967296068,0.000168728772709924,0.000446741633370997,0.00367417270310067,38.8993940477649,146.185527618405,339.914250659166,651.883252181422,38.8953393498142,44820607.8085598,14.4543903365033,0.0591390425494678,1433,36.8758888579846,104218000,0.000557456100648373,0.000369163080939634,59.46275,2.18218116445992e-09,3.82719639442661e-05,0.0105210066672772,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
2.99,20,1.81,1.13,4,1.64,0.06,10,2.59,0.151,0.617,3,2.27,0.05,52.8,41,51,91.6822618416143,35.5987725779468,49.3626935410691,7.08263135064838,43282481.4921551,366367370.404689,1532832739.90244,37940582546.8051,0.00028624087600948,0.000170744343359816,0.000383154654884858,0.00520255462289745,32.0234986607542,61.78166588152,337.469078199435,409.323888301267,35.0046385696877,19038625.1345736,17.2542788895972,0.0443168944627398,1570,39.4264077895558,103994400,0.000560290525821112,0.000351011346558924,59.21307,2.46437360263897e-09,2.79804849121884e-05,0.0059265992136992,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
1.32,4,2.14,0.06,1,1.43,0.06,12,8.91,0.151,1.09,2,1.4,0.507,41.6,28,35,57.3311352703018,3.74732303975341,57.2844109391937,7.27158414588863,263579003.584884,30495366068.2794,1023043955.70836,11598640737.4596,0.000185795255670479,0.000266277038812147,0.000204817971601861,0.00576997828266015,16.4512324838689,39.0210490915722,431.496161280298,652735.552581872,21.6009270626788,9777215.5096489,13.8189724654187,0.446392821714361,-52.8971603642956,29.2972396153207,108116800,0.000455568363381813,0.000309676196934171,61.89519,0.587000002054435,0.000340066108211111,0.061335821195837,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
1.71,11,0.12,0.667,4,1.51,0.06,14,4.2,0.151,0.585,3,1.98,0.05,45.1,50,43,37.5802783699595,38.5537180075796,47.8142199044325,7.56596008603204,515120808.477875,736643167.155557,1396242378.33723,18908642821.5908,9.0317602963049e-05,0.000179455195736091,0.000280687872761709,0.00540533830803328,33.8395598563774,107.930726348896,420.731958195168,215.587420020268,38.0043850969688,26902851.8681379,13.6191541587574,0.0438295709267525,1687,41.2651655990091,104871800,0.000453200657297228,0.000294496084302877,62.78919,2.65531047938897e-09,2.70943944514876e-05,0.00687776414769081,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
0.06,9,1.97,0.322,12,0.962,0.0876,17,1.95,0.152,0.526,5,1,0.01,255,36,16,7.42327404575058,5.59255477386977,40.9919560047211,6.83388100722737,25219572020.5332,3333769724.03113,4513820689.14356,66467675382.1898,0.00251361664976083,0.000829960970074286,0.000808282133918223,0.0169680571076805,17.7506482549411,296.895575953349,212.359641530947,33591.2624515983,30.7890487799966,622291437.411505,13.4996324394407,0.0376202714282313,-21.5626024530284,26.7596020445368,445104600,0.00381089874269332,0.000282231072415789,55.20477,4.82236642501992e-10,0.000144420977250507,0.00390332869762461,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,1
0.173,2,2.66,0.9,3,1.83,0.06,14,0.515,0.151,1.1,1,1.43,0.05,36.5,30,62,32.8908384157754,2.53128793072973,56.3286011071242,5.72302369661322,6399363843.02513,394939262.389646,1241788019.31044,61884862690.7933,0.000375331808288842,0.000124871672797798,0.000130210062498676,0.00267294547165549,7.39066955073972,515.30547733798,327.050189591756,1676765.32321808,21.0794974039341,120368309.745859,13.3817024327998,0.149299342230259,-23.3694945,35.2866466142428,76394450,0.000424702398654415,0.000311249720531445,57.24803,4.09786749727598e-09,0.00069272714544355,0.0193471116702837,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
0.06,9,0.732,0.226,19,0.962,0.0876,20,1.86,0.152,0.452,4,0.928,0.01,214,37,8,7.10403578607609,2.27867740703189,37.5897941552791,7.98512991983601,39328075851.8401,3844463519.86599,6333870383.46801,56853653926.3321,0.00158559324262515,0.00106941568685237,0.000732365450456044,0.0158728688237971,6.88135372113854,489.236370391164,313.826636699902,5261389.1071436,21.0208705642126,766661235.495429,13.4480223081314,0.0996050892987725,-9.661707,30.9460156589069,491784200,0.00284919438423618,0.000288118551670553,45.94193,5.93894001170094e-10,0.000856389214290968,0.0133027628723287,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,1
0.3,2,1.77,0.958,3,1.83,0.06,14,0.515,0.151,1.1,3,0.986,0.05,44.8,28,16,34.692676335287,12.8397085112691,54.7726632707318,5.82217297226026,3993726803.45349,459625160.781865,896584508.240619,66587458127.3492,0.000276459280588642,0.000151801408720078,0.000192589498628745,0.0028995108139785,22.320959940126,508.008715296955,344.120777321403,2623.41412354325,30.3404713870124,136277296.42173,13.5355103339327,0.0844964037513987,-7.6100508,38.5713272261384,92313080,0.000487741440498962,0.000299991956832703,54.96716,2.73715946774515e-09,6.16784475832574e-05,0.0076229893440426,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,0
0.392,9,1.97,0.322,12,0.962,0.0876,17,3.85,0.152,0.4,8,2.1,0.0732,255,39,5,34.937133883557,22.966391433056,42.1784651675454,10.6695561273974,2799878057.83275,4002985943.71674,4127888557.099,42259585723.6634,0.00126747913550228,0.00099402026634182,0.00172244676842545,0.0195285024090486,34.0274353473928,450.550226138065,321.578135754902,244.85791110226,35.3142110613213,678908646.608507,14.1227446341,0.0477593034496507,-4.87818540000001,40.9670489868055,484567900,0.00273971532108776,0.000337760463382851,49.07948,4.77529506241892e-10,1.05291521060102e-05,0.00536254088372767,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,2,1
