Element,X,Y,Factor
CAPACITOR_0,1977,623,1
CAPACITOR_1,2144,417,1
CURRENT_0,155,583,1
CURRENT_1,154,613,1
MOSFET_0,165,189,1
MOSFET_0,307,191,1
MOSFET_0,1164,193,1
MOSFET_0,1319,193,1
MOSFET_0,2332,190,1
MOSFET_0,659,181,2
MOSFET_0,949,187,4
MOSFET_11,1771,272,1
MOSFET_13,2789,271,1
MOSFET_14,1162,365,1
MOSFET_14,1323,364,1
MOSFET_16,966,498,1
MOSFET_16,1576,499,1
MOSFET_18,2786,498,1
MOSFET_19,354,610,2
MOSFET_19,1169,610,7
MOSFET_19,1328,613,7
MOSFET_22,1778,601,1
MOSFET_23,2379,602,1
MOSFET_9,555,280,1
MOSFET_9,728,278,1
RESISTOR_0,1973,495,1
RESISTOR_1,960,301,1
RESISTOR_1,1502,304,1
RESISTOR_2,1502,304,1
