MOSFET_0_14_L_BIASCM_PMOS,MOSFET_0_14_M_BIASCM_PMOS,MOSFET_0_14_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_13_1_L_gmf2_PMOS,MOSFET_13_1_M_gmf2_PMOS,MOSFET_13_1_W_gmf2_PMOS,MOSFET_14_4_L_gm8_NMOS,MOSFET_14_4_M_gm8_NMOS,MOSFET_14_4_W_gm8_NMOS,MOSFET_16_4_L_gm5_NMOS,MOSFET_16_4_M_gm5_NMOS,MOSFET_16_4_W_gm5_NMOS,MOSFET_18_1_L_gm3_NMOS,MOSFET_18_1_M_gm3_NMOS,MOSFET_18_1_W_gm3_NMOS,MOSFET_19_16_L_BIASCM_NMOS,MOSFET_19_16_M_BIASCM_NMOS,MOSFET_19_16_W_BIASCM_NMOS,MOSFET_22_1_L_gmb1_NMOS,MOSFET_22_1_M_gmb1_NMOS,MOSFET_22_1_W_gmb1_NMOS,MOSFET_23_1_L_gmb2_NMOS,MOSFET_23_1_M_gmb2_NMOS,MOSFET_23_1_W_gmb2_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CURRENT_1_BIAS,RESISTOR_0,RESISTOR_1,RESISTOR_2,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS11,VDS13,VDS14,VDS16,VDS18,VDS19,VDS22,VDS23,VDS9,ft0,ft11,ft13,ft14,ft16,ft18,ft19,ft22,ft23,ft9,gm0,gm11,gm13,gm14,gm16,gm18,gm19,gm22,gm23,gm9,gmid_offset0,gmid_offset11,gmid_offset13,gmid_offset14,gmid_offset16,gmid_offset18,gmid_offset19,gmid_offset22,gmid_offset23,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.202,1,0.24,0.785,50,0.1,0.85,1,1,0.85,1,0.1,0.489,1,1,0.734,1,0.1,0.305,10,0.1,0.378,5,0.889,0.269,1,0.622,0.308,7,0.839,4.53,240,85.7,85.7,1.22,1.42,0.02,86,17,0.220322181502488,0.373206736571983,0.509992387920382,0.111790744856326,0.80998007064083,0.299818906492449,0.444007416881292,0.436760382188689,0.527384652981785,0.444007416881292,4457196692.20859,346501074.523522,343647726.204575,973019218.790032,806407.291072465,1760186508.1678,4569741157.51056,1310331607.95907,2750798746.4901,4569741157.51056,9.69575582657773e-05,7.33925412695845e-05,1.48853419957701e-05,9.21508584074496e-06,6.47738373378301e-09,1.02928524666638e-05,9.89841518536794e-05,8.52023937088011e-05,2.14304696036015e-05,9.89841518536794e-05,14,9,-10,-10,-11,-13,0,-15,-11,15,72.8330782091251,964.19322185868,440335.16805281,35.6671486122776,74.1128802651748,1256.69975759809,70.3571490042057,0.000879509855605719,497.800000000001,126.113516266011,573919.3,2.41364668467964e-05,0.000126986036186079,50.39655,0.000401312467197872,9.26454295074874e-08,1.01017342220011e-05,"Yan_AZ_Pin_3",22,0.9,0.3,15000,5
0.162,1,0.183,0.85,158,0.157,0.85,20,0.318,0.85,1,0.1,0.47,15,1,0.577,1,0.1,0.305,5,0.512,0.641,15,0.846,0.607,1,0.61,0.408,13,0.917,2.83,240,85.7,85.7,1.22,1.42,1.45,36,18,0.235525483387663,0.748259399683649,0.690008910431107,0.543932208571516,0.534514587834295,0.299828536545144,0.262944329216556,0.241728835810838,0.337281788495789,0.262944329216556,1710329993.8353,111387922.572285,98906060.2728181,469676427.356905,451581223.763538,1770584749.92727,1722960584.50327,282832175.682597,356458199.78047,1722960584.50327,5.92070966102736e-05,6.97927758402362e-05,1.45494139243241e-05,2.67051278423877e-06,9.15709487509635e-05,7.95724377381369e-06,5.95400180671798e-05,6.74595057137925e-05,4.18705050454091e-06,5.95400180671798e-05,11,14,-1,-9,5,2,-9,-12,-12,-9,76.4163204105323,5984.0219952527,602381.435719104,48.7928962932474,73.05828075566,7206.1666587774,70.8391751787103,0.00109095509682694,480.2,115.416780833313,725408.6,2.23006417462984e-05,9.63454411523669e-05,41.23348,0.00031647123529535,6.60255428666656e-08,1.36931505149707e-05,"Yan_AZ_Pin_3",22,0.9,0.3,15000,5
0.14,1,0.223,0.85,145,0.134,0.85,5,0.684,0.85,1,0.1,0.85,15,1,0.511,1,0.1,0.305,5,0.714,0.641,11,0.926,0.72,1,0.644,0.211,13,0.991,3,240,85.7,85.7,1.22,1.42,2.82,35,50,0.261574767578065,0.729158097365732,0.690057522928526,0.526713608027171,0.575614384715139,0.299825544944161,0.262278134486359,0.260826321535746,0.301445972065147,0.262278134486359,1515930117.69217,136792089.152794,121849487.346523,524968301.450899,204696143.899555,1748137459.55407,1516166267.69544,348373382.522353,315394539.518669,1516166267.69544,6.74376065931504e-05,7.67971023241659e-05,1.01317523673928e-05,3.0750353915068e-06,8.13631370279102e-05,6.53507825920915e-06,6.74460703599715e-05,7.37944804394256e-05,5.0694222073363e-06,6.74460703599715e-05,12,10,2,-15,15,-8,-4,-10,-8,-1,70.8455404104286,3187.5099606795,551897.299867506,44.703681289268,70.0145633844637,3961.13205891396,70.9440752424048,0.00120796104164639,448.200000000001,117.884816363809,685845.1,2.30130409919278e-05,8.54494397944618e-05,41.35983,0.000279339536511089,1.49135444222626e-07,4.60732285704757e-05,"Yan_AZ_Pin_3",22,0.9,0.3,15000,5
0.148,1,0.133,0.85,302,0.1,0.85,20,0.209,0.85,1,0.181,0.804,1,1,0.194,1,0.1,0.305,5,0.1,0.697,15,0.881,0.689,1,0.736,0.389,13,0.94,2.94,240,85.7,85.7,1.22,1.42,0.02,42,56,0.392783619942245,0.721930273241601,0.689966050259835,0.362095443111446,0.73319431647726,0.299891205311166,0.273696895948287,0.268055407277158,0.214373216362686,0.273696895948287,4391554201.57268,127425811.936838,115880795.373362,480979392.680552,712192771.558133,6750851056.63676,4271788914.52887,327157893.934044,349346581.558158,4271788914.52887,4.89701328259991e-05,0.000113425230967779,1.21271170764412e-05,3.97235069915271e-06,3.15827189930538e-05,9.48524108597874e-06,4.81168314697144e-05,0.000102148345512246,6.25050137265765e-06,4.81168314697144e-05,-12,15,-4,-15,1,-7,-4,-15,11,5,62.2092600325763,4026.07651171546,491762.364428174,39.8327515186821,61.4416857578349,4751.19117917289,70.6185138260499,0.0013569290887366,435.800000000001,114.099034662806,580331,2.1853787820601e-05,0.000149290099617872,41.17067,0.00011563603562789,2.38828935231195e-07,4.95974383938336e-05,"Yan_AZ_Pin_3",22,0.9,0.3,15000,5
0.124,1,0.417,0.51,172,0.295,0.85,260,0.739,0.85,32,0.1,0.825,15,1,0.04,1,0.1,0.305,42,0.498,0.85,12,1,0.85,1,0.533,0.61,22,1,2.93,240,85.7,85.7,1.22,1.42,4.18,10,12,0.271097799429846,0.655111174150883,0.690091526326095,0.50684712518138,0.45797602355201,0.294747593936051,0.172933839365368,0.334853720020371,0.278771312375348,0.172933839365368,482866274.857851,329348309.579152,108109232.026021,109893678.956003,239690632.521216,233103592185.32,467763867.67071,409283503.602808,469724403.756458,467763867.67071,8.70969069087404e-05,0.000262442344982251,0.00047344767347137,1.25476766382528e-05,9.8422898019201e-05,0.000137917309213779,8.48065598949049e-05,0.000190928781903717,1.0718580981086e-05,8.48065598949049e-05,14,9,-8,-6,-15,5,10,-12,-15,8,74.0437396583029,78573.4931347517,513179.192633189,41.5675146032883,79.5923599393369,222670.874607133,72.9508563486406,0.0011686650376379,613.700000000001,82.5272394765938,1454308,5.24799719400935e-05,7.74913438434752e-05,61.95099,4.36708002740371e-05,1.57363328313065e-07,0.000108527096367272,"Yan_AZ_Pin_3",22,0.9,0.3,15000,5
0.145,2,0.442,0.85,112,1.89,0.85,241,0.902,0.754,24,0.1,0.85,6,0.1,0.458,7,0.221,0.606,199,0.159,0.85,70,2.4,0.252,3,0.127,0.642,6,2.4,5,240,85.7,85.7,1.22,1.42,0.2,100,18,0.379270968847573,0.764252777935982,0.6899845713572,0.397209453460101,0.607589849885318,0.299762341578788,0.166345600825384,0.225743395771207,0.394602859430483,0.166345600825384,240647430.896158,77108162.136703,79160927.6742407,216668169.813047,1060281149.47899,3185937839.70884,231921480.85902,97710049.0774471,3540413351.89162,231921480.85902,0.000140576578540208,0.000314336211542884,0.00033829870120696,1.97052734738669e-05,4.32960749362956e-05,0.000154693033955125,0.000136705110403189,0.00030820366248114,1.99793247844568e-05,0.000136705110403189,-1,8,13,-12,-7,-14,5,-6,-7,2,69.3370706413445,68035.4798607099,499627.838536265,40.4698549214375,81.8714241712121,215565.405925638,76.0040847191781,0.00109094261966181,592.700000000001,86.0220763965791,1583034,5.86745617104292e-05,0.000145780723187103,41.88235,2.32407749394233e-05,2.65426515267952e-07,0.000167788692908011,"Yan_AZ_Pin_3",22,0.9,0.3,15000,0
0.124,1,0.413,0.85,97,0.326,0.85,143,1.21,0.85,14,1.78,0.481,23,1.36,0.04,1,0.1,0.252,6,0.639,0.733,4,1.88,0.85,1,0.251,0.824,10,1.24,3.34,240,85.7,85.7,1.22,1.42,10.8,100,32,0.343911875323376,0.319080412626793,0.510196026695208,0.0528104146696135,0.756908441410617,0.28715465415969,0.417742829069303,0.490884694189234,0.669374682615189,0.417742829069303,2147158274.76269,199864118.948334,227976179.243218,59649479.3852078,86823483.215861,284344775338.557,2173570900.2917,692471679.487605,774982823.250241,2173570900.2917,8.71580414620019e-05,0.00022061370327696,0.00141179309050959,2.17519329807181e-05,2.20596526625707e-05,0.000186333594789912,8.81323949690376e-05,0.000179147762997107,9.61359504555711e-06,8.81323949690376e-05,-10,3,-1,0,9,0,-2,-13,-8,13,51.0452452477531,59186.4961998082,328180.360275886,26.5826091823468,49.271129173296,212411.080686177,72.7541427411525,0.00159709756718134,575.100000000001,80.4025001744467,1177788,6.64600674779974e-05,0.000115388514269933,63.21348,4.4304292132926e-05,8.13078893391328e-07,0.000296778502401562,"Yan_AZ_Pin_3",22,0.9,0.3,15000,1
0.124,1,0.518,0.85,175,0.326,0.85,143,1.18,0.85,14,1.73,0.396,21,1.65,0.04,1,0.1,0.252,6,0.742,0.733,4,1.97,0.85,1,0.233,0.85,6,1.41,3,240,85.7,85.7,1.22,1.42,9.57,90,37,0.212290631154068,0.641153188892107,0.690349322932511,0.582953136079404,0.401322333514134,0.293609231932582,0.246103038942263,0.348811598031269,0.304636265860988,0.246103038942263,1673478431.55825,127900884.470942,127115567.657541,32989088.4082563,357467516.681852,241237496428.295,1692434023.25994,549003892.593265,664447232.005993,1692434023.25994,7.59922058387637e-05,0.000193265883160908,0.000534860088539536,1.10209328303502e-05,0.000123864310391486,0.000145591856209451,7.66702186755034e-05,0.000146085253874185,7.76153274147222e-06,7.66702186755034e-05,-10,15,-6,10,11,10,-1,-13,-14,14,50.6637148667385,70408.0953017595,355408.927835883,28.7881231547065,50.5206020061374,202201.462856555,72.8033302947056,0.00210996311030839,571.000000000001,79.8021487205338,1020681,5.3182400664758e-05,0.000117540379705305,62.94753,4.48446165914356e-05,6.54904645973342e-07,0.000306486199411815,"Yan_AZ_Pin_3",22,0.9,0.3,15000,1
0.145,2,0.442,0.85,112,1.89,0.85,241,0.902,0.754,24,0.1,0.85,6,0.192,0.458,7,0.221,0.606,199,0.159,0.85,65,2.4,0.252,3,0.127,0.642,6,2.4,5,240,85.7,85.7,1.22,1.42,0.2,100,42,0.366989605957374,0.764359081033496,0.689964689213278,0.409755251923424,0.59368049083091,0.299800709660196,0.166345484714911,0.225637212562219,0.387680556956531,0.166345484714911,240375931.499574,73336236.9293762,75323258.6000629,216039100.833336,828421909.463188,3067692412.48694,231921070.010036,97602290.1023257,3532112551.29922,231921070.010036,0.000140445895087598,0.000292812010816754,0.000315274722411972,1.9594197821241e-05,5.0538168331835e-05,0.000147074798017108,0.000136704772149782,0.000285756165539924,1.99288454435734e-05,0.000136704772149782,14,12,4,12,8,-12,-12,-1,8,11,70.1429491072058,70684.4003164373,501455.923135433,40.6179297739701,82.819829392148,215475.843188194,75.9493100297824,0.00120400135579447,566,86.0033848111419,1528649,5.6452249357855e-05,0.000144067999707727,41.87354,2.32730939893013e-05,3.08903112248848e-07,0.00015635839166761,"Yan_AZ_Pin_3",22,0.9,0.3,15000,0
0.124,1,0.782,0.85,379,0.48,0.85,143,2.4,0.85,1,2.4,0.85,65,0.1,0.04,1,0.1,0.85,3,0.776,0.85,45,0.1,0.85,1,0.337,0.85,13,0.6,4.19,240,85.7,85.7,1.22,1.42,1.51,74,55,0.225479479493733,0.659045040441656,0.69035803621642,0.593839722780869,0.515038734574727,0.292445171951925,0.378831188361788,0.330856766633039,0.33700481948994,0.378831188361788,578718464.066507,98934587.4212395,93760571.7923749,151016135.702902,292423120.855999,247224961873.036,601394413.08927,764374320.409711,501135859.641299,601394413.08927,6.36157698984487e-05,0.000399149537758556,0.000674530437878826,8.79710559637408e-06,9.30014244169328e-05,0.000152912323461706,6.47361268101139e-05,0.000220352213170258,7.8243328946818e-06,6.47361268101139e-05,12,10,4,-4,15,-13,13,12,-3,-3,49.7747959470592,45027.6101107511,220480.368895645,17.8589098805472,50.3306790314512,217010.334542622,73.8848144208267,0.00184557276341892,544.3,74.1705934526049,1062604,8.92499044264822e-05,8.24871400417556e-05,59.59823,4.86960174115546e-05,1.40273772581245e-06,0.000505332077574916,"Yan_AZ_Pin_3",22,0.9,0.3,15000,1
