MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOSM,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_13_2_L_CM31_PMOS,MOSFET_13_2_M_CM31_PMOS,MOSFET_13_2_W_CM31_PMOS,MOSFET_14_2_L_CM21_PMOS,MOSFET_14_2_M_CM21_PMOS,MOSFET_14_2_W_CM21_PMOS,MOSFET_15_2_L_CM11_PMOS,MOSFET_15_2_M_CM11_PMOS,MOSFET_15_2_W_CM11_PMOS,MOSFET_16_2_L_CM22_PMOS,MOSFET_16_2_M_CM22_PMOS,MOSFET_16_2_W_CM22_PMOS,MOSFET_17_2_L_CM32_PMOS,MOSFET_17_2_M_CM32_PMOS,MOSFET_17_2_W_CM32_PMOS,MOSFET_18_2_L_CM12_PMOS,MOSFET_18_2_M_CM12_PMOS,MOSFET_18_2_W_CM12_PMOS,MOSFET_1_2_L_gm1_PMOS,MOSFET_1_2_M_gm1_PMOS,MOSFET_1_2_W_gm1_PMOS,MOSFET_3_4_L_gm12_PMOS,MOSFET_3_4_M_gm12_PMOS,MOSFET_3_4_W_gm12_PMOS,MOSFET_7_2_L_CM_PMOS,MOSFET_7_2_M_CM_PMOS,MOSFET_7_2_W_CM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS13,VDS14,VDS15,VDS16,VDS17,VDS18,VDS3,VDS7,ft0,ft1,ft13,ft14,ft15,ft16,ft17,ft18,ft3,ft7,gm0,gm1,gm13,gm14,gm15,gm16,gm17,gm18,gm3,gm7,gmid_offset0,gmid_offset1,gmid_offset13,gmid_offset14,gmid_offset15,gmid_offset16,gmid_offset17,gmid_offset18,gmid_offset3,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6.14,1,0.22,18,1,0.22,0.18,4,2.67,0.18,200,9.06,0.18,1,10,0.584,1,9.97,7.8,196,0.327,13.6,200,0.579,0.466,196,0.22,3.04,153,0.286,0.731,71,9,0.129061725570301,0.000230483673814367,0.270167783332938,0.12926441884852,0.000229479581406432,0.12926441884852,0.270167783332938,0.000229479581406432,0.270167783332938,0.270167783332938,58325705.7554799,47988.076065635,696817.715156651,51036425.2704583,18654.0682030568,58215278.9769323,175993914.006764,47988.7709760971,696817.715156651,175993914.006764,3.68412234520185e-06,3.53939881108069e-07,7.65072046143254e-08,3.51707670348903e-06,2.17113896646348e-07,3.6796383121238e-06,2.30063590469141e-05,3.53943325293964e-07,7.65072046143254e-08,2.30063590469141e-05,-12,13,15,15,0,9,12,-13,15,9,93.854059403395,36640.0144239216,10946.8605749084,53.2017423940546,73.3734384854865,595192.433149241,72.0149684440672,0.000492267820607838,1002.2,71.3827244033829,177824.4,5.01368165772346e-06,7.21888733624365e-05,53.26408,1.95996559976505e-06,2.94264427984081e-07,0.000159210680183874,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
12.2,2,0.436,20,1,0.22,0.18,4,2.67,0.18,108,9.91,0.18,1,10,0.661,1,9.98,12.5,200,0.22,13.6,200,0.57,1.73,195,0.22,3.19,126,0.22,0.45,72,12,0.105447425210186,0.000699247977365594,0.252461815417393,0.105648239126205,0.000696284598610705,0.105648239126205,0.252461815417393,0.000696284598610705,0.252461815417393,0.252461815417393,34518179.1185334,29604.0629347351,476096.143949578,29412416.8817415,56816.9961043952,34453254.8839741,110892687.863587,29604.3366668316,476096.143949578,110892687.863587,2.1762253365755e-06,2.42312924403765e-07,5.50799270028215e-08,2.02473606433481e-06,3.90535892689413e-07,2.17354062453341e-06,1.56055123031018e-05,2.42313149692745e-07,5.50799270028215e-08,1.56055123031018e-05,-15,13,15,15,1,15,15,-15,15,10,109.346440862882,30423.0631775119,10854.8999961796,52.7548139814328,73.4593637395585,324145.239615466,71.9330797338749,0.000434614571437984,994.200000000002,71.6454731693104,115654.5,3.28845344921617e-06,7.1975305749654e-05,50.51331,3.02816292124358e-06,2.84132925531533e-07,0.000164142692825164,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
13.6,16,0.22,15.7,1,0.22,0.18,4,2.67,0.18,200,9.57,0.18,1,10,0.561,1,9.96,10.4,200,0.377,14,200,0.22,1.47,195,0.22,2.37,193,0.764,0.785,53,28,0.13135500176488,0.000558017074863205,0.265530287058043,0.131589165242485,0.000555281472772654,0.131589165242485,0.265530287058043,0.000555281472772654,0.265530287058043,0.265530287058043,60955926.918548,26328.1272448515,865206.400896608,53846141.1945168,45264.976925493,60799601.3347921,174339821.522973,26327.7016527409,865206.400896608,174339821.522973,3.85372014259386e-06,3.00959150783952e-07,8.16101680352317e-08,3.71126518897602e-06,5.56435761896755e-07,3.8469822098635e-06,2.16982881143728e-05,3.00952800460688e-07,8.16101680352317e-08,2.16982881143728e-05,1,15,15,15,8,14,7,-15,15,3,109.573890194037,24174.530287332,9558.40308383312,46.4538389874289,72.3341435679587,438901.222861445,69.6350371580284,0.000460120239000527,983.200000000002,70.4683215321886,173537.8,5.60355625442372e-06,7.24040058945138e-05,50.85709,1.92799200452629e-06,3.40134598451614e-07,0.000197119816237601,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
15,39,0.22,17.3,1,0.22,0.18,4,2.67,0.18,200,10,0.18,1,10,0.626,1,9.92,9.71,200,0.317,18.6,200,0.22,1.13,195,0.22,3.7,198,0.22,0.697,72,18,0.127158316643509,0.000303543096116503,0.264534957537233,0.127345269537895,0.000302357783897694,0.127345269537895,0.264534957537233,0.000302357783897694,0.264534957537233,0.264534957537233,55623362.0101782,33328.9904580384,711374.638965401,48823495.8236572,24552.4389174656,55513246.6190553,145475669.940484,33329.2923163209,711374.638965401,145475669.940484,3.51474514011862e-06,3.01392028727835e-07,7.37880837758083e-08,3.3641807649138e-06,3.15367547973736e-07,3.51004466319036e-06,1.99155902049323e-05,3.0139341726375e-07,7.37880837758083e-08,1.99155902049323e-05,-10,10,15,15,12,14,15,-15,15,15,108.062957998519,26602.9808253389,9937.30882843793,48.2953209062083,74.008895275224,422373.244970452,71.8425823589325,0.000389216265241166,975.000000000002,72.0488836957441,157773.8,4.90028217142621e-06,7.06257444562376e-05,50.555,2.12355206581307e-06,2.93613587327157e-07,0.000153648795021444,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
13.8,6,0.22,20,1,0.22,0.18,4,2.67,0.18,200,9.26,0.18,1,10,0.524,1,9.96,11.6,200,0.22,13.6,196,0.399,0.857,199,0.22,3.04,72,0.882,0.455,76,23,0.295432594711977,0.0321976729114699,0.370308935300188,0.295518401969045,0.0321414645967095,0.295518401969045,0.370308935300188,0.0321414645967095,0.370308935300188,0.370308935300188,44760023.4573637,811.136979944444,497463.910873467,43351191.3963708,21469.0999536632,44723758.8579697,102353823.857613,809.899125251766,497463.910873467,102353823.857613,2.76585748567319e-06,5.38595962864956e-09,4.85744481123891e-08,2.87452186829615e-06,2.51922619373661e-07,2.76469468251113e-06,1.07916172799433e-05,5.37788707494364e-09,4.85744481123891e-08,1.07916172799433e-05,4,11,15,15,-9,6,15,-8,15,-15,106.024492062907,40545.2907453212,11914.6318292011,57.9051106899172,72.9818269717857,434366.291106279,67.2551993529125,0.000473317412895723,960.800000000001,70.8641957762362,127642.8,3.30651643212106e-06,7.37468288381132e-05,51.72073,2.5019451709036e-06,3.39759548945717e-07,0.000168299474604394,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
8.47,1,0.22,18.5,1,0.22,0.18,4,2.67,0.18,200,9.83,0.18,1,10,0.584,1,10,7.8,196,0.327,12.8,198,0.619,0.382,196,0.22,3.04,153,0.22,0.731,76,27,0.129145930411038,0.000190472296190413,0.269020808701532,0.129347381233583,0.00018964881665857,0.129347381233583,0.269020808701532,0.00018964881665857,0.269020808701532,0.269020808701532,58345408.4558713,47953.2343977368,653688.144180604,51134226.4832547,15384.2674137354,58235727.15119,172886799.68734,47954.0764310555,653688.144180604,172886799.68734,3.68597712379992e-06,3.53682599812017e-07,7.35328833307968e-08,3.52383494178425e-06,1.94252470868049e-07,3.68152087598021e-06,2.2605812565805e-05,3.53687141390332e-07,7.35328833307968e-08,2.2605812565805e-05,-7,13,15,15,0,10,12,-13,15,9,92.4655052396477,36676.7275342943,11339.8226287626,55.1115379757864,73.4754545253074,566209.880363271,71.8184834147868,0.000503676966984298,952.200000000001,71.462586486899,175062.5,4.7647690419268e-06,7.20327784349744e-05,54.11552,2.44232084654427e-06,2.92245013359116e-07,0.000156480609887821,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
16.2,50,0.308,14.8,1,0.22,0.18,4,2.67,0.358,58,7.45,0.18,1,9.29,0.689,1,9.96,15.1,200,0.22,13.5,200,0.22,0.59,199,0.22,3.83,77,0.22,0.822,20,38,0.136623208972242,0.00233367754372799,0.289769423653053,0.136785905430238,0.00232554508040698,0.136785905430238,0.289769423653053,0.00232554508040698,0.289769423653053,0.289769423653053,70065678.1336986,21752.4439036343,1219410.28880594,60673833.4019676,73609.6773966535,69980048.4828388,180764246.418247,21749.6928414891,1219410.28880594,180764246.418247,4.10863760132762e-06,2.14300454529972e-07,1.16194352944004e-07,4.18342848327088e-06,2.81945211853139e-07,4.10577589172624e-06,2.9269072180702e-05,2.14272217562219e-07,1.16194352944004e-07,2.9269072180702e-05,10,14,9,15,4,15,14,-14,15,-1,103.903123553356,8303.88470336398,6898.67539657193,33.5275624273396,73.0310598413494,248261.604092849,71.2918710653606,0.000448624494914671,948.000000000002,71.8650123980652,206250,9.22748263225139e-06,7.83418667776571e-05,46.22929,1.80092798418853e-06,2.37191707410656e-07,0.000145263952106678,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
14.4,4,0.22,15.8,1,0.22,0.18,4,2.67,0.18,183,7.55,0.18,1,10,0.458,1,9.95,8.06,196,0.356,20,194,0.238,0.422,194,0.22,4.77,164,0.922,0.882,86,54,0.138577894476411,0.000208854627327412,0.269536883396588,0.138772678037098,0.000207981765766813,0.138772678037098,0.269536883396588,0.000207981765766813,0.269536883396588,0.269536883396588,71226689.3010953,42733.4352948023,889277.59899504,63497560.7567789,16971.4388163697,71085104.0279346,247902975.550997,42733.8553925008,889277.59899504,247902975.550997,4.50809221647144e-06,3.53132886114154e-07,8.54394006677221e-08,4.37881787168961e-06,1.50661860517296e-07,4.50214832385377e-06,2.6362251902618e-05,3.53134967275887e-07,8.54394006677221e-08,2.6362251902618e-05,-15,13,14,15,-5,3,-15,-15,15,14,97.3657024304786,36992.3461481068,9437.08325738983,45.8642246309146,73.7155748413596,791948.694655411,71.4738992919793,0.000525978865559082,938.000000000001,71.1740035718163,202033.3,6.60754547664871e-06,7.64941267138243e-05,47.47973,1.391666312044e-06,3.08674387122787e-07,0.000154053318444314,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
13.4,18,0.858,15.1,1,0.22,0.18,4,2.67,0.18,200,10,0.18,1,10,0.626,1,9.92,4.79,200,0.22,9.45,197,0.22,1.76,196,0.22,3.5,200,0.22,1.25,69,55,0.149239217757989,0.0013323117090663,0.301482701526109,0.149410623668722,0.00132767822928904,0.149410623668722,0.301482701526109,0.00132767822928904,0.301482701526109,0.301482701526109,92422589.1212881,162964.663134963,1300797.63531378,80892594.0985974,109138.531232617,92261928.134707,249159699.894866,162954.4748806,1300797.63531378,249159699.894866,5.84067966366076e-06,5.25169026610338e-07,1.30484176046949e-07,5.58400862987127e-06,1.40174541990013e-06,5.83410563625969e-06,3.77357792113134e-05,5.25133963200983e-07,1.30484176046949e-07,3.77357792113134e-05,-13,11,15,15,15,14,15,-15,15,10,113.351150002636,16595.1482610058,9181.75726322921,44.623340299294,74.0944211859263,529001.776583415,65.225119700925,0.00051161796475665,925.200000000002,72.1107121270017,292685.9,9.83854742956e-06,7.79923907033427e-05,45.43891,1.30776231963814e-06,2.21491618306313e-07,0.000145332276465404,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
13.1,23,0.22,15.7,1,0.22,0.18,4,2.67,0.18,200,10,0.18,1,10,0.561,1,9.96,10.4,200,0.432,14,200,0.22,1.46,195,0.22,2.21,186,0.505,0.785,56,63,0.131190028040013,0.000532785932252713,0.268500482176052,0.131427204525858,0.000530153609662316,0.131427204525858,0.268500482176052,0.000530153609662316,0.268500482176052,0.268500482176052,60964978.5717341,24300.6539155395,891027.377039661,53645676.3886698,43167.6298648429,60813599.9106074,182518307.214783,24300.3063269944,891027.377039661,182518307.214783,3.85272001110145e-06,3.17049827124455e-07,8.47980801101922e-08,3.69740821386105e-06,5.54463938759563e-07,3.84630562471887e-06,2.28710198451966e-05,3.17043762473498e-07,8.47980801101922e-08,2.28710198451966e-05,1,15,15,15,8,14,6,-15,15,1,109.415860209778,24305.5239178603,9990.00416708178,48.5514202520174,72.1575324744541,440997.149647163,70.5027837748269,0.00053224836710093,922.800000000002,70.3148549505122,181257.7,5.5999710943307e-06,7.19799758320796e-05,51.84417,1.85021139478348e-06,3.43371172391027e-07,0.000197592661290158,"Yan_NCM_Pin_3",180,1.8,0.9,800,2
